,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,ORL,NBA,PF,75.0,28.0,16.7,3.4,6.5,0.527,0.0,0.0,,3.4,6.5,0.527,0.527,1.0,1.3,0.7979999999999999,0.9,2.5,3.4,0.6,0.3,0.4,1.1,1.8,7.8,8.8,3.1999999999999997,12.0
1,24.0,ORL,NBA,PF,76.0,5.0,15.4,2.4,5.5,0.429,0.4,1.2,0.315,2.0,4.4,0.45899999999999996,0.462,0.6,0.8,0.825,0.7,2.7,3.4,0.3,0.2,0.3,0.7,2.0,5.7,6.3,3.2,9.5
2,25.0,ORL,NBA,PF,40.0,3.0,12.3,2.1,4.8,0.43700000000000006,0.3,1.0,0.317,1.8,3.7,0.47,0.47100000000000003,0.4,0.6,0.6,0.4,1.6,2.1,0.6,0.2,0.3,0.6,1.3,4.9,5.9,2.1,8.0
3,26.0,ORL,NBA,PF,56.0,0.0,14.7,2.6,5.5,0.47100000000000003,0.7,2.0,0.36,1.9,3.5,0.536,0.537,0.9,1.2,0.785,0.6,3.0,3.6,0.4,0.2,0.4,0.7,1.2,6.9,7.6000000000000005,3.6,11.200000000000001
4,27.0,TOT,NBA,PF,38.0,0.0,9.0,1.1,2.9,0.387,0.1,0.7,0.185,1.0,2.2,0.452,0.41,0.2,0.4,0.643,0.4,1.2,1.6,0.3,0.4,0.2,0.4,1.4,2.6,3.2,1.8,5.0
5,27.0,WAS,NBA,PF,28.0,0.0,8.3,1.1,2.8,0.39,0.1,0.6,0.188,1.0,2.2,0.44299999999999995,0.409,0.3,0.4,0.583,0.4,0.8,1.2,0.3,0.4,0.2,0.4,1.3,2.5,3.1,1.4000000000000001,4.5
6,27.0,BRK,NBA,PF,10.0,0.0,11.1,1.3,3.4,0.382,0.2,1.1,0.182,1.1,2.3,0.478,0.41200000000000003,0.2,0.2,1.0,0.4,2.3,2.7,0.3,0.5,0.0,0.6,1.8,3.0,3.4,2.8,6.199999999999999
7,,,NBA,,285.0,36.0,14.3,2.5,5.3,0.467,0.3,1.0,0.321,2.2,4.4,0.498,0.495,0.7,0.9,0.773,0.7,2.3,3.0,0.4,0.3,0.3,0.7,1.6,6.0,6.8,2.8999999999999995,9.7
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,ORL,NBA,,247.0,36.0,15.1,2.7,5.7,0.473,0.3,1.0,0.336,2.4,4.7,0.502,0.502,0.8,1.0,0.78,0.7,2.5,3.2,0.5,0.2,0.4,0.8,1.6,6.5,7.3999999999999995,3.1,10.5
10,,WAS,NBA,,28.0,0.0,8.3,1.1,2.8,0.39,0.1,0.6,0.188,1.0,2.2,0.44299999999999995,0.409,0.3,0.4,0.583,0.4,0.8,1.2,0.3,0.4,0.2,0.4,1.3,2.5,3.1,1.4000000000000001,4.5
11,,BRK,NBA,,10.0,0.0,11.1,1.3,3.4,0.382,0.2,1.1,0.182,1.1,2.3,0.478,0.41200000000000003,0.2,0.2,1.0,0.4,2.3,2.7,0.3,0.5,0.0,0.6,1.8,3.0,3.4,2.8,6.199999999999999
