,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,MIL,NBA,PG,82.0,82.0,32.6,5.5,14.8,0.371,1.8,4.7,0.374,3.7,10.1,0.37,0.431,2.7,3.3,0.8170000000000001,0.6,2.8,3.4,5.7,1.3,0.2,2.4,2.3,15.5,25.1,4.3,29.400000000000002
1,21.0,MIL,NBA,PG,63.0,61.0,34.4,5.7,14.7,0.39,1.6,4.8,0.32299999999999995,4.2,9.9,0.42200000000000004,0.44299999999999995,3.2,3.9,0.809,0.7,3.0,3.7,4.8,1.5,0.3,2.3,2.1,16.2,24.2,4.8,29.0
2,22.0,MIL,NBA,PG,66.0,66.0,35.3,7.1,17.0,0.418,2.0,5.9,0.332,5.2,11.1,0.46399999999999997,0.47600000000000003,2.9,3.6,0.8079999999999999,0.7,2.7,3.4,5.5,1.6,0.3,2.2,1.7,19.1,28.6,4.6000000000000005,33.2
3,23.0,MIL,NBA,PG,80.0,80.0,36.2,6.2,15.6,0.39899999999999997,2.2,5.8,0.375,4.1,9.8,0.41200000000000003,0.46799999999999997,2.9,3.5,0.8190000000000001,0.7,2.3,3.1,6.5,1.6,0.1,2.5,1.9,17.5,28.7,4.0,32.7
4,24.0,DET,NBA,PG,80.0,79.0,34.1,5.3,14.2,0.373,1.9,5.7,0.337,3.4,8.5,0.397,0.441,3.0,4.0,0.7509999999999999,0.7,2.3,3.1,7.6,1.3,0.1,2.7,2.0,15.5,28.7,3.6999999999999997,32.4
5,25.0,DET,NBA,PG,41.0,41.0,28.6,5.3,13.2,0.401,1.9,5.1,0.36,3.5,8.1,0.428,0.47100000000000003,2.9,3.5,0.8390000000000001,0.5,2.0,2.5,6.6,1.1,0.1,2.2,1.6,15.4,26.900000000000002,3.2,30.1
6,26.0,TOT,NBA,PG,48.0,7.0,18.1,2.3,6.3,0.368,1.1,3.2,0.32899999999999996,1.3,3.1,0.409,0.452,1.2,1.6,0.731,0.3,1.7,2.0,3.5,0.6,0.1,1.2,1.2,6.9,13.0,2.4,15.4
7,26.0,DET,NBA,PG,23.0,1.0,18.1,2.3,6.2,0.371,1.0,3.3,0.312,1.3,2.9,0.439,0.455,1.2,1.7,0.711,0.2,1.8,2.0,3.0,0.5,0.1,1.0,1.0,6.8,12.0,2.4,14.4
8,26.0,ORL,NBA,PG,25.0,6.0,18.1,2.4,6.4,0.366,1.1,3.1,0.34600000000000003,1.3,3.3,0.386,0.45,1.2,1.6,0.75,0.4,1.6,2.0,4.0,0.7,0.2,1.4,1.3,7.0,14.0,2.5,16.5
9,27.0,TOT,NBA,PG,81.0,13.0,22.2,2.4,6.6,0.359,1.0,3.1,0.313,1.4,3.5,0.39899999999999997,0.433,1.4,1.9,0.75,0.4,2.1,2.4,4.9,0.9,0.0,1.6,1.4,7.1,15.700000000000001,3.0,18.700000000000003
10,27.0,NYK,NBA,PG,58.0,11.0,24.6,2.8,7.4,0.38,1.2,3.4,0.34,1.6,3.9,0.415,0.45899999999999996,1.8,2.3,0.7559999999999999,0.4,2.3,2.6,4.9,0.9,0.1,1.8,1.4,8.6,17.0,3.3,20.3
11,27.0,WAS,NBA,PG,23.0,2.0,16.3,1.3,4.6,0.27399999999999997,0.5,2.3,0.212,0.8,2.3,0.33299999999999996,0.325,0.5,0.7,0.706,0.3,1.6,1.9,4.7,0.7,0.0,1.0,1.4,3.5,12.200000000000001,2.3,14.5
12,,,NBA,,541.0,429.0,30.8,5.0,13.0,0.38799999999999996,1.7,4.8,0.34600000000000003,3.4,8.2,0.41200000000000003,0.452,2.5,3.2,0.795,0.6,2.4,3.0,5.7,1.2,0.2,2.2,1.8,14.3,24.1,3.8,27.900000000000002
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,MIL,NBA,,291.0,289.0,34.6,6.1,15.5,0.39399999999999996,1.9,5.3,0.354,4.2,10.2,0.415,0.455,2.9,3.6,0.813,0.7,2.7,3.4,5.7,1.5,0.2,2.4,2.0,17.0,26.700000000000003,4.4,31.1
15,,DET,NBA,,144.0,121.0,30.0,4.8,12.6,0.381,1.8,5.2,0.341,3.1,7.5,0.409,0.451,2.7,3.5,0.773,0.6,2.1,2.7,6.6,1.1,0.1,2.3,1.7,14.1,25.599999999999998,3.3000000000000003,28.9
16,,NYK,NBA,,58.0,11.0,24.6,2.8,7.4,0.38,1.2,3.4,0.34,1.6,3.9,0.415,0.45899999999999996,1.8,2.3,0.7559999999999999,0.4,2.3,2.6,4.9,0.9,0.1,1.8,1.4,8.6,17.0,3.3,20.3
17,,ORL,NBA,,25.0,6.0,18.1,2.4,6.4,0.366,1.1,3.1,0.34600000000000003,1.3,3.3,0.386,0.45,1.2,1.6,0.75,0.4,1.6,2.0,4.0,0.7,0.2,1.4,1.3,7.0,14.0,2.5,16.5
18,,WAS,NBA,,23.0,2.0,16.3,1.3,4.6,0.27399999999999997,0.5,2.3,0.212,0.8,2.3,0.33299999999999996,0.325,0.5,0.7,0.706,0.3,1.6,1.9,4.7,0.7,0.0,1.0,1.4,3.5,12.200000000000001,2.3,14.5
