,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,ORL,NBA,C,6.0,0.0,6.8,1.3,2.8,0.47100000000000003,0.0,0.0,,1.3,2.8,0.47100000000000003,0.47100000000000003,0.3,0.5,0.667,1.3,1.3,2.7,0.3,0.2,0.2,0.3,0.7,3.0,4.6000000000000005,1.7,6.300000000000001
1,24.0,ORL,NBA,PF,63.0,3.0,12.6,1.7,3.0,0.5670000000000001,0.0,0.0,1.0,1.7,3.0,0.565,0.57,0.4,0.7,0.578,1.5,3.0,4.5,0.2,0.3,0.8,0.4,1.8,3.8,5.299999999999999,4.1,9.399999999999999
2,25.0,ORL,NBA,C,81.0,0.0,13.4,1.5,2.8,0.5329999999999999,0.0,0.0,0.0,1.5,2.8,0.54,0.5329999999999999,0.6,0.9,0.68,1.3,2.9,4.2,0.2,0.2,0.9,0.6,1.7,3.6,4.700000000000001,4.0,8.700000000000001
3,26.0,TOT,NBA,C,80.0,14.0,25.4,4.2,7.5,0.561,0.0,0.1,0.25,4.2,7.5,0.563,0.561,1.8,2.4,0.725,1.9,6.0,7.9,0.9,0.5,1.1,1.0,2.4,10.2,12.899999999999999,7.6,20.5
4,26.0,ORL,NBA,C,25.0,2.0,15.8,1.8,3.2,0.5429999999999999,0.0,0.0,,1.8,3.2,0.5429999999999999,0.5429999999999999,0.5,0.7,0.667,1.5,3.2,4.7,0.7,0.3,0.8,0.7,2.1,4.0,6.2,4.3,10.5
5,26.0,PHO,NBA,C,55.0,12.0,29.7,5.3,9.5,0.563,0.0,0.1,0.25,5.3,9.4,0.5660000000000001,0.564,2.3,3.2,0.731,2.0,7.3,9.3,1.0,0.5,1.3,1.2,2.5,13.0,15.8,9.1,24.9
6,27.0,PHO,NBA,C,66.0,66.0,32.0,6.5,11.7,0.555,0.0,0.0,0.0,6.5,11.6,0.557,0.555,2.5,3.8,0.649,2.8,7.2,10.0,0.9,0.7,1.5,1.4,2.2,15.4,18.6,9.4,28.0
7,28.0,PHO,NBA,C,61.0,61.0,30.8,4.8,9.3,0.521,0.0,0.0,0.0,4.8,9.2,0.524,0.521,1.5,2.3,0.652,2.1,6.4,8.5,1.2,0.7,1.6,1.6,2.1,11.1,14.0,8.700000000000001,22.700000000000003
8,29.0,WAS,NBA,C,81.0,80.0,32.8,5.6,10.4,0.542,0.0,0.0,1.0,5.6,10.4,0.541,0.542,1.9,2.8,0.6859999999999999,2.5,7.0,9.5,1.7,0.5,1.5,1.6,2.5,13.2,17.5,9.0,26.5
9,30.0,WAS,NBA,C,82.0,82.0,29.9,5.4,9.5,0.5660000000000001,0.0,0.0,0.0,5.4,9.4,0.569,0.5660000000000001,1.5,2.1,0.703,2.2,6.5,8.7,1.2,0.6,1.3,1.2,2.3,12.2,15.599999999999998,8.4,24.0
10,31.0,WAS,NBA,C,75.0,74.0,30.1,5.8,10.2,0.5670000000000001,0.0,0.0,0.0,5.8,10.2,0.5670000000000001,0.5670000000000001,1.9,2.8,0.705,3.0,6.9,9.9,1.4,0.6,1.3,1.6,2.6,13.5,17.7,8.8,26.5
11,32.0,WAS,NBA,C,82.0,82.0,31.2,4.8,8.2,0.579,0.0,0.0,0.0,4.8,8.2,0.58,0.579,1.3,1.9,0.648,2.9,7.5,10.4,1.5,0.5,0.7,1.5,2.6,10.8,15.200000000000003,8.7,23.900000000000002
12,,,NBA,,677.0,462.0,26.4,4.4,8.0,0.556,0.0,0.0,0.15,4.4,8.0,0.557,0.556,1.5,2.2,0.679,2.2,5.9,8.2,1.0,0.5,1.2,1.2,2.2,10.4,13.400000000000002,7.6000000000000005,21.000000000000004
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,WAS,NBA,,320.0,318.0,31.0,5.4,9.5,0.562,0.0,0.0,0.14300000000000002,5.4,9.5,0.563,0.563,1.7,2.4,0.687,2.6,7.0,9.6,1.4,0.6,1.2,1.5,2.5,12.4,16.3,8.799999999999999,25.1
15,,PHO,NBA,,182.0,139.0,30.9,5.6,10.2,0.547,0.0,0.0,0.111,5.6,10.2,0.5489999999999999,0.547,2.1,3.1,0.6759999999999999,2.3,7.0,9.3,1.0,0.6,1.5,1.4,2.2,13.3,16.200000000000003,9.1,25.300000000000004
16,,ORL,NBA,,175.0,5.0,13.3,1.6,2.9,0.545,0.0,0.0,0.25,1.6,2.9,0.547,0.546,0.5,0.8,0.645,1.4,2.9,4.3,0.3,0.2,0.8,0.5,1.7,3.7,5.2,3.9000000000000004,9.100000000000001
