,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,NOH,NBA,SG,73.0,17.0,25.6,5.5,12.1,0.451,1.6,4.3,0.374,3.8,7.8,0.493,0.517,2.0,2.4,0.8140000000000001,1.0,1.9,2.9,1.6,0.8,0.2,1.0,1.7,14.5,17.7,2.9000000000000004,20.6
1,23.0,TOT,NBA,SG,73.0,23.0,24.3,4.8,11.1,0.434,1.2,3.3,0.36700000000000005,3.6,7.8,0.462,0.488,2.0,2.5,0.7879999999999999,0.8,2.7,3.5,1.8,0.9,0.1,1.3,1.5,12.8,15.900000000000002,3.7,19.6
2,23.0,NOH,NBA,SG,46.0,0.0,16.2,3.0,7.3,0.41,0.8,2.0,0.376,2.2,5.2,0.423,0.46299999999999997,1.1,1.4,0.758,0.5,2.3,2.8,0.9,0.4,0.1,0.8,1.1,7.8,9.299999999999999,2.8,12.099999999999998
3,23.0,SAC,NBA,SG,27.0,23.0,38.1,7.9,17.5,0.45,2.0,5.4,0.361,5.9,12.1,0.491,0.506,3.5,4.4,0.805,1.3,3.4,4.7,3.4,1.7,0.2,2.1,2.2,21.3,27.299999999999997,5.3,32.599999999999994
4,24.0,SAC,NBA,SG,51.0,51.0,34.9,6.9,15.7,0.43799999999999994,2.1,6.1,0.345,4.8,9.7,0.49700000000000005,0.505,2.8,3.2,0.865,1.6,2.0,3.7,1.9,1.4,0.2,1.6,2.2,18.7,22.5,3.6,26.1
5,25.0,SAC,NBA,SG,72.0,8.0,24.0,4.6,10.8,0.429,2.0,5.3,0.37200000000000005,2.7,5.5,0.484,0.52,1.5,1.8,0.8809999999999999,0.7,1.8,2.5,1.3,0.8,0.1,0.9,1.5,12.7,15.1,2.7,17.8
6,26.0,TOT,NBA,SG,72.0,27.0,24.2,3.5,8.9,0.39399999999999996,1.5,4.4,0.345,2.0,4.5,0.44299999999999995,0.48,1.3,1.6,0.804,0.8,2.0,2.8,1.1,0.8,0.2,0.9,1.5,9.8,11.9,3.0,14.9
7,26.0,SAC,NBA,SG,46.0,26.0,24.4,3.1,8.1,0.381,1.2,3.9,0.318,1.8,4.2,0.43799999999999994,0.457,0.9,1.1,0.8079999999999999,0.8,1.8,2.7,1.0,0.7,0.2,0.8,1.6,8.3,10.3,2.7,13.0
8,26.0,BRK,NBA,SG,26.0,1.0,23.8,4.2,10.2,0.414,2.0,5.3,0.38,2.2,5.0,0.45,0.511,1.8,2.3,0.8,0.7,2.2,2.8,1.2,1.0,0.1,1.1,1.4,12.3,14.3,3.3000000000000003,17.6
9,27.0,TOT,NBA,SG,48.0,0.0,15.0,2.9,7.2,0.406,1.1,3.0,0.37799999999999995,1.8,4.2,0.426,0.484,1.0,1.2,0.821,0.5,1.3,1.8,0.8,0.6,0.1,0.6,0.8,7.9,9.4,2.0,11.4
