,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,DAL,NBA,PF,47,24,20.4,2.9,7.1,0.405,0.3,1.4,0.20600000000000002,2.6,5.7,0.455,0.426,2.1,2.7,0.773,0.9,2.6,3.4,1.0,0.6,0.6,1.6,2.2,8.2,9.5,3.8000000000000003,13.3
1,21.0,DAL,NBA,PF,82,81,35.8,6.3,13.6,0.461,1.4,3.7,0.379,4.9,9.9,0.491,0.513,3.5,4.2,0.83,1.2,5.2,6.5,2.5,0.8,0.8,1.7,3.1,17.5,22.0,6.8,28.8
2,22.0,DAL,NBA,PF,82,82,38.1,7.2,15.2,0.474,1.8,4.8,0.387,5.4,10.5,0.513,0.534,5.5,6.6,0.838,1.5,7.7,9.2,2.1,1.0,1.2,1.9,3.0,21.8,25.6,9.899999999999999,35.5
3,23.0,DAL,NBA,C,76,76,38.0,7.9,16.6,0.47700000000000004,1.8,4.6,0.397,6.1,11.9,0.508,0.532,5.8,6.8,0.853,1.6,8.4,9.9,2.4,1.1,1.0,1.9,2.9,23.4,27.9,10.5,38.4
4,24.0,DAL,NBA,PF,80,80,39.0,8.6,18.6,0.46299999999999997,1.9,4.9,0.379,6.8,13.7,0.493,0.513,6.0,6.9,0.8809999999999999,1.0,8.9,9.9,3.0,1.4,1.0,1.9,2.6,25.1,30.200000000000003,11.3,41.5
5,25.0,DAL,NBA,C,77,77,37.9,7.9,17.0,0.462,1.3,3.8,0.341,6.6,13.2,0.496,0.5,4.8,5.5,0.877,1.2,7.5,8.7,2.7,1.2,1.4,1.8,2.8,21.8,26.6,10.1,36.7
6,26.0,DAL,NBA,PF,78,78,38.7,8.5,18.5,0.45899999999999996,1.2,2.9,0.39899999999999997,7.3,15.6,0.47,0.49,7.9,9.1,0.8690000000000001,1.2,8.5,9.7,3.1,1.2,1.5,2.3,2.8,26.1,31.2,11.2,42.4
7,27.0,DAL,NBA,PF,81,81,38.1,9.3,19.3,0.48,1.4,3.3,0.406,7.9,16.0,0.496,0.515,6.7,7.4,0.9009999999999999,1.4,7.6,9.0,2.8,0.7,1.0,1.9,2.0,26.6,31.700000000000003,9.299999999999999,41.0
8,28.0,DAL,NBA,PF,78,78,36.2,8.6,17.2,0.502,0.9,2.2,0.41600000000000004,7.7,15.0,0.515,0.529,6.4,7.1,0.904,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,30.9,8.8,39.7
9,29.0,DAL,NBA,PF,77,77,36.0,8.2,17.1,0.479,1.0,2.9,0.359,7.2,14.2,0.504,0.51,6.2,7.1,0.879,1.2,7.3,8.6,3.5,0.7,0.9,2.1,2.6,23.6,29.7,8.9,38.6
10,30.0,DAL,NBA,PF,81,81,37.7,9.6,20.0,0.479,0.8,2.1,0.359,8.8,17.9,0.493,0.498,6.0,6.7,0.89,1.1,7.3,8.4,2.4,0.8,0.8,1.9,2.2,25.9,29.9,8.9,38.8
11,31.0,DAL,NBA,PF,81,80,37.5,8.9,18.5,0.48100000000000004,0.6,1.5,0.42100000000000004,8.3,17.0,0.48700000000000004,0.498,6.6,7.2,0.915,1.0,6.7,7.7,2.7,0.9,1.0,1.8,2.6,25.0,29.599999999999998,8.600000000000001,38.2
12,32.0,DAL,NBA,PF,73,73,34.3,8.4,16.2,0.517,0.9,2.3,0.39299999999999996,7.5,13.8,0.5379999999999999,0.545,5.4,6.1,0.892,0.7,6.3,7.0,2.6,0.5,0.6,1.9,2.4,23.0,27.0,7.3999999999999995,34.4
13,33.0,DAL,NBA,PF,62,62,33.5,7.6,16.7,0.457,1.3,3.4,0.368,6.4,13.3,0.48100000000000004,0.495,5.1,5.7,0.8959999999999999,0.7,6.0,6.7,2.2,0.7,0.5,1.9,2.1,21.6,24.800000000000004,7.2,32.00000000000001
14,34.0,DAL,NBA,PF,53,47,31.3,6.5,13.7,0.47100000000000003,1.2,3.0,0.414,5.2,10.8,0.48700000000000004,0.516,3.1,3.6,0.86,0.7,6.2,6.8,2.5,0.7,0.7,1.3,1.8,17.3,21.7,7.6000000000000005,29.3
15,35.0,DAL,NBA,PF,80,80,32.9,7.9,15.9,0.49700000000000005,1.6,4.1,0.39799999999999996,6.3,11.8,0.532,0.5489999999999999,4.2,4.7,0.899,0.5,5.7,6.2,2.7,0.9,0.6,1.5,2.1,21.7,26.1,7.2,33.300000000000004
16,36.0,DAL,NBA,PF,77,77,29.6,6.3,13.8,0.45899999999999996,1.4,3.6,0.38,5.0,10.2,0.486,0.508,3.3,3.8,0.882,0.6,5.4,5.9,1.9,0.5,0.4,1.1,2.1,17.3,20.599999999999998,6.300000000000001,26.9
17,37.0,DAL,NBA,PF,75,75,31.5,6.6,14.8,0.44799999999999995,1.7,4.6,0.368,5.0,10.3,0.483,0.504,3.3,3.7,0.893,0.7,5.8,6.5,1.8,0.7,0.7,1.1,2.1,18.3,21.5,7.2,28.7
18,38.0,DAL,NBA,PF,54,54,26.4,5.5,12.6,0.43700000000000006,1.5,3.9,0.37799999999999995,4.0,8.7,0.46299999999999997,0.495,1.8,2.1,0.875,0.4,6.1,6.5,1.5,0.6,0.7,0.9,2.1,14.2,16.7,7.3999999999999995,24.099999999999998
19,,,NBA,,1394,1363,34.9,7.7,16.2,0.473,1.3,3.3,0.381,6.4,12.9,0.49700000000000005,0.512,5.1,5.8,0.879,1.0,6.8,7.8,2.5,0.8,0.9,1.7,2.4,21.7,26.0,8.5,34.5
