,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,DAL,NBA,PG,33.0,1.0,5.8,0.8,2.4,0.359,0.2,0.6,0.28600000000000003,0.7,1.7,0.386,0.397,0.5,0.7,0.667,0.2,0.5,0.8,0.7,0.0,0.0,0.4,0.6,2.4,3.6,0.5,4.1
1,23.0,DAL,NBA,PG,44.0,9.0,10.5,1.6,3.9,0.418,0.5,1.2,0.389,1.1,2.6,0.431,0.479,0.6,0.8,0.8,0.1,1.0,1.1,1.3,0.3,0.0,0.8,1.1,4.3,6.2,1.3,7.5
2,24.0,DAL,NBA,SG,79.0,15.0,20.3,3.1,7.1,0.442,0.7,1.9,0.35700000000000004,2.4,5.1,0.474,0.491,0.9,1.2,0.753,0.5,1.8,2.2,3.4,0.5,0.1,1.3,1.5,7.8,13.799999999999999,2.4,16.2
3,25.0,DAL,NBA,PG,78.0,18.0,19.8,3.0,6.8,0.44,0.7,2.0,0.35700000000000004,2.3,4.7,0.47600000000000003,0.493,1.0,1.2,0.8440000000000001,0.2,1.7,1.9,3.3,0.4,0.1,1.3,1.5,7.6,13.099999999999998,2.2,15.299999999999997
4,26.0,DAL,NBA,PG,81.0,2.0,20.6,3.5,8.0,0.439,0.8,2.3,0.349,2.7,5.7,0.47600000000000003,0.49,1.6,1.9,0.847,0.4,1.6,2.0,3.9,0.4,0.0,1.7,1.7,9.5,16.0,2.0,18.0
5,27.0,MIN,NBA,PG,41.0,11.0,25.2,4.1,10.2,0.4,1.3,3.5,0.371,2.8,6.7,0.415,0.46299999999999997,1.9,2.4,0.7759999999999999,0.3,2.4,2.8,5.7,0.5,0.0,2.5,1.5,11.3,20.5,2.9,23.4
6,28.0,MIN,NBA,PG,74.0,2.0,23.1,4.3,10.2,0.41700000000000004,1.3,3.8,0.34600000000000003,3.0,6.5,0.45799999999999996,0.48100000000000004,1.4,1.8,0.784,0.5,2.3,2.8,4.0,0.4,0.0,2.0,1.8,11.3,17.8,2.6999999999999997,20.5
7,29.0,MIN,NBA,PG,79.0,1.0,18.6,3.2,8.3,0.387,0.9,2.9,0.316,2.3,5.4,0.426,0.44299999999999995,1.0,1.3,0.79,0.2,1.7,1.9,3.8,0.3,0.0,1.6,1.6,8.4,14.6,2.0,16.6
8,30.0,DAL,NBA,PG,77.0,10.0,17.7,2.9,7.0,0.42,0.7,2.2,0.32299999999999995,2.2,4.8,0.46299999999999997,0.47,1.0,1.2,0.809,0.3,1.4,1.7,3.4,0.4,0.0,0.9,1.4,7.5,13.7,1.7999999999999998,15.5
9,31.0,DAL,NBA,PG,74.0,16.0,22.5,4.3,9.6,0.446,1.4,3.5,0.385,2.9,6.1,0.48100000000000004,0.516,1.0,1.3,0.7709999999999999,0.4,1.7,2.1,4.1,0.4,0.0,1.5,1.5,10.9,18.0,2.1,20.1
10,32.0,DAL,NBA,PG,35.0,6.0,22.0,4.1,9.8,0.414,1.5,4.2,0.358,2.5,5.6,0.456,0.491,1.3,1.5,0.863,0.3,2.1,2.4,5.5,0.4,0.0,1.8,0.9,10.9,20.400000000000002,2.5,22.900000000000002
11,,,NBA,,695.0,91.0,19.4,3.3,7.8,0.423,0.9,2.6,0.35100000000000003,2.4,5.2,0.45799999999999996,0.48100000000000004,1.1,1.4,0.799,0.3,1.7,2.0,3.6,0.4,0.0,1.5,1.5,8.6,14.600000000000001,2.1,16.700000000000003
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,DAL,NBA,,501.0,77.0,18.5,3.1,7.1,0.433,0.8,2.3,0.35700000000000004,2.3,4.8,0.469,0.49,1.0,1.3,0.8079999999999999,0.3,1.5,1.8,3.4,0.4,0.0,1.3,1.4,8.0,13.799999999999999,1.9,15.7
14,,MIN,NBA,,194.0,14.0,21.7,3.8,9.4,0.402,1.1,3.4,0.341,2.6,6.1,0.436,0.46299999999999997,1.3,1.7,0.7829999999999999,0.3,2.1,2.4,4.3,0.4,0.0,1.9,1.7,10.1,17.1,2.5,19.6
