,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,TOR,NBA,PF,29.0,0.0,11.8,1.4,2.6,0.56,0.0,0.1,0.5,1.4,2.5,0.562,0.5670000000000001,1.1,1.3,0.816,1.0,1.6,2.7,0.4,0.4,0.5,0.6,1.8,4.0,5.2,2.5,7.7
1,23.0,TOT,NBA,SF,63.0,0.0,13.4,1.0,2.2,0.46799999999999997,0.1,0.2,0.267,1.0,2.0,0.49200000000000005,0.48200000000000004,0.6,0.8,0.66,1.1,2.3,3.4,0.4,0.4,0.4,0.5,1.9,2.7,4.1000000000000005,3.0999999999999996,7.2
2,23.0,TOR,NBA,SF,7.0,0.0,8.7,0.9,2.0,0.429,0.3,0.7,0.4,0.6,1.3,0.444,0.5,0.7,1.1,0.625,0.7,1.4,2.1,0.6,0.6,0.4,0.3,1.1,2.7,4.3,2.4,6.699999999999999
3,23.0,SAC,NBA,SF,56.0,0.0,14.0,1.1,2.3,0.47200000000000003,0.0,0.2,0.2,1.0,2.1,0.496,0.48,0.5,0.8,0.667,1.2,2.4,3.6,0.4,0.3,0.4,0.5,2.0,2.7,4.2,3.0999999999999996,7.3
4,24.0,NYK,NBA,PF,68.0,22.0,18.9,2.2,4.9,0.45899999999999996,0.3,0.9,0.3,2.0,4.0,0.494,0.486,1.1,1.4,0.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,5.9,8.200000000000001,3.9999999999999996,12.200000000000001
5,25.0,SAC,NBA,PF,59.0,29.0,14.8,2.0,3.6,0.556,0.3,0.8,0.38799999999999996,1.7,2.8,0.606,0.6,0.8,1.2,0.735,1.1,2.1,3.2,0.5,0.5,0.4,0.5,1.7,5.2,6.800000000000001,3.0,9.8
6,26.0,TOT,NBA,PF,38.0,1.0,14.7,1.8,4.5,0.41200000000000003,1.0,2.4,0.41100000000000003,0.9,2.1,0.413,0.521,1.2,1.6,0.75,0.5,2.5,3.0,0.5,0.4,0.4,0.6,1.8,5.8,6.7,3.3,10.0
7,26.0,DAL,NBA,PF,6.0,0.0,8.0,0.8,2.8,0.294,0.2,1.2,0.14300000000000002,0.7,1.7,0.4,0.324,0.3,0.5,0.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.2,2.2,1.0,3.2
8,26.0,BRK,NBA,PF,32.0,1.0,15.9,2.0,4.8,0.425,1.1,2.6,0.434,0.9,2.2,0.414,0.542,1.3,1.8,0.754,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,6.5,7.700000000000001,3.6999999999999997,11.4
9,,,NBA,,257.0,52.0,15.2,1.7,3.6,0.48200000000000004,0.3,0.8,0.366,1.4,2.8,0.517,0.525,0.9,1.2,0.75,1.0,2.5,3.5,0.6,0.4,0.4,0.6,1.9,4.7,6.300000000000001,3.3,9.600000000000001
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,SAC,NBA,,115.0,29.0,14.5,1.6,3.0,0.525,0.2,0.5,0.35600000000000004,1.4,2.5,0.56,0.556,0.7,1.0,0.708,1.1,2.2,3.4,0.4,0.4,0.4,0.5,1.9,4.0,5.4,3.0,8.4
12,,NYK,NBA,,68.0,22.0,18.9,2.2,4.9,0.45899999999999996,0.3,0.9,0.3,2.0,4.0,0.494,0.486,1.1,1.4,0.784,1.2,3.3,4.4,1.0,0.4,0.3,0.9,2.2,5.9,8.200000000000001,3.9999999999999996,12.200000000000001
13,,TOR,NBA,,36.0,0.0,11.2,1.3,2.5,0.539,0.1,0.2,0.429,1.3,2.3,0.5489999999999999,0.556,1.0,1.3,0.7829999999999999,1.0,1.6,2.6,0.4,0.5,0.5,0.5,1.7,3.8,5.1,2.6,7.699999999999999
14,,BRK,NBA,,32.0,1.0,15.9,2.0,4.8,0.425,1.1,2.6,0.434,0.9,2.2,0.414,0.542,1.3,1.8,0.754,0.6,2.8,3.3,0.6,0.4,0.5,0.6,1.8,6.5,7.700000000000001,3.6999999999999997,11.4
15,,DAL,NBA,,6.0,0.0,8.0,0.8,2.8,0.294,0.2,1.2,0.14300000000000002,0.7,1.7,0.4,0.324,0.3,0.5,0.667,0.3,1.0,1.3,0.0,0.0,0.0,0.3,1.5,2.2,2.2,1.0,3.2
