,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,TOT,NBA,PG,2.0,0.0,6.5,0.5,1.5,0.33299999999999996,0.5,0.5,1.0,0.0,1.0,0.0,0.5,0.0,0.0,,0.0,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.5,1.5,1.5,3.0
1,23.0,MEM,NBA,PG,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,23.0,CLE,NBA,PG,1.0,0.0,9.0,1.0,3.0,0.33299999999999996,1.0,1.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0
3,24.0,PHO,NBA,PG,2.0,0.0,4.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
4,25.0,SAC,NBA,PG,44.0,9.0,15.7,2.3,5.1,0.455,1.1,2.5,0.45,1.2,2.6,0.46,0.5670000000000001,1.0,1.2,0.833,0.2,1.2,1.4,1.5,0.5,0.1,0.8,0.9,6.8,9.2,1.8,11.0
5,26.0,DAL,NBA,PG,70.0,42.0,29.0,4.8,10.0,0.48100000000000004,2.0,4.6,0.425,2.9,5.4,0.528,0.578,1.2,1.4,0.85,0.4,2.2,2.6,2.7,1.1,0.1,1.3,1.8,12.8,17.3,3.4000000000000004,20.700000000000003
6,,,NBA,,118.0,51.0,23.2,3.7,7.9,0.473,1.6,3.7,0.43200000000000005,2.1,4.2,0.508,0.573,1.1,1.3,0.8440000000000001,0.3,1.8,2.1,2.2,0.9,0.1,1.1,1.4,10.2,13.799999999999999,2.8000000000000003,16.599999999999998
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,DAL,NBA,,70.0,42.0,29.0,4.8,10.0,0.48100000000000004,2.0,4.6,0.425,2.9,5.4,0.528,0.578,1.2,1.4,0.85,0.4,2.2,2.6,2.7,1.1,0.1,1.3,1.8,12.8,17.3,3.4000000000000004,20.700000000000003
9,,SAC,NBA,,44.0,9.0,15.7,2.3,5.1,0.455,1.1,2.5,0.45,1.2,2.6,0.46,0.5670000000000001,1.0,1.2,0.833,0.2,1.2,1.4,1.5,0.5,0.1,0.8,0.9,6.8,9.2,1.8,11.0
10,,PHO,NBA,,2.0,0.0,4.0,0.0,1.5,0.0,0.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.0,1.0,0.5,0.0,0.0,0.0,1.0,0.0,1.0,1.0,2.0
11,,CLE,NBA,,1.0,0.0,9.0,1.0,3.0,0.33299999999999996,1.0,1.0,1.0,0.0,2.0,0.0,0.5,0.0,0.0,,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,3.0,3.0,3.0,6.0
12,,MEM,NBA,,1.0,0.0,4.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
