,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,POR,NBA,SG,73.0,5.0,12.2,1.6,4.2,0.382,0.1,0.9,0.138,1.5,3.3,0.447,0.396,0.7,0.9,0.769,0.5,1.5,2.0,0.8,0.5,0.1,0.8,0.8,4.0,5.3,2.1,7.4
1,23.0,POR,NBA,SG,41.0,0.0,9.4,1.6,3.8,0.41700000000000004,0.2,0.8,0.303,1.3,3.0,0.447,0.449,0.6,0.8,0.813,0.4,1.4,1.8,0.8,0.2,0.2,0.4,0.8,4.0,5.6,1.7999999999999998,7.3999999999999995
2,24.0,TOT,NBA,SG,58.0,0.0,16.9,2.6,6.1,0.425,0.4,1.5,0.271,2.2,4.6,0.474,0.45799999999999996,1.3,1.6,0.787,0.4,2.3,2.8,1.4,0.8,0.3,1.1,1.2,6.8,8.9,3.3999999999999995,12.3
3,24.0,POR,NBA,SG,30.0,0.0,10.0,1.3,3.3,0.38,0.1,0.6,0.222,1.1,2.7,0.415,0.4,0.3,0.5,0.667,0.1,1.0,1.1,0.9,0.5,0.1,0.6,0.7,3.0,4.300000000000001,1.6,5.9
4,24.0,DEN,NBA,SG,28.0,0.0,24.4,4.0,9.0,0.44299999999999995,0.7,2.4,0.284,3.3,6.6,0.5,0.48,2.3,2.8,0.81,0.8,3.8,4.6,1.9,1.2,0.5,1.6,1.8,11.0,14.0,5.5,19.5
5,25.0,DEN,NBA,SG,82.0,1.0,28.7,5.2,12.0,0.43200000000000005,1.4,4.0,0.345,3.8,8.0,0.47600000000000003,0.489,2.6,3.3,0.8059999999999999,0.7,5.1,5.8,2.5,0.9,0.5,1.7,1.8,14.4,18.400000000000002,6.5,24.900000000000002
6,26.0,DEN,NBA,SG,60.0,19.0,28.4,4.9,11.1,0.44299999999999995,1.5,3.9,0.37,3.5,7.2,0.483,0.508,2.4,3.2,0.753,1.0,3.4,4.3,3.4,0.8,0.5,1.6,1.8,13.7,19.9,4.7,24.599999999999998
7,,,NBA,,314.0,25.0,20.1,3.4,7.9,0.42700000000000005,0.8,2.4,0.324,2.6,5.5,0.47100000000000003,0.47600000000000003,1.6,2.1,0.784,0.6,2.9,3.6,1.9,0.7,0.3,1.2,1.3,9.1,12.3,3.8999999999999995,16.2
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,DEN,NBA,,170.0,20.0,27.9,4.9,11.2,0.43700000000000006,1.3,3.7,0.348,3.6,7.5,0.48200000000000004,0.495,2.5,3.2,0.7879999999999999,0.8,4.3,5.1,2.7,0.9,0.5,1.6,1.8,13.6,18.2,5.7,23.9
10,,POR,NBA,,144.0,5.0,11.0,1.5,3.9,0.391,0.2,0.8,0.198,1.4,3.1,0.441,0.41200000000000003,0.6,0.8,0.768,0.4,1.4,1.8,0.8,0.4,0.1,0.7,0.7,3.8,5.1,1.9,7.0
