,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,UTA,NBA,SG,23.0,0.0,7.5,1.1,2.9,0.38799999999999996,0.5,1.3,0.355,0.7,1.6,0.41700000000000004,0.47,0.2,0.3,0.7140000000000001,0.1,0.7,0.8,0.7,0.3,0.1,0.6,1.0,3.0,3.9,1.1,5.0
1,23.0,TOT,NBA,SG,30.0,0.0,6.4,0.6,1.8,0.345,0.3,1.0,0.33299999999999996,0.3,0.8,0.36,0.436,0.3,0.3,1.0,0.1,0.4,0.5,0.4,0.3,0.1,0.3,0.7,1.9,2.5,0.7999999999999999,3.3
2,23.0,UTA,NBA,SG,23.0,0.0,7.0,0.7,1.9,0.341,0.4,1.1,0.36,0.3,0.8,0.316,0.44299999999999995,0.2,0.2,1.0,0.2,0.4,0.6,0.4,0.3,0.1,0.3,0.5,1.9,2.6,0.7999999999999999,3.4
3,23.0,DEN,NBA,SG,7.0,0.0,4.4,0.6,1.6,0.364,0.1,0.7,0.2,0.4,0.9,0.5,0.409,0.6,0.6,1.0,0.0,0.4,0.4,0.3,0.4,0.1,0.3,1.1,1.9,2.2,0.9,3.1
4,24.0,GSW,NBA,SG,66.0,1.0,8.8,1.3,3.1,0.441,0.5,1.3,0.35700000000000004,0.9,1.8,0.5,0.515,0.4,0.5,0.8240000000000001,0.2,0.8,1.0,1.0,0.3,0.2,0.7,0.9,3.6,5.1000000000000005,1.3,6.4
5,25.0,GSW,NBA,SG,77.0,0.0,14.8,2.7,5.6,0.48700000000000004,0.8,2.1,0.374,1.9,3.5,0.556,0.5579999999999999,0.6,0.8,0.759,0.3,1.3,1.6,1.2,0.5,0.1,0.7,1.0,6.8,8.8,1.9000000000000001,10.700000000000001
6,,,NBA,,196.0,1.0,10.6,1.8,3.9,0.456,0.6,1.6,0.364,1.2,2.3,0.519,0.53,0.4,0.6,0.7959999999999999,0.2,0.9,1.1,0.9,0.4,0.1,0.6,0.9,4.5,5.9,1.4000000000000001,7.300000000000001
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,GSW,NBA,,143.0,1.0,12.0,2.1,4.4,0.47200000000000003,0.6,1.7,0.368,1.5,2.7,0.539,0.544,0.5,0.6,0.7829999999999999,0.2,1.1,1.3,1.1,0.4,0.1,0.7,0.9,5.3,7.0,1.6,8.6
9,,UTA,NBA,,46.0,0.0,7.2,0.9,2.4,0.369,0.4,1.2,0.35700000000000004,0.5,1.2,0.382,0.45899999999999996,0.2,0.3,0.833,0.2,0.5,0.7,0.5,0.3,0.1,0.5,0.8,2.4,3.0999999999999996,0.9,3.9999999999999996
10,,DEN,NBA,,7.0,0.0,4.4,0.6,1.6,0.364,0.1,0.7,0.2,0.4,0.9,0.5,0.409,0.6,0.6,1.0,0.0,0.4,0.4,0.3,0.4,0.1,0.3,1.1,1.9,2.2,0.9,3.1
