,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,WAS,NBA,C,75.0,14.0,15.2,2.5,5.2,0.494,0.0,0.0,,2.5,5.2,0.494,0.494,1.4,2.2,0.66,1.6,2.3,3.9,0.3,0.4,1.0,0.8,2.1,6.5,7.8999999999999995,3.6999999999999997,11.6
1,22.0,WAS,NBA,C,60.0,19.0,16.1,2.6,5.1,0.508,0.0,0.0,0.0,2.6,5.1,0.51,0.508,1.2,1.9,0.638,1.5,2.6,4.1,0.2,0.3,1.7,0.9,2.0,6.4,7.4,4.6,12.0
2,23.0,WAS,NBA,C,79.0,75.0,27.8,4.2,7.6,0.55,0.0,0.0,0.0,4.2,7.6,0.552,0.55,1.7,2.9,0.583,2.8,5.2,8.0,0.5,0.5,2.4,1.3,2.9,10.1,12.599999999999998,8.1,20.699999999999996
3,24.0,TOT,NBA,C,61.0,45.0,25.2,5.0,9.0,0.556,0.0,0.0,,5.0,9.0,0.556,0.556,1.3,2.7,0.461,2.7,5.1,7.8,0.5,0.6,2.2,1.4,2.7,11.3,13.6,7.8999999999999995,21.5
4,24.0,WAS,NBA,C,41.0,40.0,27.4,5.2,9.8,0.535,0.0,0.0,,5.2,9.8,0.535,0.535,1.4,2.8,0.5,3.1,5.7,8.8,0.6,0.6,2.5,1.7,2.9,11.9,14.5,8.8,23.3
5,24.0,DEN,NBA,C,20.0,5.0,20.6,4.7,7.6,0.612,0.0,0.0,,4.7,7.6,0.612,0.612,1.0,2.6,0.373,1.8,4.0,5.8,0.3,0.5,1.6,1.0,2.4,10.3,11.700000000000001,6.1,17.8
6,25.0,DEN,NBA,C,79.0,0.0,18.1,3.8,6.7,0.575,0.0,0.0,1.0,3.8,6.7,0.574,0.5760000000000001,1.4,2.4,0.591,2.0,2.8,4.8,0.3,0.4,2.0,1.1,2.3,9.1,10.6,5.199999999999999,15.799999999999999
7,26.0,DEN,NBA,C,5.0,5.0,15.8,3.4,7.6,0.447,0.0,0.0,,3.4,7.6,0.447,0.447,0.2,0.2,1.0,2.0,1.4,3.4,0.4,0.2,1.4,1.6,3.2,7.0,8.200000000000001,3.0,11.200000000000001
8,27.0,TOT,NBA,C,23.0,0.0,11.1,1.8,3.4,0.532,0.0,0.0,,1.8,3.4,0.532,0.532,1.0,1.4,0.667,0.8,1.9,2.7,0.1,0.1,0.9,0.8,1.3,4.6,4.8,2.9,7.699999999999999
9,27.0,DEN,NBA,C,17.0,0.0,11.5,2.0,3.6,0.557,0.0,0.0,,2.0,3.6,0.557,0.557,1.2,1.7,0.69,0.8,2.0,2.8,0.1,0.1,1.1,0.8,1.6,5.2,5.4,3.2,8.600000000000001
10,27.0,PHI,NBA,C,6.0,0.0,10.2,1.3,3.0,0.444,0.0,0.0,,1.3,3.0,0.444,0.444,0.3,0.7,0.5,0.7,1.5,2.2,0.3,0.0,0.2,0.8,0.3,3.0,3.5,1.7,5.2
11,28.0,DAL,NBA,C,34.0,2.0,10.9,2.3,3.9,0.575,0.0,0.0,0.0,2.3,3.9,0.579,0.575,0.5,1.1,0.5,1.6,2.4,3.9,0.1,0.1,0.8,0.6,1.4,5.1,6.3,3.3,9.6
12,29.0,GSW,NBA,C,77.0,10.0,9.6,2.7,4.1,0.652,0.0,0.0,0.0,2.7,4.1,0.6579999999999999,0.652,0.7,1.4,0.505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1,7.3,3.0,10.3
13,,,NBA,,493.0,170.0,17.7,3.3,6.0,0.5539999999999999,0.0,0.0,0.111,3.3,6.0,0.555,0.5539999999999999,1.2,2.1,0.575,1.9,3.1,5.0,0.3,0.4,1.6,1.0,2.2,7.8,9.3,5.1,14.4
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,WAS,NBA,,255.0,148.0,21.3,3.5,6.7,0.526,0.0,0.0,0.0,3.5,6.6,0.527,0.526,1.5,2.4,0.598,2.2,3.8,6.0,0.4,0.5,1.8,1.1,2.5,8.5,10.4,6.1,16.5
16,,DEN,NBA,,121.0,10.0,17.5,3.7,6.4,0.575,0.0,0.0,1.0,3.7,6.4,0.574,0.575,1.2,2.2,0.562,1.8,2.8,4.6,0.3,0.4,1.8,1.1,2.3,8.6,9.9,5.0,14.9
17,,GSW,NBA,,77.0,10.0,9.6,2.7,4.1,0.652,0.0,0.0,0.0,2.7,4.1,0.6579999999999999,0.652,0.7,1.4,0.505,1.3,1.9,3.2,0.2,0.2,0.9,0.5,1.4,6.1,7.3,3.0,10.3
18,,DAL,NBA,,34.0,2.0,10.9,2.3,3.9,0.575,0.0,0.0,0.0,2.3,3.9,0.579,0.575,0.5,1.1,0.5,1.6,2.4,3.9,0.1,0.1,0.8,0.6,1.4,5.1,6.3,3.3,9.6
19,,PHI,NBA,,6.0,0.0,10.2,1.3,3.0,0.444,0.0,0.0,,1.3,3.0,0.444,0.444,0.3,0.7,0.5,0.7,1.5,2.2,0.3,0.0,0.2,0.8,0.3,3.0,3.5,1.7,5.2
