,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,,NBA,PG,30.0,15.0,27.1,3.0,7.2,0.414,0.0,0.1,0.0,3.0,7.1,0.418,0.414,1.5,2.0,0.746,0.7,2.2,3.0,5.0,1.1,0.4,2.5,2.7,7.4,15.600000000000001,3.7,19.3
1,20.0,,NBA,PG,61.0,14.0,25.0,2.4,5.7,0.42700000000000005,0.0,0.1,0.125,2.4,5.6,0.434,0.428,0.9,1.3,0.688,0.7,2.3,3.0,4.5,0.8,0.5,1.8,2.6,5.8,13.7,3.5999999999999996,17.299999999999997
2,21.0,,NBA,PG,54.0,31.0,29.8,3.9,8.3,0.46299999999999997,0.1,0.3,0.313,3.8,8.0,0.469,0.469,1.5,2.1,0.7070000000000001,1.0,2.4,3.4,5.1,1.1,0.5,2.0,2.5,9.3,18.5,4.0,22.5
3,,22.0,Did Not Play (injury—knee),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,23.0,,NBA,PG,12.0,1.0,19.3,2.6,5.0,0.517,0.0,0.0,,2.6,5.0,0.517,0.517,0.8,0.8,0.9,0.3,2.1,2.3,1.7,0.6,0.2,0.8,1.0,5.9,8.799999999999999,2.9000000000000004,11.7
5,23.0,,NBA,PG,4.0,0.0,10.3,0.8,2.0,0.375,0.0,0.0,,0.8,2.0,0.375,0.375,0.8,1.0,0.75,0.0,0.5,0.5,1.0,0.5,0.0,0.8,1.0,2.3,3.5,1.0,4.5
6,23.0,,NBA,PG,8.0,1.0,23.8,3.5,6.5,0.5379999999999999,0.0,0.0,,3.5,6.5,0.5379999999999999,0.5379999999999999,0.8,0.8,1.0,0.4,2.9,3.3,2.0,0.6,0.3,0.8,1.0,7.8,11.399999999999999,3.8,15.2
7,24.0,,NBA,PG,36.0,18.0,22.1,2.9,5.6,0.517,0.0,0.2,0.0,2.9,5.4,0.5329999999999999,0.517,1.2,1.3,0.875,0.4,1.7,2.2,3.6,0.5,0.3,1.6,1.7,6.9,12.9,2.5,15.4
8,24.0,,NBA,PG,10.0,0.0,13.0,0.5,1.6,0.313,0.0,0.2,0.0,0.5,1.4,0.35700000000000004,0.313,0.0,0.0,,0.4,1.6,2.0,1.4,0.5,0.2,0.8,0.9,1.0,3.3999999999999995,2.3000000000000003,5.699999999999999
9,24.0,,NBA,PG,26.0,18.0,25.6,3.8,7.1,0.535,0.0,0.2,0.0,3.8,7.0,0.547,0.535,1.6,1.8,0.875,0.5,1.8,2.2,4.5,0.5,0.3,1.9,2.0,9.2,16.8,2.5999999999999996,19.4
10,25.0,,NBA,PG,73.0,0.0,17.3,2.5,5.4,0.466,0.0,0.1,0.25,2.5,5.4,0.46799999999999997,0.467,1.5,1.7,0.8640000000000001,0.4,1.6,2.0,2.2,0.6,0.4,1.2,1.5,6.6,10.200000000000001,2.6,12.8
