,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,ORL,NBA,C,59.0,2.0,11.3,1.2,3.0,0.389,0.0,0.0,,1.2,3.0,0.389,0.389,1.0,1.5,0.644,1.2,1.8,2.9,0.2,0.4,0.2,0.6,1.5,3.3,4.300000000000001,2.4000000000000004,6.700000000000001
1,20.0,MIL,NBA,C,74.0,4.0,18.9,2.2,4.8,0.452,0.0,0.0,0.0,2.2,4.8,0.45299999999999996,0.452,1.9,2.5,0.746,1.8,3.3,5.1,0.8,0.6,0.5,0.9,2.2,6.2,8.700000000000001,4.4,13.100000000000001
2,21.0,ATL,NBA,C,78.0,78.0,31.4,3.9,8.7,0.451,0.0,0.0,0.0,3.9,8.7,0.452,0.451,3.8,5.2,0.735,3.4,4.5,7.9,1.7,1.1,0.5,2.3,3.7,11.7,16.2,6.1,22.299999999999997
3,22.0,ATL,NBA,C,72.0,47.0,28.1,4.0,8.5,0.474,0.0,0.0,0.0,4.0,8.5,0.475,0.474,4.1,5.2,0.7859999999999999,2.8,4.2,6.9,1.5,1.1,0.5,2.3,3.7,12.2,15.7,5.800000000000001,21.5
4,23.0,ATL,NBA,C,62.0,5.0,15.2,1.7,4.0,0.43700000000000006,0.0,0.0,0.0,1.7,3.9,0.442,0.43700000000000006,1.7,2.5,0.706,1.4,2.6,4.0,0.6,0.4,0.2,1.1,2.3,5.2,6.699999999999999,3.2,9.899999999999999
5,24.0,ATL,NBA,C,77.0,26.0,19.1,2.1,4.2,0.49700000000000005,0.0,0.0,0.0,2.1,4.1,0.502,0.49700000000000005,2.1,3.0,0.7090000000000001,2.2,3.4,5.7,0.7,0.5,0.3,1.2,2.7,6.2,8.600000000000001,4.2,12.8
6,25.0,ATL,NBA,C,78.0,1.0,14.0,1.5,3.2,0.488,0.0,0.1,0.0,1.5,3.1,0.496,0.488,1.2,1.8,0.65,1.5,2.3,3.8,0.5,0.5,0.4,0.7,2.4,4.3,6.1,3.1999999999999997,9.299999999999999
7,26.0,ATL,NBA,C,79.0,7.0,15.7,1.4,2.9,0.461,0.0,0.0,,1.4,2.9,0.461,0.461,1.7,2.3,0.754,1.5,2.7,4.2,0.7,0.4,0.3,0.9,2.3,4.4,6.4,3.4,9.8
8,27.0,ATL,NBA,C,58.0,44.0,28.3,2.9,5.8,0.499,0.0,0.0,,2.9,5.8,0.499,0.499,2.0,2.7,0.741,2.7,5.2,7.9,1.4,0.9,0.5,1.4,3.0,7.8,11.9,6.6000000000000005,18.5
9,28.0,ATL,NBA,C,52.0,15.0,21.8,2.2,4.6,0.473,0.0,0.1,0.0,2.2,4.6,0.479,0.473,1.5,2.0,0.757,2.5,3.9,6.5,1.5,0.7,0.2,1.3,2.5,5.9,10.1,4.8,14.899999999999999
10,29.0,MIL,NBA,C,53.0,43.0,25.0,2.8,6.6,0.42700000000000005,0.0,0.0,0.0,2.8,6.6,0.428,0.42700000000000005,2.1,2.5,0.846,2.7,3.6,6.3,2.6,0.8,0.3,1.7,2.3,7.7,13.900000000000002,4.7,18.6
11,30.0,MIL,NBA,C,73.0,45.0,23.7,3.3,7.2,0.45399999999999996,0.0,0.0,0.0,3.3,7.2,0.456,0.45399999999999996,1.7,2.2,0.7879999999999999,2.7,4.2,6.8,2.4,1.1,0.3,1.8,2.3,8.3,14.0,5.6000000000000005,19.6
12,31.0,DAL,NBA,C,76.0,69.0,26.4,2.9,6.2,0.466,0.0,0.0,0.0,2.9,6.1,0.469,0.466,2.8,3.6,0.768,3.3,6.2,9.4,1.7,0.8,0.3,1.6,2.4,8.6,13.7,7.3,21.0
13,32.0,GSW,NBA,C,70.0,70.0,18.1,2.3,4.4,0.534,0.0,0.0,0.0,2.3,4.4,0.5379999999999999,0.534,1.4,1.8,0.778,2.0,3.9,5.9,1.9,0.8,0.5,1.2,2.4,6.1,10.7,5.2,15.899999999999999
14,,,NBA,,961.0,456.0,21.2,2.5,5.3,0.465,0.0,0.0,0.0,2.5,5.3,0.46799999999999997,0.465,2.1,2.8,0.748,2.3,3.7,6.0,1.3,0.7,0.4,1.4,2.6,7.0,10.5,4.800000000000001,15.3
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,ATL,NBA,,556.0,223.0,21.6,2.5,5.2,0.47100000000000003,0.0,0.0,0.0,2.5,5.2,0.473,0.47100000000000003,2.3,3.1,0.737,2.2,3.5,5.8,1.1,0.7,0.4,1.4,2.8,7.3,10.299999999999999,4.6000000000000005,14.899999999999999
17,,MIL,NBA,,200.0,92.0,22.3,2.7,6.2,0.446,0.0,0.0,0.0,2.7,6.1,0.447,0.446,1.9,2.4,0.787,2.3,3.7,6.1,1.9,0.8,0.3,1.5,2.3,7.4,12.0,4.8,16.8
18,,DAL,NBA,,76.0,69.0,26.4,2.9,6.2,0.466,0.0,0.0,0.0,2.9,6.1,0.469,0.466,2.8,3.6,0.768,3.3,6.2,9.4,1.7,0.8,0.3,1.6,2.4,8.6,13.7,7.3,21.0
19,,GSW,NBA,,70.0,70.0,18.1,2.3,4.4,0.534,0.0,0.0,0.0,2.3,4.4,0.5379999999999999,0.534,1.4,1.8,0.778,2.0,3.9,5.9,1.9,0.8,0.5,1.2,2.4,6.1,10.7,5.2,15.899999999999999
20,,ORL,NBA,,59.0,2.0,11.3,1.2,3.0,0.389,0.0,0.0,,1.2,3.0,0.389,0.389,1.0,1.5,0.644,1.2,1.8,2.9,0.2,0.4,0.2,0.6,1.5,3.3,4.300000000000001,2.4000000000000004,6.700000000000001
