,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,LAC,NBA,SG,78.0,65.0,34.3,5.3,11.6,0.456,1.7,4.3,0.389,3.6,7.2,0.496,0.529,3.8,4.5,0.8540000000000001,0.6,2.0,2.6,2.8,1.0,0.4,2.1,2.2,16.1,20.2,3.4,23.599999999999998
1,21.0,LAC,NBA,SG,62.0,60.0,36.0,5.7,12.6,0.449,1.9,5.2,0.371,3.8,7.5,0.503,0.525,3.6,4.8,0.742,0.4,2.2,2.6,3.0,1.1,0.2,2.3,1.5,16.9,20.999999999999996,3.5000000000000004,24.499999999999996
2,22.0,LAC,NBA,SG,56.0,56.0,37.7,7.6,16.9,0.45,1.9,5.2,0.364,5.7,11.8,0.488,0.506,5.1,6.2,0.825,0.8,2.1,2.9,4.4,1.3,0.3,2.7,2.1,22.3,29.200000000000003,3.7,32.900000000000006
3,23.0,NOH,NBA,PG,9.0,9.0,34.4,7.0,15.6,0.45,1.1,4.4,0.25,5.9,11.1,0.53,0.486,5.4,7.2,0.754,0.2,2.6,2.8,3.4,1.4,0.4,2.7,2.2,20.6,24.900000000000002,4.4,29.300000000000004
4,24.0,NOH,NBA,SG,42.0,40.0,30.1,5.6,13.9,0.402,1.3,4.1,0.324,4.3,9.8,0.436,0.45,4.5,5.3,0.8420000000000001,0.2,1.6,1.8,3.3,1.1,0.2,2.8,1.8,17.0,21.0,2.9000000000000004,23.9
5,25.0,NOP,NBA,SG,64.0,64.0,32.1,5.6,12.8,0.436,1.6,4.0,0.391,4.0,8.7,0.456,0.498,2.7,3.5,0.785,0.5,2.1,2.6,3.3,1.2,0.2,2.1,1.8,15.4,20.4,3.5,23.9
6,26.0,NOP,NBA,SG,61.0,60.0,33.1,4.7,11.4,0.41100000000000003,2.3,5.2,0.44799999999999995,2.4,6.2,0.38,0.512,1.8,2.2,0.805,0.5,2.1,2.6,3.8,0.8,0.2,2.0,2.4,13.4,19.5,3.1000000000000005,22.6
7,27.0,NOP,NBA,SG,45.0,44.0,32.9,5.1,12.3,0.418,2.5,6.5,0.384,2.6,5.7,0.457,0.521,2.5,2.8,0.888,0.2,2.0,2.2,2.7,1.0,0.3,1.6,2.2,15.2,19.2,3.3,22.5
8,28.0,HOU,NBA,SG,75.0,15.0,31.0,5.5,13.5,0.406,3.3,8.8,0.37200000000000005,2.2,4.7,0.46799999999999997,0.527,2.0,2.3,0.84,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2.0,16.2,20.0,3.4,23.4
9,,,NBA,,492.0,413.0,33.5,5.6,13.1,0.431,2.1,5.5,0.38,3.6,7.6,0.467,0.51,3.2,3.9,0.816,0.5,2.1,2.5,3.2,1.0,0.3,2.1,2.0,16.6,21.4,3.4,24.799999999999997
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,"NOH,NOP",NBA,,221.0,217.0,32.3,5.3,12.6,0.42,1.9,4.9,0.39,3.4,7.7,0.439,0.495,2.8,3.5,0.8190000000000001,0.4,2.0,2.4,3.3,1.0,0.2,2.1,2.0,15.3,20.2,3.2,23.4
12,,LAC,NBA,,196.0,181.0,35.8,6.1,13.4,0.452,1.8,4.8,0.375,4.3,8.6,0.495,0.519,4.1,5.1,0.81,0.6,2.1,2.7,3.3,1.1,0.3,2.3,2.0,18.1,23.0,3.5,26.5
13,,HOU,NBA,,75.0,15.0,31.0,5.5,13.5,0.406,3.3,8.8,0.37200000000000005,2.2,4.7,0.46799999999999997,0.527,2.0,2.3,0.84,0.4,2.3,2.7,2.5,0.6,0.5,1.6,2.0,16.2,20.0,3.4,23.4
