,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,OKC,NBA,SG,76.0,0.0,22.9,3.1,7.6,0.40299999999999997,1.2,3.3,0.375,1.8,4.3,0.424,0.484,2.6,3.2,0.8079999999999999,0.6,2.6,3.2,1.8,1.1,0.3,1.4,2.6,9.9,12.700000000000001,4.0,16.700000000000003
1,21.0,OKC,NBA,SG,82.0,5.0,26.7,3.6,8.3,0.436,1.4,4.0,0.349,2.3,4.4,0.514,0.518,3.5,4.2,0.843,0.5,2.6,3.1,2.1,1.1,0.3,1.3,2.5,12.2,15.599999999999998,4.0,19.599999999999998
2,22.0,OKC,NBA,SG,62.0,2.0,31.4,5.0,10.1,0.491,1.8,4.7,0.39,3.1,5.4,0.579,0.5820000000000001,5.0,6.0,0.846,0.5,3.6,4.1,3.7,1.0,0.2,2.2,2.4,16.8,22.500000000000004,4.8,27.300000000000004
3,23.0,HOU,NBA,SG,78.0,78.0,38.3,7.5,17.1,0.43799999999999994,2.3,6.2,0.368,5.2,10.9,0.47700000000000004,0.504,8.6,10.2,0.851,0.8,4.1,4.9,5.8,1.8,0.5,3.8,2.3,25.9,34.5,6.3999999999999995,40.9
4,24.0,HOU,NBA,SG,73.0,73.0,38.0,7.5,16.5,0.456,2.4,6.6,0.366,5.1,9.9,0.515,0.529,7.9,9.1,0.866,0.8,3.9,4.7,6.1,1.6,0.4,3.6,2.4,25.4,34.8,5.9,40.699999999999996
5,25.0,HOU,NBA,SG,81.0,81.0,36.8,8.0,18.1,0.44,2.6,6.9,0.375,5.4,11.3,0.48,0.511,8.8,10.2,0.868,0.9,4.7,5.7,7.0,1.9,0.7,4.0,2.6,27.4,38.3,7.3,45.599999999999994
6,26.0,HOU,NBA,SG,82.0,82.0,38.1,8.7,19.7,0.439,2.9,8.0,0.359,5.8,11.7,0.494,0.512,8.8,10.2,0.86,0.8,5.3,6.1,7.5,1.7,0.6,4.6,2.8,29.0,40.199999999999996,7.6,47.8
7,27.0,HOU,NBA,PG,81.0,81.0,36.4,8.3,18.9,0.44,3.2,9.3,0.34700000000000003,5.1,9.6,0.53,0.525,9.2,10.9,0.847,1.2,7.0,8.1,11.2,1.5,0.5,5.7,2.7,29.1,47.0,9.0,56.0
8,,,NBA,,615.0,402.0,33.6,6.5,14.7,0.442,2.2,6.2,0.364,4.3,8.5,0.499,0.519,6.9,8.1,0.8540000000000001,0.8,4.3,5.0,5.7,1.5,0.4,3.4,2.5,22.1,30.900000000000006,6.2,37.10000000000001
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,HOU,NBA,,395.0,395.0,37.5,8.0,18.1,0.442,2.7,7.4,0.36200000000000004,5.3,10.7,0.498,0.516,8.7,10.1,0.858,0.9,5.0,5.9,7.6,1.7,0.5,4.4,2.5,27.4,39.1,7.2,46.300000000000004
11,,OKC,NBA,,220.0,7.0,26.7,3.8,8.6,0.444,1.5,3.9,0.37,2.4,4.7,0.506,0.529,3.6,4.3,0.835,0.5,2.9,3.4,2.5,1.1,0.3,1.6,2.5,12.7,16.599999999999998,4.3,20.9
