,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,NYK,NBA,SF,80.0,12.0,17.3,2.2,4.9,0.442,0.0,0.2,0.231,2.1,4.7,0.449,0.446,1.5,2.2,0.695,1.1,1.9,3.0,1.1,0.9,0.2,0.9,1.9,5.9,8.3,3.0,11.3
1,20.0,TOT,NBA,SF,57.0,10.0,17.5,1.6,4.0,0.41200000000000003,0.0,0.1,0.2,1.6,3.9,0.41600000000000004,0.414,1.4,2.2,0.606,1.4,2.5,3.8,1.1,1.0,0.2,1.1,1.8,4.6,7.1,3.7,10.8
2,20.0,NYK,NBA,SF,36.0,10.0,19.7,1.7,4.1,0.418,0.0,0.1,0.33299999999999996,1.7,4.0,0.42,0.42100000000000004,1.2,2.1,0.545,1.4,2.4,3.8,1.3,1.2,0.3,1.3,2.2,4.6,7.3,3.8999999999999995,11.2
3,20.0,ORL,NBA,SF,21.0,0.0,13.8,1.5,3.8,0.4,0.0,0.1,0.0,1.5,3.7,0.41,0.4,1.7,2.4,0.7,1.4,2.5,3.9,0.7,0.7,0.1,0.8,1.0,4.7,6.7,3.3000000000000003,10.0
4,21.0,ORL,NBA,SG,57.0,7.0,22.4,3.5,6.5,0.539,0.0,0.1,0.0,3.5,6.4,0.5489999999999999,0.539,1.9,3.0,0.62,1.7,2.6,4.4,1.1,1.0,0.3,1.5,2.4,8.9,11.3,3.9,15.200000000000001
5,22.0,TOT,NBA,SF,35.0,3.0,15.6,2.0,3.9,0.507,0.1,0.5,0.278,1.8,3.4,0.542,0.526,1.4,2.1,0.653,0.9,2.2,3.1,1.3,0.9,0.3,0.7,1.3,5.5,8.3,3.4,11.700000000000001
6,22.0,ORL,NBA,SF,11.0,0.0,10.5,1.3,2.8,0.452,0.0,0.3,0.0,1.3,2.5,0.5,0.452,0.7,1.4,0.5329999999999999,0.5,1.7,2.2,0.7,0.5,0.3,0.5,0.8,3.3,4.699999999999999,2.5,7.199999999999999
7,22.0,LAL,NBA,SF,24.0,3.0,18.0,2.3,4.4,0.524,0.2,0.6,0.33299999999999996,2.1,3.8,0.556,0.5479999999999999,1.7,2.5,0.6829999999999999,1.0,2.5,3.5,1.5,1.1,0.3,0.8,1.5,6.5,9.7,3.9,13.6
8,23.0,LAL,NBA,SF,82.0,20.0,24.4,3.3,7.3,0.46,0.7,2.3,0.319,2.6,4.9,0.526,0.511,1.5,2.1,0.71,1.4,2.9,4.3,1.8,1.7,0.3,1.1,2.0,8.9,12.8,4.8999999999999995,17.7
9,24.0,HOU,NBA,SF,72.0,71.0,36.5,5.5,13.9,0.39399999999999996,1.9,5.7,0.33399999999999996,3.6,8.2,0.436,0.462,2.1,3.2,0.649,1.1,4.5,5.6,3.8,1.8,0.6,2.2,2.3,14.9,21.400000000000002,6.8999999999999995,28.3
10,25.0,NOH,NBA,SF,75.0,75.0,34.7,4.0,10.2,0.39799999999999996,1.1,3.6,0.303,2.9,6.5,0.45,0.451,1.8,2.6,0.701,0.8,4.6,5.4,2.2,1.6,0.4,1.6,2.4,11.0,14.6,6.6,21.2
11,26.0,NOH,NBA,SF,41.0,41.0,32.9,4.1,9.8,0.41700000000000004,0.7,2.1,0.33299999999999996,3.4,7.7,0.44,0.45299999999999996,1.9,2.5,0.775,1.0,4.2,5.2,3.3,1.7,0.6,1.9,1.8,10.8,16.5,6.5,23.0
12,27.0,WAS,NBA,SF,56.0,15.0,26.3,3.4,8.1,0.41700000000000004,1.4,3.7,0.364,2.0,4.3,0.46299999999999997,0.501,1.4,1.7,0.821,0.8,4.0,4.8,2.0,1.3,0.4,1.5,1.3,9.5,12.8,5.7,18.5
13,28.0,WAS,NBA,SF,77.0,77.0,35.4,5.1,11.1,0.456,2.3,5.7,0.40700000000000003,2.7,5.3,0.509,0.562,1.9,2.5,0.772,1.3,4.9,6.2,2.5,1.6,0.3,1.7,2.3,14.4,19.0,6.8,25.8
14,29.0,HOU,NBA,SF,82.0,82.0,35.7,4.5,11.1,0.402,2.4,6.8,0.35,2.1,4.3,0.485,0.509,1.5,1.7,0.853,0.9,4.7,5.6,2.5,1.9,0.2,1.7,2.3,12.8,17.000000000000004,6.8,23.800000000000004
15,30.0,HOU,NBA,SF,81.0,81.0,35.3,4.4,10.6,0.41600000000000004,2.3,6.2,0.371,2.1,4.4,0.478,0.523,1.6,2.0,0.7829999999999999,0.8,3.7,4.5,2.3,2.0,0.3,1.4,2.2,12.7,16.7,6.0,22.7
16,31.0,HOU,NBA,SF,80.0,80.0,34.7,4.1,10.0,0.409,2.4,6.9,0.344,1.7,3.0,0.556,0.528,1.2,1.6,0.738,0.7,5.1,5.7,2.2,1.8,0.3,0.9,1.7,11.7,15.9,7.199999999999999,23.1
17,,,NBA,,875.0,574.0,29.2,3.8,8.9,0.426,1.3,3.7,0.35100000000000003,2.5,5.1,0.48,0.499,1.6,2.2,0.7170000000000001,1.1,3.8,4.8,2.1,1.5,0.3,1.4,2.0,10.5,14.4,5.6,20.0
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,HOU,NBA,,315.0,314.0,35.5,4.6,11.3,0.405,2.2,6.4,0.35,2.3,4.9,0.475,0.504,1.6,2.1,0.743,0.9,4.5,5.4,2.7,1.9,0.3,1.5,2.1,13.0,17.8,6.7,24.5
20,,WAS,NBA,,133.0,92.0,31.5,4.3,9.8,0.442,1.9,4.9,0.39299999999999996,2.4,4.9,0.49200000000000005,0.541,1.7,2.2,0.7879999999999999,1.1,4.5,5.6,2.3,1.5,0.3,1.6,1.9,12.3,16.4,6.3,22.7
21,,NOH,NBA,,116.0,116.0,34.1,4.1,10.0,0.40399999999999997,1.0,3.1,0.31,3.1,7.0,0.446,0.452,1.9,2.6,0.726,0.9,4.5,5.4,2.6,1.6,0.5,1.7,2.2,10.9,15.3,6.6,21.9
22,,NYK,NBA,,116.0,22.0,18.0,2.0,4.6,0.436,0.0,0.1,0.25,2.0,4.5,0.441,0.439,1.4,2.2,0.649,1.2,2.1,3.3,1.1,1.0,0.2,1.0,2.0,5.5,7.9,3.3000000000000003,11.200000000000001
23,,LAL,NBA,,106.0,23.0,22.9,3.1,6.6,0.469,0.6,1.9,0.32,2.5,4.7,0.531,0.516,1.5,2.2,0.703,1.3,2.8,4.1,1.7,1.5,0.3,1.0,1.9,8.3,12.0,4.6,16.6
24,,ORL,NBA,,89.0,7.0,18.9,2.8,5.4,0.51,0.0,0.1,0.0,2.8,5.3,0.523,0.51,1.7,2.7,0.631,1.5,2.5,4.0,1.0,0.9,0.3,1.2,1.9,7.2,9.5,3.6999999999999997,13.2
