,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,NOK,NBA,PG,78.0,78.0,36.0,5.2,12.1,0.43,0.6,2.3,0.282,4.6,9.9,0.46399999999999997,0.456,5.1,6.0,0.847,0.8,4.3,5.1,7.8,2.2,0.1,2.3,2.8,16.1,30.2,6.6,36.8
1,21.0,NOK,NBA,PG,64.0,64.0,36.8,6.0,13.6,0.43700000000000006,0.8,2.2,0.35,5.2,11.4,0.455,0.466,4.6,5.6,0.818,0.8,3.5,4.4,8.9,1.8,0.0,2.5,2.4,17.3,33.400000000000006,5.3,38.7
2,22.0,NOH,NBA,PG,80.0,80.0,37.6,7.9,16.1,0.488,1.2,3.1,0.369,6.7,13.0,0.516,0.524,4.2,4.9,0.851,0.8,3.2,4.0,11.6,2.7,0.1,2.5,2.3,21.1,42.6,6.0,48.6
3,23.0,NOH,NBA,PG,78.0,78.0,38.5,8.1,16.1,0.503,0.8,2.3,0.364,7.3,13.8,0.525,0.528,5.8,6.7,0.868,0.9,4.7,5.5,11.0,2.8,0.1,3.0,2.7,22.8,42.7,7.6,50.300000000000004
4,24.0,NOH,NBA,PG,45.0,45.0,38.0,7.0,14.2,0.493,1.2,2.8,0.409,5.8,11.3,0.514,0.534,3.6,4.2,0.847,0.4,3.8,4.2,10.7,2.1,0.2,2.5,2.6,18.7,38.0,6.1000000000000005,44.1
5,25.0,NOH,NBA,PG,80.0,80.0,36.0,5.4,11.6,0.46299999999999997,0.9,2.3,0.38799999999999996,4.5,9.3,0.48200000000000004,0.502,4.2,4.8,0.878,0.5,3.6,4.1,9.8,2.4,0.1,2.2,2.5,15.9,33.8,6.1,39.9
6,26.0,LAC,NBA,PG,60.0,60.0,36.4,7.1,14.8,0.478,1.3,3.6,0.371,5.8,11.3,0.511,0.522,4.3,5.0,0.861,0.7,2.9,3.6,9.1,2.5,0.1,2.1,2.3,19.8,36.6,5.5,42.1
7,27.0,LAC,NBA,PG,70.0,70.0,33.4,5.9,12.2,0.48100000000000004,1.1,3.3,0.32799999999999996,4.8,8.9,0.5379999999999999,0.526,4.1,4.6,0.885,0.8,3.0,3.7,9.7,2.4,0.1,2.3,2.0,16.9,34.8,5.5,40.3
8,28.0,LAC,NBA,PG,62.0,62.0,35.0,6.5,14.0,0.467,1.3,3.4,0.368,5.3,10.6,0.498,0.511,4.8,5.6,0.855,0.6,3.7,4.3,10.7,2.5,0.1,2.3,2.5,19.1,38.800000000000004,6.3,45.1
9,29.0,LAC,NBA,PG,82.0,82.0,34.8,6.9,14.3,0.485,1.7,4.3,0.39799999999999996,5.2,10.0,0.523,0.545,3.5,3.9,0.9,0.6,4.0,4.6,10.2,1.9,0.2,2.3,2.5,19.1,37.800000000000004,6.1000000000000005,43.900000000000006
10,30.0,LAC,NBA,PG,74.0,74.0,32.7,7.0,15.1,0.462,1.6,4.4,0.371,5.3,10.6,0.501,0.517,4.0,4.4,0.8959999999999999,0.5,3.7,4.2,10.0,2.1,0.2,2.6,2.5,19.5,37.4,6.000000000000001,43.4
11,31.0,LAC,NBA,PG,61.0,61.0,31.5,6.1,12.9,0.47600000000000003,2.0,5.0,0.41100000000000003,4.1,7.9,0.518,0.555,3.8,4.3,0.892,0.7,4.3,5.0,9.2,2.0,0.1,2.4,2.4,18.1,34.800000000000004,6.3999999999999995,41.2
12,,,NBA,,834.0,834.0,35.5,6.6,13.9,0.473,1.2,3.2,0.37,5.4,10.7,0.504,0.516,4.3,5.0,0.866,0.7,3.7,4.4,9.9,2.3,0.1,2.4,2.5,18.7,36.800000000000004,6.1,42.900000000000006
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,"NOK,NOH",NBA,,425.0,425.0,37.1,6.6,14.0,0.47100000000000003,0.9,2.5,0.359,5.7,11.5,0.495,0.503,4.6,5.4,0.853,0.7,3.9,4.6,9.9,2.4,0.1,2.5,2.5,18.7,36.7,6.3999999999999995,43.1
15,,LAC,NBA,,409.0,409.0,33.9,6.6,13.9,0.475,1.5,4.0,0.37799999999999995,5.1,9.9,0.514,0.529,4.0,4.6,0.8809999999999999,0.6,3.6,4.2,9.8,2.2,0.1,2.3,2.4,18.8,36.7,5.9,42.6
