,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,CHI,NBA,PG,61.0,8.0,17.2,1.8,5.0,0.35200000000000004,0.7,1.9,0.35,1.1,3.1,0.353,0.419,0.4,0.6,0.794,0.1,1.3,1.5,2.3,0.7,0.2,1.4,1.1,4.6,7.899999999999999,2.2,10.099999999999998
1,21.0,CHI,NBA,PG,23.0,6.0,20.9,3.9,8.1,0.47600000000000003,1.1,2.5,0.44799999999999995,2.7,5.6,0.488,0.545,0.4,0.6,0.769,0.2,1.3,1.5,2.4,0.8,0.2,1.4,0.8,9.3,12.9,2.3000000000000003,15.200000000000001
2,22.0,CHI,NBA,PG,80.0,31.0,24.9,4.2,10.1,0.413,1.1,3.0,0.355,3.1,7.1,0.43799999999999994,0.467,1.3,1.6,0.8059999999999999,0.3,2.1,2.3,4.2,1.0,0.3,1.7,1.6,10.7,17.7,3.4,21.099999999999998
3,23.0,CHI,NBA,SG,80.0,73.0,35.1,6.4,16.5,0.386,2.1,6.5,0.317,4.3,10.0,0.43200000000000005,0.449,2.5,3.0,0.833,0.6,3.0,3.5,5.1,1.4,0.4,2.4,2.0,17.3,25.700000000000003,4.800000000000001,30.500000000000004
4,24.0,NYK,NBA,SG,70.0,67.0,38.4,6.2,15.7,0.39799999999999996,2.6,7.3,0.361,3.6,8.4,0.431,0.483,2.6,3.1,0.843,0.5,2.4,2.9,4.3,1.3,0.3,2.1,1.9,17.7,24.699999999999996,4.0,28.699999999999996
5,25.0,NYK,NBA,SG,79.0,27.0,32.3,4.6,11.1,0.41600000000000004,1.3,3.7,0.345,3.4,7.4,0.452,0.474,3.7,4.5,0.826,0.5,2.7,3.1,3.8,1.1,0.2,2.2,1.9,14.3,20.2,4.0,24.2
6,26.0,NYK,NBA,SG,59.0,36.0,37.3,6.0,15.0,0.4,1.7,5.5,0.32,4.3,9.6,0.445,0.45799999999999996,3.9,4.6,0.838,0.7,2.5,3.2,4.4,1.0,0.1,2.7,1.9,17.6,24.400000000000002,3.6,28.000000000000004
7,27.0,NYK,NBA,SG,80.0,80.0,39.9,7.1,17.4,0.41,2.2,6.2,0.35600000000000004,4.9,11.2,0.439,0.473,4.1,4.8,0.8640000000000001,0.5,2.1,2.6,5.0,1.0,0.2,2.4,1.8,20.6,28.700000000000003,3.3000000000000003,32.0
8,28.0,TOT,NBA,PG-SG,65.0,65.0,38.1,6.4,15.7,0.41,2.2,6.1,0.36,4.3,9.7,0.441,0.479,4.6,5.3,0.872,0.4,2.6,3.0,4.4,0.9,0.2,2.3,1.4,19.7,26.599999999999998,3.7,30.299999999999997
9,28.0,NYK,NBA,SG,11.0,11.0,35.6,6.6,15.4,0.43200000000000005,3.2,7.0,0.455,3.5,8.4,0.413,0.536,3.2,4.2,0.7609999999999999,0.2,1.4,1.5,4.4,0.8,0.0,2.4,1.2,19.6,26.200000000000003,2.2,28.400000000000002
