,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,ORL,NBA,PG,42.0,0.0,14.8,1.9,4.6,0.41,0.9,2.3,0.38799999999999996,1.0,2.3,0.433,0.508,1.3,1.4,0.9,0.2,1.0,1.2,0.9,0.3,0.0,0.5,1.2,6.0,7.5,1.3,8.8
1,23.0,ORL,NBA,SG,34.0,0.0,8.1,1.4,3.2,0.444,0.5,1.3,0.395,0.9,1.9,0.47700000000000004,0.523,0.8,1.0,0.794,0.0,0.6,0.7,0.5,0.1,0.0,0.4,0.9,4.1,4.699999999999999,0.7,5.3999999999999995
2,24.0,ORL,NBA,SG,64.0,5.0,17.4,1.8,4.7,0.391,1.0,2.8,0.374,0.8,1.9,0.41700000000000004,0.503,1.3,1.5,0.871,0.1,1.6,1.7,1.1,0.3,0.0,0.8,1.1,6.0,7.500000000000001,1.9000000000000001,9.4
3,25.0,ORL,NBA,SG,82.0,9.0,22.0,3.0,6.7,0.439,1.4,3.3,0.405,1.6,3.4,0.473,0.54,2.3,2.7,0.86,0.2,1.7,1.9,1.9,0.3,0.0,0.8,1.4,9.6,12.799999999999999,2.0,14.799999999999999
4,26.0,ORL,NBA,SG,59.0,5.0,25.6,3.3,7.6,0.441,1.5,3.7,0.397,1.9,3.9,0.48200000000000004,0.5379999999999999,1.9,2.2,0.875,0.1,1.8,1.9,1.7,0.5,0.1,0.9,1.4,10.1,12.7,2.4,15.1
5,27.0,ORL,NBA,SG,65.0,22.0,27.2,3.8,9.0,0.425,1.7,4.1,0.418,2.1,4.9,0.43,0.521,2.2,2.4,0.9109999999999999,0.3,2.0,2.3,2.5,0.4,0.1,1.0,1.4,11.6,15.899999999999999,2.5,18.4
6,28.0,TOT,NBA,SG,78.0,13.0,30.5,4.9,11.3,0.434,2.1,5.8,0.366,2.8,5.5,0.506,0.528,2.2,2.4,0.9,0.2,2.0,2.2,3.8,0.5,0.1,1.8,1.5,14.1,20.099999999999998,2.6,22.7
7,28.0,ORL,NBA,SG,50.0,11.0,31.5,5.2,11.6,0.45,2.3,6.0,0.39,2.9,5.6,0.514,0.551,2.3,2.6,0.8909999999999999,0.2,2.2,2.4,4.4,0.6,0.1,2.1,1.4,15.1,22.0,2.9000000000000004,24.9
8,28.0,MIL,NBA,SG,28.0,2.0,28.7,4.3,10.6,0.40299999999999997,1.7,5.4,0.318,2.6,5.3,0.49,0.483,2.0,2.2,0.9179999999999999,0.3,1.6,1.9,2.7,0.3,0.1,1.2,1.7,12.3,16.8,2.0,18.8
9,29.0,LAC,NBA,SG,35.0,34.0,28.2,5.2,11.4,0.455,2.1,5.3,0.395,3.1,6.1,0.507,0.546,2.8,3.0,0.915,0.3,1.9,2.1,2.2,0.8,0.1,1.2,1.9,15.2,18.7,2.8000000000000003,21.5
10,30.0,LAC,NBA,SG,78.0,78.0,30.9,5.7,12.0,0.47700000000000004,2.6,5.9,0.43700000000000006,3.2,6.2,0.515,0.583,2.3,2.6,0.9009999999999999,0.3,1.9,2.1,1.8,0.5,0.1,1.2,1.7,16.4,19.099999999999998,2.5,21.599999999999998
11,31.0,LAC,NBA,SG,75.0,75.0,28.0,5.6,11.7,0.48,2.7,5.6,0.475,3.0,6.1,0.484,0.593,2.4,2.7,0.888,0.1,1.7,1.9,1.4,0.6,0.1,1.0,1.8,16.3,18.2,2.4,20.599999999999998
12,32.0,LAC,NBA,SG,78.0,78.0,28.2,5.1,11.4,0.445,2.6,6.0,0.429,2.5,5.4,0.462,0.5579999999999999,2.3,2.6,0.8909999999999999,0.1,2.1,2.2,1.4,0.7,0.2,1.3,1.6,15.0,16.599999999999998,3.0,19.599999999999998
13,,,NBA,,690.0,319.0,24.9,4.0,8.9,0.447,1.8,4.4,0.415,2.2,4.5,0.479,0.55,2.1,2.3,0.888,0.2,1.7,1.9,1.8,0.5,0.1,1.1,1.5,11.9,14.600000000000001,2.3000000000000003,16.900000000000002
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,ORL,NBA,,396.0,52.0,21.9,3.0,7.0,0.43200000000000005,1.4,3.5,0.39799999999999996,1.6,3.5,0.466,0.531,1.8,2.1,0.878,0.2,1.6,1.8,1.9,0.4,0.0,1.0,1.3,9.2,12.2,2.0,14.2
16,,LAC,NBA,,266.0,265.0,28.9,5.4,11.7,0.466,2.5,5.8,0.44,2.9,5.9,0.49,0.574,2.4,2.7,0.897,0.2,1.9,2.1,1.6,0.6,0.1,1.2,1.7,15.8,18.000000000000004,2.6,20.600000000000005
17,,MIL,NBA,,28.0,2.0,28.7,4.3,10.6,0.40299999999999997,1.7,5.4,0.318,2.6,5.3,0.49,0.483,2.0,2.2,0.9179999999999999,0.3,1.6,1.9,2.7,0.3,0.1,1.2,1.7,12.3,16.8,2.0,18.8
