,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,BOS,NBA,SF,48.0,47.0,34.0,5.9,13.5,0.439,1.8,4.3,0.41200000000000003,4.2,9.2,0.451,0.504,2.9,4.1,0.713,2.4,4.0,6.4,2.4,1.7,1.0,2.4,2.9,16.5,21.3,6.7,28.0
1,22.0,BOS,NBA,SF,73.0,72.0,35.4,6.7,15.1,0.442,1.3,3.8,0.34299999999999997,5.3,11.2,0.47600000000000003,0.486,4.9,6.2,0.7979999999999999,1.1,4.3,5.4,3.0,2.1,0.8,2.4,3.2,19.5,24.200000000000003,7.2,31.400000000000002
2,23.0,BOS,NBA,SF,82.0,82.0,38.0,8.4,18.5,0.45399999999999996,1.8,4.7,0.38299999999999995,6.6,13.8,0.478,0.503,6.7,9.0,0.745,1.1,5.2,6.4,3.1,1.7,0.8,3.2,3.1,25.3,29.400000000000002,7.7,37.1
3,24.0,BOS,NBA,SG,82.0,82.0,40.3,8.6,19.5,0.442,2.6,6.3,0.40399999999999997,6.1,13.1,0.461,0.508,6.3,7.8,0.809,1.0,5.9,6.9,3.2,1.9,1.0,2.9,2.9,26.1,30.6,8.8,39.400000000000006
4,25.0,BOS,NBA,SG,79.0,79.0,39.2,8.4,20.2,0.41600000000000004,1.5,4.9,0.302,6.9,15.2,0.45399999999999996,0.45399999999999996,7.6,9.5,0.802,1.3,6.0,7.3,4.4,1.8,0.8,3.6,2.9,25.9,32.4,8.6,41.0
5,26.0,BOS,NBA,SG,80.0,80.0,38.7,7.5,18.7,0.402,1.4,4.8,0.299,6.1,13.9,0.43799999999999994,0.441,6.5,7.9,0.8190000000000001,0.9,5.7,6.5,5.1,1.6,0.7,3.8,2.9,23.0,30.3,8.0,38.3
6,27.0,BOS,NBA,SF,82.0,82.0,36.1,6.8,14.9,0.455,1.3,3.6,0.37,5.5,11.4,0.48100000000000004,0.499,6.7,8.1,0.8220000000000001,1.0,5.6,6.6,4.2,1.6,0.5,2.8,3.1,21.6,28.2,7.699999999999999,35.9
7,28.0,BOS,NBA,SF,79.0,79.0,39.0,8.7,18.5,0.47100000000000003,1.4,4.0,0.354,7.3,14.5,0.503,0.509,7.9,10.3,0.772,1.0,5.7,6.7,4.7,1.4,0.4,3.5,2.8,26.8,33.7,7.5,41.2
8,29.0,BOS,NBA,SG,47.0,46.0,37.0,7.9,18.1,0.439,2.3,5.9,0.389,5.7,12.2,0.46299999999999997,0.502,6.8,8.6,0.7959999999999999,0.8,5.1,5.9,4.1,1.0,0.3,3.2,2.6,25.0,30.8,6.3999999999999995,37.2
9,30.0,BOS,NBA,SF,80.0,80.0,35.9,6.4,13.7,0.46399999999999997,1.8,4.6,0.392,4.6,9.2,0.499,0.529,5.1,6.1,0.843,0.7,4.5,5.1,4.5,1.3,0.5,2.8,2.5,19.6,26.5,6.3,32.8
10,31.0,BOS,NBA,SF,81.0,81.0,37.5,6.7,14.6,0.457,1.5,3.8,0.391,5.2,10.8,0.48,0.508,5.7,6.8,0.83,0.7,5.0,5.6,3.6,1.0,0.3,2.8,2.7,20.5,25.599999999999998,6.3,31.9
11,32.0,BOS,NBA,SF,71.0,71.0,34.0,5.8,12.2,0.47200000000000003,1.5,3.7,0.414,4.2,8.5,0.49700000000000005,0.535,5.2,6.1,0.852,0.5,3.8,4.4,3.1,1.2,0.4,2.3,2.8,18.3,22.7,5.4,28.1
12,33.0,BOS,NBA,SF,80.0,80.0,34.7,6.3,12.8,0.49700000000000005,1.4,3.7,0.374,5.0,9.1,0.547,0.551,4.8,5.6,0.86,0.4,5.0,5.4,3.3,1.0,0.6,2.1,2.9,18.9,23.799999999999997,6.6,30.4
13,34.0,BOS,NBA,SF,61.0,61.0,34.0,6.5,14.6,0.44299999999999995,1.6,4.5,0.366,4.8,10.1,0.47600000000000003,0.499,4.8,5.6,0.852,0.6,4.6,5.2,4.5,1.1,0.4,2.8,2.4,19.4,26.2,6.1,32.3
14,35.0,BOS,NBA,SF,77.0,77.0,33.4,6.2,14.2,0.436,1.9,5.0,0.38,4.3,9.2,0.466,0.502,4.3,5.5,0.787,0.6,5.7,6.3,4.8,1.1,0.4,2.8,2.7,18.6,26.0,7.200000000000001,33.2
15,36.0,BRK,NBA,SF,75.0,68.0,28.0,4.3,9.5,0.451,1.5,4.0,0.373,2.8,5.5,0.507,0.529,3.4,4.1,0.826,0.3,4.3,4.6,2.4,1.1,0.4,2.0,2.5,13.5,16.6,5.800000000000001,22.400000000000002
16,37.0,WAS,NBA,SF,73.0,73.0,26.2,4.0,9.0,0.447,1.6,4.2,0.389,2.4,4.8,0.496,0.537,2.2,2.9,0.7809999999999999,0.6,3.4,4.0,2.0,0.6,0.3,1.3,2.2,11.9,15.2,4.3,19.5
17,38.0,LAC,NBA,SF,68.0,38.0,18.1,2.1,5.8,0.363,1.1,3.6,0.31,1.0,2.3,0.445,0.457,0.8,1.0,0.818,0.2,2.6,2.7,1.0,0.5,0.3,0.9,1.9,6.1,7.4,3.4,10.8
18,39.0,LAC,NBA,SF,25.0,7.0,11.1,1.1,2.8,0.4,0.6,1.7,0.349,0.5,1.1,0.48100000000000004,0.507,0.4,0.5,0.769,0.0,1.9,1.9,0.4,0.2,0.2,0.6,1.6,3.2,3.4,2.3000000000000003,5.7
19,,,NBA,,1343.0,1285.0,34.2,6.5,14.5,0.445,1.6,4.3,0.368,4.9,10.2,0.478,0.5,5.2,6.4,0.8059999999999999,0.8,4.8,5.6,3.5,1.3,0.6,2.6,2.7,19.7,24.9,6.699999999999999,31.599999999999998
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,BOS,NBA,,1102.0,1099.0,36.6,7.2,16.0,0.447,1.7,4.5,0.37,5.5,11.5,0.47700000000000004,0.499,5.8,7.2,0.8059999999999999,0.9,5.1,6.0,3.9,1.4,0.6,2.9,2.8,21.8,27.6,7.1,34.7
22,,LAC,NBA,,93.0,45.0,16.2,1.8,5.0,0.368,1.0,3.1,0.316,0.9,2.0,0.451,0.465,0.7,0.8,0.81,0.1,2.4,2.5,0.9,0.4,0.2,0.8,1.8,5.4,6.500000000000001,3.0,9.5
23,,BRK,NBA,,75.0,68.0,28.0,4.3,9.5,0.451,1.5,4.0,0.373,2.8,5.5,0.507,0.529,3.4,4.1,0.826,0.3,4.3,4.6,2.4,1.1,0.4,2.0,2.5,13.5,16.6,5.800000000000001,22.400000000000002
24,,WAS,NBA,,73.0,73.0,26.2,4.0,9.0,0.447,1.6,4.2,0.389,2.4,4.8,0.496,0.537,2.2,2.9,0.7809999999999999,0.6,3.4,4.0,2.0,0.6,0.3,1.3,2.2,11.9,15.2,4.3,19.5
