,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,MIN,NBA,SG,79.0,63.0,26.2,3.4,8.6,0.397,1.3,3.7,0.35600000000000004,2.1,5.0,0.42700000000000005,0.473,0.8,1.2,0.696,0.6,2.4,3.0,1.9,0.7,0.7,1.2,2.1,9.0,12.2,3.8,16.0
1,24.0,MIN,NBA,SF,65.0,64.0,22.6,2.4,6.1,0.39799999999999996,0.8,2.6,0.314,1.6,3.5,0.461,0.465,0.4,0.5,0.706,0.4,2.4,2.7,0.9,0.5,0.7,0.9,1.8,6.0,7.299999999999999,3.5999999999999996,10.899999999999999
2,25.0,PHO,NBA,SF,50.0,21.0,19.1,3.2,7.9,0.40700000000000003,1.0,3.1,0.32299999999999995,2.2,4.8,0.461,0.47,0.5,0.7,0.7709999999999999,0.4,2.0,2.5,0.7,0.4,0.4,1.0,1.1,8.0,8.8,2.8,11.600000000000001
3,26.0,LAL,NBA,SF,79.0,62.0,28.4,3.5,8.2,0.425,1.3,3.4,0.369,2.2,4.8,0.466,0.502,0.8,1.0,0.792,0.9,3.5,4.4,1.6,1.1,1.0,1.1,2.6,9.1,12.1,5.6,17.7
4,27.0,LAL,NBA,SF,76.0,59.0,29.5,3.8,9.1,0.414,1.2,3.4,0.35100000000000003,2.6,5.7,0.451,0.48,1.2,1.5,0.804,0.9,3.3,4.2,1.6,0.8,0.6,1.1,2.1,9.9,12.9,4.699999999999999,17.6
5,28.0,LAC,NBA,SF,80.0,9.0,20.8,2.6,6.4,0.40399999999999997,1.3,3.9,0.33299999999999996,1.3,2.6,0.51,0.504,0.4,0.6,0.652,0.5,2.6,3.1,0.6,1.1,0.7,0.7,2.2,6.9,7.8999999999999995,4.4,12.3
6,29.0,LAC,NBA,SF,68.0,3.0,11.9,1.1,2.9,0.365,0.4,1.7,0.24600000000000002,0.6,1.2,0.537,0.43799999999999994,0.2,0.3,0.647,0.4,2.3,2.7,0.3,0.4,0.4,0.3,1.2,2.7,3.4000000000000004,3.0999999999999996,6.5
7,,,NBA,,497.0,281.0,23.0,2.9,7.1,0.406,1.1,3.2,0.337,1.8,3.9,0.461,0.48100000000000004,0.6,0.8,0.743,0.6,2.7,3.3,1.1,0.8,0.7,0.9,1.9,7.5,9.4,4.2,13.600000000000001
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,LAL,NBA,,155.0,121.0,28.9,3.6,8.7,0.42,1.2,3.4,0.36,2.4,5.2,0.45799999999999996,0.491,1.0,1.2,0.799,0.9,3.4,4.3,1.6,0.9,0.8,1.1,2.4,9.5,12.500000000000002,5.1,17.6
10,,LAC,NBA,,148.0,12.0,16.7,1.9,4.8,0.39299999999999996,0.9,2.9,0.309,1.0,1.9,0.517,0.485,0.3,0.4,0.6509999999999999,0.4,2.5,2.9,0.5,0.8,0.6,0.5,1.7,5.0,5.9,3.9,9.8
11,,MIN,NBA,,144.0,127.0,24.6,3.0,7.5,0.39799999999999996,1.1,3.2,0.341,1.9,4.3,0.44,0.47,0.6,0.9,0.698,0.5,2.4,2.9,1.4,0.6,0.7,1.1,1.9,7.7,9.9,3.7,13.600000000000001
12,,PHO,NBA,,50.0,21.0,19.1,3.2,7.9,0.40700000000000003,1.0,3.1,0.32299999999999995,2.2,4.8,0.461,0.47,0.5,0.7,0.7709999999999999,0.4,2.0,2.5,0.7,0.4,0.4,1.0,1.1,8.0,8.8,2.8,11.600000000000001
