,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,CHI,NBA,SF,61.0,45.0,27.3,4.6,10.6,0.434,0.5,1.9,0.265,4.1,8.7,0.47200000000000003,0.45799999999999996,2.0,2.7,0.741,1.5,3.8,5.3,2.2,0.8,0.4,1.9,1.6,11.7,15.700000000000001,5.0,20.700000000000003
1,20.0,CHI,NBA,SF,78.0,56.0,33.4,5.7,12.2,0.46299999999999997,0.3,1.0,0.26899999999999996,5.4,11.2,0.48100000000000004,0.474,2.7,3.5,0.75,1.6,5.0,6.6,1.9,0.9,0.6,1.3,1.6,14.3,18.400000000000002,6.5,24.900000000000002
2,21.0,CHI,NBA,SF,82.0,82.0,37.5,7.7,14.9,0.517,0.0,0.1,0.14300000000000002,7.7,14.8,0.519,0.518,3.4,4.4,0.777,1.8,5.3,7.1,2.5,1.2,0.6,1.9,2.0,18.8,23.700000000000003,7.1,30.800000000000004
3,22.0,CHI,NBA,SF,63.0,59.0,33.8,6.8,14.2,0.479,0.1,0.3,0.364,6.7,13.9,0.48200000000000004,0.483,3.2,4.2,0.77,2.2,4.1,6.3,2.5,0.9,0.5,1.9,1.9,17.0,22.3,5.5,27.8
4,23.0,CHI,NBA,SF,49.0,46.0,34.0,5.4,12.1,0.44799999999999995,0.2,0.4,0.4,5.2,11.7,0.45,0.455,3.1,3.9,0.7959999999999999,1.6,4.4,6.0,1.9,1.2,0.5,1.5,1.7,14.1,18.0,6.1000000000000005,24.1
5,24.0,CHI,NBA,SF,70.0,69.0,37.9,6.8,14.5,0.466,0.5,1.2,0.386,6.3,13.3,0.474,0.48200000000000004,3.6,4.7,0.764,1.9,5.4,7.3,2.0,0.9,0.9,1.9,1.8,17.6,21.6,7.200000000000001,28.800000000000004
6,25.0,CHI,NBA,SF,82.0,82.0,39.1,6.5,14.1,0.46,1.4,4.1,0.345,5.1,10.0,0.506,0.51,3.1,4.1,0.753,1.4,4.4,5.8,2.8,1.0,0.6,1.9,2.0,17.4,22.5,6.0,28.5
7,26.0,CHI,NBA,SF,54.0,54.0,39.4,5.8,14.0,0.41200000000000003,1.5,4.0,0.36700000000000005,4.3,10.0,0.43,0.46399999999999997,2.4,3.1,0.77,1.4,5.1,6.5,2.9,1.0,0.7,1.8,1.5,15.3,20.7,6.8,27.5
8,27.0,CHI,NBA,SF,75.0,75.0,38.7,6.2,14.6,0.426,1.0,3.1,0.322,5.2,11.5,0.455,0.461,3.1,3.8,0.816,2.2,4.2,6.3,3.0,1.1,0.4,1.9,1.4,16.5,22.8,5.700000000000001,28.5
9,28.0,TOT,NBA,SF,63.0,63.0,35.1,5.9,13.7,0.431,0.9,3.0,0.302,5.0,10.7,0.46799999999999997,0.465,3.4,4.3,0.7909999999999999,1.6,4.2,5.7,2.9,1.0,0.1,1.8,1.8,16.0,21.599999999999998,5.3,26.9
10,28.0,CHI,NBA,SF,23.0,23.0,37.4,7.0,15.4,0.452,0.7,2.7,0.27399999999999997,6.2,12.7,0.49,0.47600000000000003,4.4,5.4,0.815,1.7,5.1,6.9,3.7,1.0,0.2,2.6,2.3,19.0,25.5,6.3,31.8
11,28.0,CLE,NBA,SF,40.0,40.0,33.8,5.3,12.7,0.41700000000000004,1.0,3.2,0.315,4.3,9.5,0.451,0.457,2.8,3.6,0.7709999999999999,1.5,3.6,5.1,2.5,1.0,0.1,1.4,1.5,14.3,19.400000000000002,4.699999999999999,24.1
12,29.0,MIA,NBA,SF,72.0,72.0,33.6,5.1,10.9,0.469,1.1,3.1,0.355,4.0,7.9,0.513,0.518,2.7,3.5,0.7609999999999999,1.4,3.8,5.2,1.9,0.9,0.3,1.5,1.5,14.0,17.7,5.0,22.7
13,30.0,MIA,NBA,PF,74.0,73.0,32.4,4.6,10.1,0.455,1.2,3.5,0.344,3.4,6.6,0.513,0.514,2.0,2.6,0.755,1.5,4.5,6.0,1.9,1.0,0.4,1.1,1.6,12.3,16.5,5.9,22.4
14,31.0,LAL,NBA,SF,56.0,49.0,26.5,2.9,7.6,0.387,0.9,2.9,0.309,2.0,4.6,0.436,0.447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6,10.5,5.4,15.9
15,,,NBA,,879.0,825.0,34.7,5.8,12.7,0.455,0.7,2.2,0.332,5.0,10.5,0.48100000000000004,0.484,2.8,3.6,0.77,1.6,4.5,6.1,2.3,1.0,0.5,1.6,1.7,15.0,19.599999999999998,6.0,25.599999999999998
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,CHI,NBA,,637.0,591.0,35.9,6.3,13.6,0.46,0.6,1.8,0.331,5.7,11.8,0.48,0.48200000000000004,3.0,3.9,0.773,1.7,4.7,6.4,2.5,1.0,0.6,1.8,1.8,16.1,21.0,6.3,27.3
18,,MIA,NBA,,146.0,145.0,33.0,4.8,10.5,0.462,1.1,3.3,0.349,3.7,7.2,0.513,0.516,2.3,3.0,0.758,1.4,4.2,5.6,1.9,1.0,0.3,1.3,1.6,13.1,16.999999999999996,5.5,22.499999999999996
19,,LAL,NBA,,56.0,49.0,26.5,2.9,7.6,0.387,0.9,2.9,0.309,2.0,4.6,0.436,0.447,0.8,1.1,0.73,1.1,4.1,5.3,1.3,0.9,0.4,0.8,1.1,7.6,10.5,5.4,15.9
20,,CLE,NBA,,40.0,40.0,33.8,5.3,12.7,0.41700000000000004,1.0,3.2,0.315,4.3,9.5,0.451,0.457,2.8,3.6,0.7709999999999999,1.5,3.6,5.1,2.5,1.0,0.1,1.4,1.5,14.3,19.400000000000002,4.699999999999999,24.1
