,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,24.0,TOT,NBA,C,45.0,14.0,11.6,1.4,3.0,0.474,0.0,0.0,,1.4,3.0,0.474,0.474,0.8,1.2,0.7120000000000001,1.0,1.7,2.7,0.3,0.3,0.6,0.8,1.9,3.6,4.4,2.6,7.0
1,24.0,NYK,NBA,C,34.0,14.0,13.5,1.5,3.3,0.46399999999999997,0.0,0.0,,1.5,3.3,0.46399999999999997,0.46399999999999997,0.9,1.3,0.705,1.2,1.9,3.1,0.4,0.4,0.7,0.9,2.2,4.0,5.1,3.0,8.1
2,24.0,DEN,NBA,C,11.0,0.0,6.0,1.0,1.9,0.524,0.0,0.0,,1.0,1.9,0.524,0.524,0.5,0.7,0.75,0.5,1.1,1.5,0.0,0.1,0.2,0.3,0.7,2.5,2.7,1.4000000000000001,4.1000000000000005
3,25.0,DEN,NBA,C,44.0,35.0,15.6,2.3,4.3,0.526,0.0,0.0,,2.3,4.3,0.526,0.526,0.9,1.3,0.684,1.2,2.9,4.1,0.5,0.3,1.0,1.2,2.0,5.4,6.4,4.199999999999999,10.6
4,26.0,DEN,NBA,C,41.0,1.0,8.9,1.1,2.1,0.506,0.0,0.0,0.0,1.1,2.1,0.518,0.506,0.5,0.6,0.769,1.2,1.4,2.6,0.2,0.1,0.4,0.6,1.4,2.6,3.6,1.9,5.5
5,27.0,DEN,NBA,C,82.0,30.0,21.6,3.5,6.6,0.523,0.0,0.3,0.16699999999999998,3.4,6.4,0.539,0.527,2.4,3.2,0.754,2.1,4.4,6.4,0.8,0.3,1.2,1.5,2.6,9.4,11.600000000000001,5.9,17.5
6,28.0,TOT,NBA,C,81.0,80.0,25.2,3.9,7.0,0.555,0.0,0.1,0.33299999999999996,3.9,6.9,0.557,0.557,1.9,2.7,0.718,2.5,4.8,7.3,0.7,0.4,1.2,1.4,2.8,9.7,12.2,6.4,18.6
7,28.0,DEN,NBA,C,35.0,35.0,25.6,3.3,6.6,0.504,0.1,0.2,0.33299999999999996,3.3,6.5,0.509,0.509,1.8,2.5,0.733,2.6,5.2,7.8,0.5,0.4,1.2,1.3,3.3,8.5,10.799999999999999,6.800000000000001,17.6
8,28.0,CLE,NBA,C,46.0,45.0,25.0,4.3,7.3,0.59,0.0,0.0,,4.3,7.3,0.59,0.59,2.0,2.8,0.708,2.4,4.5,6.9,0.8,0.4,1.2,1.5,2.5,10.6,13.1,6.1000000000000005,19.2
9,29.0,CLE,NBA,C,76.0,48.0,17.4,2.7,4.7,0.565,0.0,0.1,0.14300000000000002,2.7,4.6,0.574,0.5670000000000001,0.9,1.3,0.716,1.4,3.0,4.4,0.4,0.3,0.8,0.9,2.1,6.3,7.6,4.1,11.7
10,30.0,LAL,NBA,C,54.0,52.0,20.4,3.1,6.1,0.515,0.0,0.0,0.0,3.1,6.1,0.517,0.515,1.2,1.4,0.8079999999999999,1.9,3.0,4.9,0.8,0.3,0.6,1.3,2.5,7.4,9.6,3.9,13.5
11,,,NBA,,423.0,260.0,18.5,2.8,5.2,0.534,0.0,0.1,0.175,2.8,5.1,0.54,0.535,1.4,1.9,0.737,1.7,3.3,5.0,0.6,0.3,0.9,1.2,2.3,7.0,8.700000000000001,4.5,13.200000000000001
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,DEN,NBA,,213.0,101.0,17.8,2.6,5.0,0.518,0.0,0.2,0.188,2.6,4.9,0.528,0.521,1.5,2.1,0.741,1.7,3.4,5.2,0.5,0.3,1.0,1.2,2.2,6.8,8.3,4.699999999999999,13.0
14,,CLE,NBA,,122.0,93.0,20.3,3.3,5.7,0.5770000000000001,0.0,0.1,0.14300000000000002,3.3,5.6,0.5820000000000001,0.578,1.3,1.8,0.711,1.8,3.6,5.4,0.6,0.3,0.9,1.1,2.2,7.9,9.8,4.8,14.600000000000001
15,,LAL,NBA,,54.0,52.0,20.4,3.1,6.1,0.515,0.0,0.0,0.0,3.1,6.1,0.517,0.515,1.2,1.4,0.8079999999999999,1.9,3.0,4.9,0.8,0.3,0.6,1.3,2.5,7.4,9.6,3.9,13.5
16,,NYK,NBA,,34.0,14.0,13.5,1.5,3.3,0.46399999999999997,0.0,0.0,,1.5,3.3,0.46399999999999997,0.46399999999999997,0.9,1.3,0.705,1.2,1.9,3.1,0.4,0.4,0.7,0.9,2.2,4.0,5.1,3.0,8.1
