,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,TOT,NBA,PG,33.0,1.0,12.5,1.6,4.4,0.361,0.4,1.3,0.27899999999999997,1.2,3.1,0.396,0.40299999999999997,0.2,0.2,0.7140000000000001,0.2,0.8,1.1,2.2,0.5,0.2,1.3,1.1,3.7,7.000000000000001,1.5,8.5
1,20.0,PHO,NBA,PG,8.0,0.0,7.3,1.1,2.6,0.429,0.3,0.8,0.33299999999999996,0.9,1.9,0.467,0.47600000000000003,0.3,0.3,1.0,0.1,0.8,0.9,1.8,0.0,0.3,1.0,0.4,2.8,5.5,1.1,6.6
2,20.0,MIL,NBA,PG,25.0,1.0,14.1,1.7,4.9,0.35,0.4,1.5,0.27,1.3,3.4,0.384,0.39,0.1,0.2,0.6,0.2,0.9,1.1,2.4,0.7,0.1,1.4,1.3,4.0,7.6,1.7000000000000002,9.3
3,21.0,MIL,NBA,PG,46.0,7.0,14.2,1.8,4.1,0.449,0.3,0.8,0.33299999999999996,1.5,3.2,0.48,0.484,0.5,0.7,0.735,0.3,1.3,1.6,2.1,0.5,0.0,1.0,1.4,4.5,8.0,1.8,9.8
4,22.0,TOT,NBA,PG,53.0,2.0,11.1,1.7,3.9,0.433,0.5,1.3,0.386,1.2,2.6,0.457,0.498,0.4,0.5,0.84,0.2,0.7,0.8,1.6,0.5,0.0,0.8,1.1,4.3,6.9,1.2,8.1
5,22.0,HOU,NBA,PG,31.0,0.0,6.3,0.8,2.1,0.391,0.2,0.5,0.375,0.6,1.5,0.396,0.43799999999999994,0.1,0.1,0.667,0.1,0.5,0.6,1.1,0.2,0.0,0.8,0.9,1.9,3.4000000000000004,0.7,4.1000000000000005
6,22.0,LAL,NBA,PG,22.0,2.0,17.8,3.0,6.5,0.451,1.0,2.5,0.389,2.0,4.1,0.489,0.524,0.9,1.0,0.8640000000000001,0.2,1.0,1.2,2.4,0.9,0.1,1.0,1.3,7.7,11.7,2.0,13.7
7,,,NBA,,132.0,10.0,12.5,1.7,4.1,0.419,0.4,1.2,0.342,1.3,2.9,0.45,0.46799999999999997,0.4,0.5,0.773,0.2,1.0,1.2,1.9,0.5,0.1,1.0,1.2,4.2,7.199999999999999,1.6,8.799999999999999
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,MIL,NBA,,71.0,8.0,14.2,1.8,4.4,0.41,0.3,1.1,0.303,1.5,3.3,0.444,0.447,0.4,0.5,0.718,0.3,1.2,1.5,2.2,0.6,0.1,1.1,1.4,4.3,7.9,1.9,9.8
10,,HOU,NBA,,31.0,0.0,6.3,0.8,2.1,0.391,0.2,0.5,0.375,0.6,1.5,0.396,0.43799999999999994,0.1,0.1,0.667,0.1,0.5,0.6,1.1,0.2,0.0,0.8,0.9,1.9,3.4000000000000004,0.7,4.1000000000000005
11,,LAL,NBA,,22.0,2.0,17.8,3.0,6.5,0.451,1.0,2.5,0.389,2.0,4.1,0.489,0.524,0.9,1.0,0.8640000000000001,0.2,1.0,1.2,2.4,0.9,0.1,1.0,1.3,7.7,11.7,2.0,13.7
12,,PHO,NBA,,8.0,0.0,7.3,1.1,2.6,0.429,0.3,0.8,0.33299999999999996,0.9,1.9,0.467,0.47600000000000003,0.3,0.3,1.0,0.1,0.8,0.9,1.8,0.0,0.3,1.0,0.4,2.8,5.5,1.1,6.6
