,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,,NBA,PF,38.0,6.0,9.9,1.6,2.9,0.5539999999999999,0.0,0.0,,1.6,2.9,0.5539999999999999,0.5539999999999999,0.7,1.1,0.675,1.0,1.6,2.6,0.2,0.2,0.6,0.3,0.9,4.0,5.1000000000000005,2.4,7.5
1,21.0,,NBA,PF,39.0,23.0,17.6,3.3,6.3,0.528,0.0,0.1,0.0,3.3,6.2,0.537,0.528,1.6,2.2,0.741,1.6,2.4,4.0,0.5,0.6,0.9,0.6,1.9,8.3,10.3,3.9,14.200000000000001
2,,22.0,Did Not Play (injury—shoulder),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,23.0,,NBA,PF,37.0,2.0,10.2,1.6,3.2,0.513,0.0,0.0,,1.6,3.2,0.513,0.513,0.6,0.8,0.677,0.8,1.6,2.4,0.3,0.3,0.5,0.4,0.9,3.8,4.799999999999999,2.4000000000000004,7.199999999999999
4,23.0,,NBA,PF,21.0,1.0,9.3,1.8,3.0,0.603,0.0,0.0,,1.8,3.0,0.603,0.603,0.3,0.7,0.5,0.7,1.3,2.0,0.2,0.1,0.5,0.5,0.9,4.0,4.6,1.9000000000000001,6.5
5,23.0,,NBA,PF,16.0,1.0,11.5,1.4,3.4,0.40700000000000003,0.0,0.0,,1.4,3.4,0.40700000000000003,0.40700000000000003,0.9,1.1,0.8240000000000001,1.1,1.9,3.0,0.4,0.5,0.4,0.3,0.9,3.6,5.2,2.8,8.0
6,24.0,,NBA,C,49.0,0.0,16.1,2.9,4.8,0.618,0.0,0.0,0.0,2.9,4.7,0.621,0.618,1.1,1.7,0.634,1.3,2.3,3.6,0.3,0.4,1.3,0.4,1.2,6.9,8.4,4.0,12.4
7,25.0,,NBA,C,64.0,16.0,18.0,3.8,6.3,0.597,0.0,0.0,0.0,3.8,6.3,0.601,0.597,0.9,1.5,0.615,1.3,2.7,4.1,0.6,0.4,1.2,0.5,1.2,8.5,10.5,4.3,14.8
8,26.0,,NBA,C,58.0,0.0,18.6,3.9,5.7,0.677,0.0,0.0,,3.9,5.7,0.677,0.677,1.3,1.8,0.726,1.8,2.4,4.2,0.5,0.6,0.9,0.6,1.6,9.1,11.299999999999999,3.9,15.2
9,27.0,,NBA,PF,75.0,7.0,19.3,3.1,4.8,0.642,0.0,0.0,0.0,3.1,4.8,0.647,0.642,1.0,1.5,0.696,1.7,2.6,4.3,0.5,0.7,1.3,0.5,1.4,7.3,9.5,4.6,14.1
10,27.0,,NBA,PF,27.0,0.0,18.7,3.7,5.0,0.748,0.0,0.0,,3.7,5.0,0.748,0.748,1.3,1.8,0.75,1.9,2.2,4.1,0.4,0.6,1.6,0.5,1.6,8.8,11.0,4.4,15.4
11,27.0,,NBA,PF,8.0,0.0,10.8,1.5,2.6,0.5710000000000001,0.0,0.0,,1.5,2.6,0.5710000000000001,0.5710000000000001,0.3,0.5,0.5,0.9,1.3,2.1,1.0,0.1,0.6,0.6,0.5,3.3,5.6,2.0,7.6
12,27.0,,NBA,PF,40.0,7.0,21.5,3.0,5.2,0.58,0.0,0.1,0.0,3.0,5.1,0.588,0.58,1.0,1.5,0.667,1.8,3.1,4.9,0.6,0.8,1.2,0.4,1.4,7.0,9.6,5.1000000000000005,14.7
