,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,HOU,NBA,SF,63.0,57.0,28.6,3.9,8.7,0.452,1.0,2.8,0.337,3.0,5.9,0.507,0.506,0.7,1.2,0.551,1.4,3.3,4.8,2.1,1.2,0.5,1.3,2.3,9.5,13.799999999999999,5.0,18.799999999999997
1,24.0,HOU,NBA,SF,76.0,76.0,36.3,6.0,12.4,0.486,2.0,5.2,0.385,4.0,7.2,0.5589999999999999,0.5670000000000001,1.5,2.0,0.7290000000000001,1.0,4.3,5.3,3.5,1.0,0.4,1.9,1.9,15.5,21.6,5.7,27.3
2,25.0,HOU,NBA,SF,74.0,74.0,37.6,6.3,13.3,0.47200000000000003,1.8,4.7,0.37,4.5,8.6,0.528,0.5379999999999999,2.2,3.0,0.742,0.9,4.6,5.5,4.0,1.2,0.4,1.9,2.3,16.6,23.6,6.2,29.8
3,26.0,DAL,NBA,SF,66.0,66.0,33.1,5.8,12.6,0.462,2.0,5.3,0.38,3.8,7.3,0.521,0.542,2.1,2.9,0.72,1.0,3.9,4.9,2.4,1.0,0.3,1.5,2.1,15.7,20.0,5.2,25.2
4,27.0,DAL,NBA,SF,61.0,51.0,29.5,5.2,10.7,0.49200000000000005,1.7,4.1,0.414,3.5,6.6,0.54,0.5710000000000001,1.5,2.2,0.684,0.5,4.2,4.7,2.8,0.8,0.3,1.6,1.9,13.7,18.199999999999996,5.3,23.499999999999996
5,28.0,MEM,NBA,SF,34.0,34.0,19.9,2.2,6.5,0.33799999999999997,0.7,2.7,0.26899999999999996,1.5,3.8,0.38799999999999996,0.39399999999999996,1.0,1.3,0.8140000000000001,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2,8.900000000000002,3.0,11.900000000000002
6,,,NBA,,374.0,358.0,32.1,5.2,11.2,0.466,1.6,4.3,0.373,3.6,6.9,0.525,0.539,1.6,2.2,0.711,0.9,3.9,4.8,2.9,1.0,0.4,1.6,2.0,13.6,18.7,5.300000000000001,24.0
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,HOU,NBA,,213.0,207.0,34.5,5.5,11.6,0.473,1.6,4.3,0.37,3.9,7.3,0.534,0.542,1.5,2.1,0.705,1.1,4.1,5.2,3.3,1.1,0.4,1.7,2.2,14.1,20.099999999999998,5.6,25.699999999999996
9,,DAL,NBA,,127.0,117.0,31.4,5.5,11.7,0.475,1.9,4.7,0.395,3.7,6.9,0.529,0.555,1.8,2.6,0.705,0.7,4.1,4.8,2.6,0.9,0.3,1.5,2.0,14.8,19.200000000000003,5.3,24.500000000000004
10,,MEM,NBA,,34.0,34.0,19.9,2.2,6.5,0.33799999999999997,0.7,2.7,0.26899999999999996,1.5,3.8,0.38799999999999996,0.39399999999999996,1.0,1.3,0.8140000000000001,0.2,2.3,2.5,1.6,0.6,0.1,0.7,1.5,6.2,8.900000000000002,3.0,11.900000000000002
