,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,HOU,NBA,SG,5.0,1.0,15.0,3.0,6.2,0.484,2.4,5.0,0.48,0.6,1.2,0.5,0.677,0.0,0.0,,0.0,0.8,0.8,1.0,0.0,0.0,0.6,1.2,8.4,9.8,0.8,10.600000000000001
1,23.0,TOT,NBA,SG,47.0,0.0,8.4,1.3,3.5,0.37,0.9,2.5,0.364,0.4,1.0,0.38299999999999995,0.5,0.2,0.3,0.846,0.2,0.5,0.7,0.5,0.1,0.0,0.4,0.9,3.7,4.5,0.6,5.1
2,23.0,HOU,NBA,SG,17.0,0.0,6.4,0.9,2.8,0.319,0.8,2.5,0.302,0.1,0.2,0.5,0.457,0.2,0.2,0.75,0.0,0.4,0.4,0.2,0.0,0.0,0.3,0.8,2.7,2.8000000000000003,0.4,3.2
3,23.0,MIN,NBA,SG,19.0,0.0,8.1,1.0,3.1,0.322,0.7,2.1,0.33299999999999996,0.3,1.1,0.3,0.43200000000000005,0.1,0.1,1.0,0.3,0.7,1.0,0.7,0.2,0.0,0.4,0.7,2.8,4.1,0.8999999999999999,5.0
4,23.0,CHO,NBA,SG,11.0,0.0,12.3,2.5,5.4,0.45799999999999996,1.5,3.3,0.47200000000000003,0.9,2.1,0.435,0.602,0.5,0.6,0.857,0.2,0.5,0.7,0.5,0.3,0.1,0.6,1.1,7.0,7.6,0.9,8.5
5,24.0,CHO,NBA,SG,43.0,0.0,11.1,2.1,4.3,0.47600000000000003,1.4,2.8,0.484,0.7,1.5,0.462,0.634,0.1,0.2,0.556,0.2,1.2,1.3,0.5,0.3,0.1,0.6,0.9,5.6,6.2,1.6,7.800000000000001
6,25.0,MEM,NBA,SG,67.0,3.0,17.7,2.8,7.4,0.374,2.1,5.3,0.389,0.7,2.1,0.336,0.513,0.6,0.8,0.7959999999999999,0.3,1.2,1.5,0.7,0.3,0.1,0.7,1.3,8.2,9.2,1.6,10.799999999999999
7,,,NBA,,162.0,4.0,13.2,2.2,5.4,0.39899999999999997,1.6,3.8,0.406,0.6,1.6,0.38,0.542,0.4,0.5,0.7759999999999999,0.2,1.0,1.2,0.6,0.2,0.0,0.6,1.1,6.2,7.0,1.2,8.2
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,MEM,NBA,,67.0,3.0,17.7,2.8,7.4,0.374,2.1,5.3,0.389,0.7,2.1,0.336,0.513,0.6,0.8,0.7959999999999999,0.3,1.2,1.5,0.7,0.3,0.1,0.7,1.3,8.2,9.2,1.6,10.799999999999999
10,,CHO,NBA,,54.0,0.0,11.3,2.1,4.6,0.47200000000000003,1.4,2.9,0.48100000000000004,0.7,1.6,0.455,0.626,0.2,0.3,0.688,0.2,1.0,1.2,0.5,0.3,0.1,0.6,1.0,5.9,6.500000000000001,1.4000000000000001,7.900000000000001
11,,HOU,NBA,,22.0,1.0,8.3,1.4,3.5,0.385,1.1,3.1,0.368,0.2,0.5,0.5,0.545,0.1,0.2,0.75,0.0,0.5,0.5,0.4,0.0,0.0,0.4,0.9,4.0,4.3999999999999995,0.5,4.8999999999999995
12,,MIN,NBA,,19.0,0.0,8.1,1.0,3.1,0.322,0.7,2.1,0.33299999999999996,0.3,1.1,0.3,0.43200000000000005,0.1,0.1,1.0,0.3,0.7,1.0,0.7,0.2,0.0,0.4,0.7,2.8,4.1,0.8999999999999999,5.0
