,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,TOR,NBA,SF,50.0,49.0,35.2,6.9,15.3,0.45,0.4,1.3,0.28800000000000003,6.5,14.0,0.466,0.46299999999999997,4.1,5.4,0.7609999999999999,1.9,3.8,5.7,3.0,1.1,1.5,2.2,2.8,18.3,24.000000000000004,6.4,30.400000000000006
1,23.0,TOR,NBA,SF,82.0,82.0,38.1,9.6,20.7,0.465,1.2,2.9,0.40299999999999997,8.5,17.8,0.475,0.493,5.3,6.7,0.7909999999999999,1.8,4.0,5.8,3.9,1.3,1.1,2.2,3.2,25.7,33.099999999999994,6.4,39.49999999999999
2,24.0,TOR,NBA,SF,75.0,75.0,39.7,10.2,22.1,0.46,2.2,5.3,0.408,8.0,16.8,0.47700000000000004,0.509,5.1,6.7,0.765,2.3,3.2,5.5,3.9,1.5,1.1,2.2,2.7,27.6,35.5,5.800000000000001,41.3
3,25.0,TOR,NBA,SG,60.0,60.0,39.8,9.3,21.8,0.428,2.0,5.2,0.387,7.3,16.6,0.441,0.474,4.1,5.1,0.7979999999999999,2.3,2.9,5.2,4.0,1.6,0.7,2.6,3.2,24.7,32.4,5.2,37.6
4,26.0,TOR,NBA,SG,43.0,42.0,34.2,8.3,17.7,0.467,1.0,3.0,0.344,7.2,14.6,0.493,0.49700000000000005,3.0,3.7,0.8059999999999999,1.4,3.0,4.4,3.3,1.1,1.0,1.7,2.8,20.6,26.900000000000002,5.1,32.0
5,27.0,TOR,NBA,SG,73.0,73.0,38.2,8.3,20.0,0.41700000000000004,1.3,3.3,0.38299999999999995,7.1,16.6,0.424,0.449,4.6,5.7,0.8059999999999999,1.3,3.5,4.8,4.8,1.2,0.9,3.1,2.9,22.5,30.299999999999997,5.6000000000000005,35.9
6,28.0,TOT,NBA,SF-SG,77.0,76.0,36.7,9.0,20.0,0.452,1.6,4.1,0.406,7.4,15.9,0.46299999999999997,0.493,4.8,6.0,0.7979999999999999,1.4,3.8,5.2,4.2,1.4,0.6,2.2,3.2,24.5,32.099999999999994,5.799999999999999,37.89999999999999
7,28.0,TOR,NBA,SG,20.0,20.0,30.4,6.2,15.1,0.41100000000000003,1.0,3.0,0.322,5.3,12.2,0.43200000000000005,0.442,2.5,3.6,0.6940000000000001,1.4,1.9,3.3,3.1,1.3,0.8,1.1,2.8,15.9,22.4,4.0,26.4
8,28.0,NJN,NBA,SF,57.0,56.0,38.9,10.0,21.7,0.462,1.9,4.5,0.425,8.1,17.3,0.47100000000000003,0.505,5.6,6.8,0.8170000000000001,1.4,4.5,5.9,4.7,1.5,0.6,2.6,3.3,27.5,35.699999999999996,6.6,42.3
9,29.0,NJN,NBA,SG,79.0,79.0,36.8,8.3,19.2,0.43,1.6,4.6,0.341,6.7,14.6,0.45899999999999996,0.47100000000000003,6.1,7.6,0.799,1.7,4.1,5.8,4.3,1.2,0.7,2.7,3.0,24.2,31.8,6.0,37.8
