,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,POR,NBA,PF,41.0,0.0,5.8,1.2,2.6,0.449,0.0,0.0,,1.2,2.6,0.449,0.449,0.4,0.7,0.667,0.8,0.9,1.7,0.3,0.2,0.1,0.4,0.7,2.8,3.7999999999999994,1.2000000000000002,5.0
1,21.0,POR,NBA,PF,77.0,11.0,16.9,3.4,6.7,0.513,0.0,0.1,0.0,3.4,6.6,0.518,0.513,1.6,2.1,0.758,1.8,2.6,4.5,0.5,0.5,0.2,0.8,1.8,8.4,10.399999999999999,3.3000000000000003,13.7
2,22.0,POR,NBA,PF,81.0,80.0,37.9,8.2,16.9,0.485,0.0,0.1,0.2,8.2,16.8,0.486,0.485,3.7,4.9,0.7609999999999999,3.0,7.5,10.5,2.0,0.8,0.5,3.0,2.8,20.1,24.1,8.8,32.900000000000006
3,23.0,POR,NBA,PF,46.0,37.0,34.8,7.2,16.1,0.44799999999999995,0.0,0.1,0.0,7.2,16.0,0.452,0.44799999999999995,4.5,5.5,0.815,3.1,6.5,9.6,1.9,0.7,0.4,2.4,2.4,18.9,23.4,7.6000000000000005,31.0
4,24.0,POR,NBA,PF,74.0,71.0,34.4,7.2,16.6,0.436,0.2,0.7,0.29100000000000004,7.0,15.9,0.44299999999999995,0.44299999999999995,3.3,4.6,0.7140000000000001,2.6,5.4,8.0,1.9,0.8,0.2,2.2,2.5,18.0,22.2,6.4,28.6
5,25.0,POR,NBA,PF,68.0,67.0,35.7,8.8,18.9,0.467,0.2,0.7,0.292,8.6,18.2,0.473,0.47200000000000003,5.8,7.1,0.8190000000000001,2.9,7.2,10.1,2.2,0.8,0.2,3.2,2.7,23.6,27.700000000000003,8.2,35.900000000000006
6,26.0,NYK,NBA,C,69.0,68.0,32.5,7.0,15.3,0.45899999999999996,0.3,1.2,0.275,6.7,14.2,0.474,0.47,3.2,4.2,0.772,2.7,7.6,10.3,2.0,0.9,0.2,2.7,2.8,17.6,21.6,8.7,30.3
7,27.0,TOT,NBA,PF-C,50.0,45.0,35.1,8.3,17.5,0.475,0.6,1.9,0.33,7.7,15.5,0.494,0.494,3.6,4.9,0.7340000000000001,3.1,6.9,10.1,2.1,0.9,0.3,2.3,2.7,20.8,25.8,8.100000000000001,33.900000000000006
8,27.0,NYK,NBA,C,11.0,11.0,35.3,7.5,17.2,0.434,0.6,2.2,0.292,6.8,15.0,0.455,0.452,5.0,6.1,0.821,3.6,8.8,12.5,1.4,1.2,0.3,2.1,2.5,20.5,24.799999999999997,10.3,35.099999999999994
9,27.0,LAC,NBA,PF,39.0,34.0,35.1,8.5,17.5,0.48700000000000004,0.6,1.9,0.342,7.9,15.7,0.504,0.505,3.2,4.5,0.701,3.0,6.4,9.4,2.3,0.8,0.3,2.3,2.7,20.9,26.2,7.5,33.7
10,28.0,MEM,NBA,PF,81.0,81.0,37.7,8.0,16.5,0.488,0.2,0.6,0.28800000000000003,7.9,15.9,0.496,0.494,4.5,5.7,0.778,4.1,7.7,11.7,1.8,1.0,0.4,2.1,2.8,20.8,26.4,9.1,35.5
11,29.0,MEM,NBA,PF,75.0,74.0,36.3,8.0,15.8,0.503,0.1,0.6,0.18600000000000003,7.9,15.3,0.515,0.507,4.0,5.3,0.758,4.3,7.8,12.2,2.2,0.8,0.3,2.0,2.3,20.1,26.8,8.9,35.7
12,30.0,MEM,NBA,PF,28.0,8.0,26.3,4.7,10.2,0.46299999999999997,0.1,0.3,0.25,4.6,9.9,0.469,0.467,2.1,3.1,0.659,2.8,5.3,8.0,1.7,0.8,0.1,1.4,2.0,11.6,16.4,6.199999999999999,22.599999999999998
13,31.0,MEM,NBA,PF,76.0,75.0,34.3,6.2,13.5,0.46,0.0,0.3,0.087,6.2,13.2,0.469,0.461,3.0,3.9,0.75,4.1,7.2,11.2,1.4,0.8,0.4,2.0,2.4,15.4,20.3,8.4,28.700000000000003
14,32.0,MEM,NBA,PF,79.0,79.0,34.2,7.1,15.2,0.467,0.0,0.3,0.1,7.1,14.9,0.474,0.46799999999999997,3.2,4.3,0.742,3.4,6.7,10.1,2.5,0.7,0.3,2.3,2.7,17.4,23.499999999999996,7.7,31.199999999999996
