,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,OKC,NBA,C,18.0,0.0,7.9,0.4,0.8,0.5329999999999999,0.0,0.0,,0.4,0.8,0.5329999999999999,0.5329999999999999,0.1,0.2,0.5,0.7,1.2,1.9,0.2,0.3,0.4,0.4,1.7,1.0,1.7000000000000002,1.9,3.6
1,23.0,OKC,NBA,C,26.0,0.0,6.7,0.8,1.6,0.524,0.0,0.0,,0.8,1.6,0.524,0.524,0.5,0.5,0.929,0.5,1.3,1.8,0.1,0.3,0.6,0.3,0.8,2.2,2.6000000000000005,2.2,4.800000000000001
2,24.0,TOT,NBA,C,45.0,0.0,8.6,1.0,1.8,0.55,0.0,0.0,,1.0,1.8,0.55,0.55,0.3,0.4,0.6,0.7,2.0,2.7,0.2,0.1,0.5,0.5,1.3,2.2,2.8000000000000003,2.6,5.4
3,24.0,HOU,NBA,C,30.0,0.0,7.1,0.8,1.4,0.535,0.0,0.0,,0.8,1.4,0.535,0.535,0.1,0.3,0.444,0.4,1.5,1.9,0.2,0.1,0.3,0.5,1.4,1.7,2.0,1.9000000000000001,3.9000000000000004
4,24.0,SAC,NBA,C,15.0,0.0,11.7,1.4,2.5,0.568,0.0,0.0,,1.4,2.5,0.568,0.568,0.5,0.7,0.727,1.2,3.0,4.2,0.2,0.1,0.9,0.6,1.3,3.3,4.300000000000001,4.0,8.3
5,25.0,NYK,NBA,C,46.0,2.0,7.2,0.7,1.3,0.541,0.0,0.0,,0.7,1.3,0.541,0.541,0.6,0.7,0.867,0.8,2.0,2.8,0.3,0.2,0.7,0.4,0.9,2.0,3.0,2.9000000000000004,5.9
6,26.0,NYK,NBA,C,61.0,16.0,16.0,2.4,4.9,0.478,0.0,0.0,,2.4,4.9,0.478,0.478,0.8,1.0,0.7809999999999999,1.7,3.9,5.5,1.2,0.6,1.1,1.0,2.0,5.5,8.6,5.6,14.2
7,27.0,LAC,NBA,C,60.0,5.0,13.3,2.2,3.8,0.596,0.0,0.0,,2.2,3.8,0.596,0.596,1.0,1.4,0.7140000000000001,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,7.4,5.300000000000001,12.700000000000001
8,28.0,MIN,NBA,C,62.0,0.0,8.6,0.7,1.4,0.523,0.0,0.0,,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,3.0,2.5,5.5
9,,,NBA,,318.0,23.0,10.5,1.4,2.5,0.531,0.0,0.0,,1.4,2.5,0.531,0.531,0.6,0.7,0.748,1.0,2.5,3.5,0.6,0.4,0.7,0.6,1.6,3.3,4.9,3.5999999999999996,8.5
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,NYK,NBA,,107.0,18.0,12.2,1.7,3.4,0.489,0.0,0.0,,1.7,3.4,0.489,0.489,0.7,0.9,0.809,1.3,3.1,4.4,0.8,0.4,0.9,0.7,1.5,4.0,6.2,4.4,10.600000000000001
12,,MIN,NBA,,62.0,0.0,8.6,0.7,1.4,0.523,0.0,0.0,,0.7,1.4,0.523,0.523,0.2,0.4,0.682,0.8,1.7,2.5,0.4,0.4,0.4,0.3,1.4,1.7,3.0,2.5,5.5
13,,LAC,NBA,,60.0,5.0,13.3,2.2,3.8,0.596,0.0,0.0,,2.2,3.8,0.596,0.596,1.0,1.4,0.7140000000000001,1.4,3.4,4.8,0.8,0.8,1.1,1.1,2.3,5.5,7.4,5.300000000000001,12.700000000000001
14,,OKC,NBA,,44.0,0.0,7.2,0.7,1.3,0.526,0.0,0.0,,0.7,1.3,0.526,0.526,0.3,0.4,0.833,0.6,1.3,1.9,0.2,0.3,0.5,0.4,1.2,1.7,2.3000000000000003,2.1,4.4
15,,HOU,NBA,,30.0,0.0,7.1,0.8,1.4,0.535,0.0,0.0,,0.8,1.4,0.535,0.535,0.1,0.3,0.444,0.4,1.5,1.9,0.2,0.1,0.3,0.5,1.4,1.7,2.0,1.9000000000000001,3.9000000000000004
16,,SAC,NBA,,15.0,0.0,11.7,1.4,2.5,0.568,0.0,0.0,,1.4,2.5,0.568,0.568,0.5,0.7,0.727,1.2,3.0,4.2,0.2,0.1,0.9,0.6,1.3,3.3,4.300000000000001,4.0,8.3
