,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,,NBA,PG,13.0,0.0,8.2,1.1,2.8,0.389,0.2,0.7,0.222,0.9,2.1,0.444,0.41700000000000004,0.0,0.0,,0.2,0.2,0.4,0.9,0.4,0.0,0.5,0.5,2.3,3.8,0.6000000000000001,4.4
1,24.0,,NBA,PG,47.0,0.0,8.1,1.3,3.3,0.397,0.3,1.3,0.254,1.0,2.1,0.485,0.446,0.3,0.4,0.789,0.2,0.6,0.8,0.7,0.4,0.0,0.3,0.8,3.3,4.6,1.0,5.6
2,,25.0,Did Not Play (other pro league—Italy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,26.0,"Did Not Play (other pro league—D-League, Spain)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,27.0,Did Not Play (other pro league—China),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,28.0,,NBA,PG,2.0,0.0,5.0,0.5,1.5,0.33299999999999996,0.0,0.5,0.0,0.5,1.0,0.5,0.33299999999999996,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,1.0,2.0,0.0,2.0
6,29.0,,NBA,PG,49.0,2.0,14.8,2.9,7.3,0.39899999999999997,1.1,2.9,0.39299999999999996,1.8,4.4,0.40399999999999997,0.47600000000000003,0.6,0.7,0.875,0.4,1.1,1.6,2.2,0.4,0.0,0.9,0.9,7.5,11.4,1.5,12.9
7,30.0,,NBA,PG,63.0,0.0,13.1,2.0,5.3,0.386,0.9,2.4,0.377,1.1,2.9,0.39299999999999996,0.47200000000000003,0.3,0.4,0.72,0.1,0.9,1.0,1.7,0.4,0.0,0.4,0.8,5.3,8.4,1.3,9.700000000000001
8,31.0,,NBA,PG,42.0,6.0,14.1,1.5,4.5,0.326,0.6,2.0,0.298,0.9,2.5,0.349,0.392,0.2,0.4,0.625,0.3,0.6,0.9,1.0,0.3,0.0,0.5,1.0,3.8,5.6,0.8999999999999999,6.5
9,32.0,,NBA,PG,21.0,0.0,13.0,2.0,5.0,0.40399999999999997,0.4,1.4,0.31,1.6,3.6,0.44,0.447,0.2,0.2,1.0,0.2,0.6,0.8,2.9,0.4,0.0,0.8,0.9,4.7,9.899999999999999,1.0,10.899999999999999
10,,33.0,Did Not Play,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,34.0,,NBA,PG,5.0,0.0,2.2,0.2,0.8,0.25,0.0,0.2,0.0,0.2,0.6,0.33299999999999996,0.25,0.0,0.0,,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.4,0.8,0.4,1.2000000000000002
12,,,NBA,,242.0,8.0,12.1,1.9,4.9,0.38299999999999995,0.7,2.0,0.344,1.2,2.9,0.409,0.452,0.3,0.4,0.768,0.2,0.7,1.0,1.5,0.4,0.0,0.5,0.8,4.7,7.4,1.1,8.5
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,NBA,,63.0,0.0,13.1,2.0,5.3,0.386,0.9,2.4,0.377,1.1,2.9,0.39299999999999996,0.47200000000000003,0.3,0.4,0.72,0.1,0.9,1.0,1.7,0.4,0.0,0.4,0.8,5.3,8.4,1.3,9.700000000000001
15,,,NBA,,60.0,0.0,8.2,1.3,3.2,0.396,0.3,1.1,0.25,1.0,2.1,0.47600000000000003,0.44,0.3,0.3,0.789,0.2,0.5,0.7,0.8,0.4,0.0,0.4,0.7,3.1,4.5,0.9,5.4
16,,,NBA,,51.0,2.0,14.4,2.8,7.1,0.39899999999999997,1.1,2.8,0.39,1.7,4.3,0.405,0.475,0.5,0.7,0.8240000000000001,0.4,1.1,1.5,2.1,0.4,0.0,0.8,0.8,7.3,11.1,1.5,12.6
17,,,NBA,,42.0,6.0,14.1,1.5,4.5,0.326,0.6,2.0,0.298,0.9,2.5,0.349,0.392,0.2,0.4,0.625,0.3,0.6,0.9,1.0,0.3,0.0,0.5,1.0,3.8,5.6,0.8999999999999999,6.5
18,,,NBA,,21.0,0.0,13.0,2.0,5.0,0.40399999999999997,0.4,1.4,0.31,1.6,3.6,0.44,0.447,0.2,0.2,1.0,0.2,0.6,0.8,2.9,0.4,0.0,0.8,0.9,4.7,9.899999999999999,1.0,10.899999999999999
19,,,NBA,,5.0,0.0,2.2,0.2,0.8,0.25,0.0,0.2,0.0,0.2,0.6,0.33299999999999996,0.25,0.0,0.0,,0.0,0.0,0.0,0.2,0.4,0.0,0.0,0.0,0.4,0.8,0.4,1.2000000000000002
