,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,TOT,NBA,PF,47.0,0.0,13.3,2.1,4.3,0.493,0.0,0.0,0.0,2.1,4.2,0.49700000000000005,0.493,1.0,1.4,0.6759999999999999,1.6,2.1,3.7,0.4,0.3,0.4,0.6,2.0,5.2,7.000000000000001,2.8,9.8
1,22.0,NYK,NBA,PF,24.0,0.0,10.5,1.7,3.8,0.446,0.0,0.1,0.0,1.7,3.8,0.456,0.446,0.6,0.9,0.7140000000000001,1.3,1.2,2.5,0.3,0.4,0.4,0.5,1.5,4.0,5.4,2.0,7.4
2,22.0,HOU,NBA,PF,23.0,0.0,16.2,2.5,4.7,0.532,0.0,0.0,,2.5,4.7,0.532,0.532,1.3,2.0,0.66,1.9,3.0,5.0,0.6,0.2,0.5,0.8,2.4,6.4,8.7,3.7,12.399999999999999
3,23.0,HOU,NBA,C,72.0,11.0,15.6,2.4,4.9,0.491,0.0,0.0,0.0,2.4,4.9,0.494,0.491,0.8,1.2,0.706,1.8,2.5,4.3,0.4,0.2,0.7,0.9,2.2,5.6,7.299999999999999,3.4000000000000004,10.7
4,24.0,TOT,NBA,C,39.0,8.0,14.1,2.1,4.2,0.49700000000000005,0.0,0.1,0.0,2.1,4.2,0.506,0.49700000000000005,0.8,1.2,0.638,1.6,3.2,4.8,0.4,0.4,0.7,0.8,1.8,5.0,6.6000000000000005,4.3,10.9
5,24.0,HOU,NBA,C,32.0,7.0,14.7,2.1,4.2,0.504,0.0,0.1,0.0,2.1,4.1,0.515,0.504,0.8,1.2,0.6409999999999999,1.5,3.4,4.8,0.4,0.3,0.7,0.8,1.9,5.0,6.5,4.3999999999999995,10.899999999999999
6,24.0,LAL,NBA,C,7.0,1.0,11.7,2.0,4.3,0.467,0.0,0.0,,2.0,4.3,0.467,0.467,0.7,1.1,0.625,2.0,2.4,4.4,0.3,0.7,0.9,1.0,1.6,4.7,6.300000000000001,3.9999999999999996,10.3
7,25.0,LAL,NBA,PF,29.0,1.0,15.8,2.7,5.3,0.49700000000000005,0.0,0.1,0.0,2.7,5.3,0.503,0.49700000000000005,1.4,2.1,0.6559999999999999,2.8,2.9,5.7,0.4,0.3,0.7,0.9,1.9,6.7,9.4,3.8999999999999995,13.3
8,26.0,LAL,NBA,PF,72.0,32.0,20.8,4.0,7.2,0.5489999999999999,0.0,0.0,0.0,4.0,7.2,0.55,0.5489999999999999,1.7,2.5,0.685,2.7,4.7,7.4,0.8,0.4,0.9,1.0,2.4,9.7,13.0,6.000000000000001,19.0
9,27.0,LAL,NBA,C,70.0,57.0,26.8,5.1,11.1,0.45899999999999996,0.0,0.2,0.273,5.1,10.9,0.462,0.461,1.8,2.4,0.738,2.5,5.5,7.9,1.5,0.5,0.7,1.5,2.3,12.0,16.0,6.7,22.7
10,28.0,IND,NBA,C,73.0,11.0,20.7,3.8,7.5,0.506,0.0,0.0,0.0,3.8,7.5,0.507,0.506,1.2,1.7,0.7120000000000001,2.1,4.0,6.2,1.2,0.5,0.5,1.3,2.1,8.8,12.0,5.0,17.0
11,29.0,MIN,NBA,C,7.0,0.0,6.7,0.7,1.9,0.385,0.0,0.0,,0.7,1.9,0.385,0.385,0.3,0.3,1.0,1.1,0.9,2.0,0.0,0.1,0.0,0.6,1.3,1.7,2.1999999999999997,1.0,3.1999999999999997
12,,,NBA,,409.0,120.0,18.8,3.3,6.7,0.49700000000000005,0.0,0.1,0.136,3.3,6.6,0.499,0.49700000000000005,1.3,1.8,0.6990000000000001,2.1,3.7,5.8,0.8,0.4,0.7,1.0,2.1,7.9,10.600000000000001,4.800000000000001,15.400000000000002
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,LAL,NBA,,178.0,91.0,22.0,4.1,8.3,0.495,0.0,0.1,0.214,4.1,8.3,0.498,0.496,1.6,2.3,0.701,2.6,4.6,7.2,1.0,0.4,0.8,1.2,2.3,9.9,13.3,5.8,19.1
15,,HOU,NBA,,127.0,18.0,15.5,2.4,4.7,0.502,0.0,0.0,0.0,2.4,4.7,0.506,0.502,0.9,1.3,0.6779999999999999,1.7,2.8,4.5,0.4,0.2,0.7,0.8,2.1,5.6,7.3,3.7,11.0
16,,IND,NBA,,73.0,11.0,20.7,3.8,7.5,0.506,0.0,0.0,0.0,3.8,7.5,0.507,0.506,1.2,1.7,0.7120000000000001,2.1,4.0,6.2,1.2,0.5,0.5,1.3,2.1,8.8,12.0,5.0,17.0
17,,NYK,NBA,,24.0,0.0,10.5,1.7,3.8,0.446,0.0,0.1,0.0,1.7,3.8,0.456,0.446,0.6,0.9,0.7140000000000001,1.3,1.2,2.5,0.3,0.4,0.4,0.5,1.5,4.0,5.4,2.0,7.4
18,,MIN,NBA,,7.0,0.0,6.7,0.7,1.9,0.385,0.0,0.0,,0.7,1.9,0.385,0.385,0.3,0.3,1.0,1.1,0.9,2.0,0.0,0.1,0.0,0.6,1.3,1.7,2.1999999999999997,1.0,3.1999999999999997
