,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,25.0,IND,NBA,PF,81.0,4.0,21.4,2.7,5.2,0.508,0.0,0.0,0.0,2.7,5.2,0.509,0.508,2.4,3.7,0.642,2.3,3.9,6.2,0.7,0.6,1.0,1.3,2.3,7.7,10.1,5.5,15.6
1,26.0,IND,NBA,PF,44.0,1.0,23.4,2.5,5.6,0.445,0.0,0.0,,2.5,5.6,0.445,0.445,2.7,4.0,0.672,2.4,4.0,6.4,0.6,0.4,0.7,1.5,3.0,7.6,9.7,5.1000000000000005,14.8
2,27.0,IND,NBA,PF,82.0,14.0,25.5,2.9,5.9,0.49,0.0,0.0,0.5,2.9,5.9,0.49,0.491,3.0,4.2,0.713,2.3,3.8,6.1,0.5,0.4,0.8,1.1,3.0,8.8,11.000000000000002,5.0,16.0
3,28.0,IND,NBA,PF,82.0,28.0,28.5,3.8,7.8,0.48,0.0,0.2,0.071,3.7,7.6,0.49,0.48100000000000004,2.9,4.4,0.6659999999999999,2.3,5.0,7.3,0.8,0.5,1.0,1.7,3.2,10.5,12.700000000000001,6.5,19.200000000000003
4,29.0,IND,NBA,PF,82.0,12.0,26.7,3.1,6.4,0.48100000000000004,0.0,0.0,0.0,3.1,6.4,0.484,0.48100000000000004,3.4,4.9,0.696,2.3,4.5,6.8,0.7,0.5,0.9,1.3,2.9,9.6,11.999999999999998,5.9,17.9
5,30.0,IND,NBA,PF,49.0,1.0,25.9,3.3,7.1,0.47100000000000003,0.0,0.0,,3.3,7.1,0.47100000000000003,0.47100000000000003,2.8,3.9,0.703,2.4,4.7,7.0,0.7,0.4,0.9,1.0,2.8,9.4,12.2,6.000000000000001,18.2
6,31.0,TOR,NBA,C,79.0,78.0,31.4,4.0,9.0,0.44,0.0,0.0,,4.0,9.0,0.44,0.44,3.6,4.7,0.765,3.0,5.8,8.8,1.3,0.5,1.3,1.5,3.4,11.5,15.600000000000001,7.6,23.200000000000003
7,32.0,TOR,NBA,C,78.0,77.0,35.0,4.8,11.1,0.433,0.0,0.0,0.0,4.8,11.1,0.434,0.433,4.1,5.4,0.754,3.5,6.6,10.1,1.4,0.3,1.9,1.7,2.9,13.7,18.3,8.799999999999999,27.1
8,33.0,TOR,NBA,PF,77.0,77.0,38.7,5.3,12.5,0.426,0.0,0.0,0.0,5.3,12.5,0.426,0.426,3.8,4.6,0.818,3.3,6.3,9.6,2.0,0.7,1.1,2.1,2.9,14.5,19.7,8.1,27.799999999999997
9,34.0,TOR,NBA,C,53.0,52.0,35.7,4.9,12.1,0.40700000000000003,0.0,0.0,,4.9,12.1,0.40700000000000003,0.40700000000000003,4.1,5.3,0.7709999999999999,2.5,5.8,8.2,2.5,0.4,1.2,2.2,2.8,13.9,19.2,7.4,26.6
10,35.0,TOT,NBA,C,80.0,79.0,32.1,3.3,8.3,0.40299999999999997,0.0,0.0,,3.3,8.3,0.40299999999999997,0.40299999999999997,2.2,2.9,0.765,2.6,5.8,8.4,1.7,0.5,0.8,1.4,2.6,8.9,13.5,7.1,20.6
11,35.0,TOR,NBA,C,15.0,15.0,35.9,3.1,8.0,0.38299999999999995,0.0,0.0,,3.1,8.0,0.38299999999999995,0.38299999999999995,2.5,3.3,0.755,3.3,6.3,9.5,0.9,0.5,0.5,1.4,3.0,8.6,12.299999999999999,7.3,19.599999999999998
12,35.0,CHI,NBA,C,65.0,64.0,31.3,3.4,8.3,0.40700000000000003,0.0,0.0,,3.4,8.3,0.40700000000000003,0.40700000000000003,2.1,2.8,0.768,2.4,5.7,8.1,1.9,0.4,0.9,1.4,2.5,8.9,13.7,7.000000000000001,20.7
13,36.0,CHI,NBA,PF,72.0,62.0,25.6,2.7,5.8,0.461,0.0,0.0,,2.7,5.8,0.461,0.461,1.6,2.1,0.757,2.1,3.8,5.9,1.1,0.4,0.6,1.3,2.0,7.0,10.0,4.8,14.8
14,37.0,TOT,NBA,PF-C,44.0,39.0,21.4,1.9,4.3,0.43200000000000005,0.0,0.0,0.0,1.9,4.3,0.434,0.43200000000000005,1.2,1.8,0.642,2.0,2.7,4.7,0.5,0.5,0.2,1.2,2.8,4.9,6.7,3.4000000000000004,10.100000000000001
15,37.0,NYK,NBA,PF,36.0,31.0,20.8,1.9,4.4,0.428,0.0,0.0,0.0,1.9,4.4,0.43,0.428,1.3,1.7,0.738,2.1,2.7,4.8,0.4,0.6,0.3,1.2,2.8,5.0,6.7,3.6,10.3
16,37.0,TOR,NBA,C,8.0,8.0,23.9,1.8,3.9,0.452,0.0,0.0,,1.8,3.9,0.452,0.452,0.9,2.5,0.35,1.9,2.6,4.5,0.9,0.4,0.1,1.0,3.3,4.4,7.100000000000001,3.1,10.200000000000001
17,,,NBA,,903.0,524.0,28.9,3.5,7.9,0.44799999999999995,0.0,0.0,0.087,3.5,7.9,0.449,0.44799999999999995,3.0,4.1,0.727,2.6,4.9,7.5,1.1,0.5,1.0,1.5,2.8,10.0,13.3,6.4,19.700000000000003
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,IND,NBA,,420.0,60.0,25.4,3.1,6.4,0.48200000000000004,0.0,0.0,0.1,3.1,6.3,0.485,0.483,2.9,4.2,0.682,2.3,4.3,6.6,0.7,0.5,0.9,1.3,2.9,9.0,11.399999999999999,5.7,17.099999999999998
20,,TOR,NBA,,310.0,307.0,34.9,4.6,10.8,0.426,0.0,0.0,0.0,4.6,10.7,0.426,0.426,3.7,4.8,0.77,3.1,6.1,9.2,1.7,0.5,1.3,1.8,3.0,12.9,17.599999999999998,7.8999999999999995,25.499999999999996
21,,CHI,NBA,,137.0,126.0,28.3,3.0,7.0,0.431,0.0,0.0,,3.0,7.0,0.431,0.431,1.9,2.4,0.763,2.3,4.7,7.0,1.5,0.4,0.7,1.4,2.2,7.9,11.799999999999999,5.800000000000001,17.6
22,,NYK,NBA,,36.0,31.0,20.8,1.9,4.4,0.428,0.0,0.0,0.0,1.9,4.4,0.43,0.428,1.3,1.7,0.738,2.1,2.7,4.8,0.4,0.6,0.3,1.2,2.8,5.0,6.7,3.6,10.3
