,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,PHO,NBA,SG,52.0,0.0,10.3,1.5,3.2,0.455,0.1,0.7,0.139,1.4,2.5,0.542,0.47,0.7,1.1,0.6729999999999999,0.5,1.2,1.7,0.4,0.4,0.2,0.8,0.9,3.7,4.2,1.8,6.0
1,20.0,PHO,NBA,SG,41.0,2.0,13.0,1.9,4.9,0.39299999999999996,0.3,1.0,0.293,1.6,3.9,0.419,0.423,1.5,2.0,0.735,0.7,1.1,1.8,1.1,0.4,0.2,1.2,1.3,5.6,7.3,1.7,9.0
2,21.0,PHO,NBA,PG,57.0,13.0,19.5,3.1,7.4,0.41700000000000004,0.4,1.7,0.23199999999999998,2.7,5.7,0.474,0.444,2.3,3.4,0.674,0.5,2.0,2.5,2.1,0.5,0.2,1.8,1.5,8.9,11.8,2.7,14.5
3,22.0,TOT,NBA,SG,15.0,0.0,14.3,2.4,4.4,0.545,0.3,1.0,0.33299999999999996,2.1,3.4,0.608,0.583,2.2,2.8,0.7859999999999999,0.5,1.4,1.9,1.6,0.3,0.3,0.9,0.5,7.3,10.1,2.0,12.1
4,22.0,NOP,NBA,SG,3.0,0.0,10.0,0.7,1.7,0.4,0.3,0.7,0.5,0.3,1.0,0.33299999999999996,0.5,3.3,3.3,1.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,5.0,5.6,0.3,5.8999999999999995
5,22.0,BRK,NBA,SG,12.0,0.0,15.3,2.8,5.1,0.557,0.3,1.1,0.308,2.5,4.0,0.625,0.59,1.9,2.7,0.7190000000000001,0.6,1.8,2.3,1.9,0.3,0.3,1.2,0.6,7.9,11.100000000000001,2.4,13.500000000000002
6,,,NBA,,165.0,15.0,14.5,2.2,5.2,0.429,0.3,1.2,0.23600000000000002,2.0,4.0,0.484,0.455,1.6,2.3,0.7,0.5,1.5,2.0,1.2,0.4,0.2,1.2,1.2,6.3,7.999999999999999,2.1,10.1
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,PHO,NBA,,150.0,15.0,14.5,2.2,5.3,0.419,0.3,1.2,0.22699999999999998,1.9,4.1,0.474,0.444,1.5,2.2,0.6890000000000001,0.5,1.5,2.0,1.2,0.4,0.2,1.3,1.2,6.2,7.8,2.1,9.9
9,,BRK,NBA,,12.0,0.0,15.3,2.8,5.1,0.557,0.3,1.1,0.308,2.5,4.0,0.625,0.59,1.9,2.7,0.7190000000000001,0.6,1.8,2.3,1.9,0.3,0.3,1.2,0.6,7.9,11.100000000000001,2.4,13.500000000000002
10,,NOP,NBA,,3.0,0.0,10.0,0.7,1.7,0.4,0.3,0.7,0.5,0.3,1.0,0.33299999999999996,0.5,3.3,3.3,1.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.3,5.0,5.6,0.3,5.8999999999999995
