,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,SAC,NBA,C,81.0,62.0,28.5,5.3,12.4,0.43,0.0,0.2,0.16699999999999998,5.3,12.2,0.435,0.43200000000000005,3.4,5.0,0.687,2.7,6.0,8.6,2.5,1.0,0.8,3.3,4.1,14.1,18.5,7.8,26.3
1,21.0,SAC,NBA,C,64.0,62.0,30.5,7.0,15.6,0.44799999999999995,0.0,0.2,0.14300000000000002,7.0,15.4,0.45299999999999996,0.449,4.1,5.8,0.7020000000000001,4.1,6.8,11.0,1.6,1.5,1.2,2.7,4.0,18.1,22.700000000000003,9.5,32.2
2,22.0,SAC,NBA,C,75.0,74.0,30.5,6.4,13.8,0.465,0.1,0.3,0.182,6.4,13.5,0.47100000000000003,0.467,4.2,5.6,0.738,3.0,7.0,9.9,2.7,1.4,0.7,3.0,3.6,17.1,22.5,9.1,31.6
3,23.0,SAC,NBA,C,71.0,71.0,32.4,8.3,16.8,0.496,0.0,0.1,0.0,8.3,16.7,0.499,0.496,6.1,8.4,0.726,3.1,8.6,11.7,2.9,1.5,1.3,3.5,3.8,22.7,28.1,11.4,39.5
4,24.0,SAC,NBA,C,59.0,59.0,34.1,8.4,18.1,0.467,0.0,0.1,0.25,8.4,17.9,0.469,0.46799999999999997,7.2,9.2,0.782,3.1,9.5,12.7,3.6,1.5,1.7,4.3,4.1,24.1,30.100000000000005,12.7,42.800000000000004
5,25.0,SAC,NBA,C,65.0,65.0,34.6,9.2,20.5,0.451,1.1,3.2,0.33299999999999996,8.2,17.3,0.473,0.47700000000000004,7.3,10.2,0.718,2.4,9.1,11.5,3.3,1.6,1.4,3.8,3.6,26.9,32.1,12.1,44.2
6,26.0,TOT,NBA,C,72.0,72.0,34.2,9.0,19.9,0.452,1.8,5.0,0.361,7.2,14.8,0.483,0.498,7.2,9.3,0.772,2.1,8.9,11.0,4.6,1.4,1.3,3.7,3.9,27.0,34.599999999999994,11.600000000000001,46.199999999999996
7,26.0,SAC,NBA,C,55.0,55.0,34.4,9.2,20.3,0.452,1.7,4.9,0.35600000000000004,7.5,15.5,0.48200000000000004,0.494,7.7,10.0,0.77,2.1,8.5,10.6,4.8,1.4,1.3,3.8,3.7,27.8,35.7,11.200000000000001,46.900000000000006
8,26.0,NOP,NBA,C,17.0,17.0,33.8,8.4,18.5,0.452,2.1,5.6,0.375,6.2,12.8,0.486,0.51,5.5,7.1,0.777,2.2,10.2,12.4,3.9,1.5,1.1,3.6,4.4,24.4,30.799999999999997,12.799999999999999,43.599999999999994
9,,,NBA,,487.0,465.0,32.0,7.6,16.6,0.45899999999999996,0.4,1.3,0.33,7.2,15.2,0.47,0.47200000000000003,5.5,7.5,0.736,2.9,7.9,10.8,3.0,1.4,1.2,3.5,3.9,21.2,26.6,10.5,37.1
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,SAC,NBA,,470.0,448.0,31.9,7.6,16.5,0.45899999999999996,0.4,1.2,0.322,7.2,15.3,0.47,0.47100000000000003,5.5,7.5,0.7340000000000001,2.9,7.8,10.8,3.0,1.4,1.2,3.5,3.8,21.1,26.5,10.399999999999999,36.9
12,,NOP,NBA,,17.0,17.0,33.8,8.4,18.5,0.452,2.1,5.6,0.375,6.2,12.8,0.486,0.51,5.5,7.1,0.777,2.2,10.2,12.4,3.9,1.5,1.1,3.6,4.4,24.4,30.799999999999997,12.799999999999999,43.599999999999994
