,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,POR,NBA,SG,79.0,4.0,20.2,2.4,5.4,0.442,0.3,1.0,0.263,2.1,4.5,0.48,0.465,1.6,2.0,0.8,0.2,1.8,2.0,2.8,0.5,0.0,1.3,1.7,6.7,11.2,2.3,13.5
1,23.0,POR,NBA,PG,79.0,79.0,33.6,4.1,8.9,0.45399999999999996,0.8,2.3,0.35,3.3,6.6,0.49,0.499,3.1,3.5,0.871,0.2,2.4,2.6,5.3,1.1,0.1,2.4,2.6,12.0,20.4,3.6,24.0
2,24.0,POR,NBA,SG,82.0,16.0,27.2,3.3,7.6,0.431,0.8,2.3,0.342,2.5,5.2,0.47,0.483,2.6,3.0,0.867,0.4,2.5,2.9,3.8,0.7,0.0,2.2,1.6,9.9,15.7,3.2,18.9
3,25.0,IND,NBA,SG,82.0,53.0,33.1,4.7,10.4,0.45299999999999996,1.0,2.7,0.353,3.8,7.7,0.48700000000000004,0.498,2.7,3.2,0.852,0.5,2.8,3.4,4.1,1.1,0.2,2.2,2.2,13.1,19.599999999999998,4.1,23.699999999999996
4,26.0,TOR,NBA,PG,82.0,43.0,27.4,3.9,8.2,0.48100000000000004,1.0,2.4,0.41200000000000003,2.9,5.8,0.511,0.542,2.5,2.9,0.8420000000000001,0.4,2.3,2.7,5.0,0.7,0.1,2.0,1.8,11.4,19.8,3.1,22.900000000000002
5,27.0,TOT,NBA,SG-PG,83.0,15.0,20.7,3.1,7.7,0.408,0.4,1.3,0.306,2.7,6.4,0.429,0.434,2.2,2.6,0.85,0.2,1.8,2.1,2.9,0.7,0.1,1.3,1.2,8.9,13.6,2.6,16.2
6,27.0,TOR,NBA,PG,13.0,13.0,26.7,3.7,9.4,0.39299999999999996,0.3,1.8,0.16699999999999998,3.4,7.5,0.449,0.41,3.1,3.5,0.87,0.5,2.8,3.2,4.5,1.1,0.0,2.6,1.9,10.8,17.7,3.9,21.599999999999998
7,27.0,NOH,NBA,SG,70.0,2.0,19.6,3.0,7.4,0.41200000000000003,0.4,1.2,0.345,2.6,6.2,0.425,0.44,2.0,2.4,0.845,0.2,1.7,1.9,2.6,0.6,0.1,1.1,1.1,8.5,12.8,2.4,15.200000000000001
8,28.0,NOH,NBA,PG,45.0,39.0,34.0,5.9,13.0,0.456,0.9,2.5,0.348,5.0,10.5,0.48200000000000004,0.49,2.9,3.3,0.872,0.5,3.4,3.9,6.3,0.7,0.2,2.4,2.1,15.6,26.3,4.3,30.6
9,29.0,GSW,NBA,SG,79.0,4.0,29.7,4.9,10.8,0.452,1.0,2.6,0.40399999999999997,3.9,8.3,0.466,0.499,2.1,2.5,0.843,0.3,2.8,3.1,5.6,0.8,0.1,2.0,1.7,12.9,22.4,3.6999999999999997,26.099999999999998
10,30.0,CLE,NBA,PG,80.0,31.0,28.2,3.6,8.7,0.41,0.8,2.3,0.341,2.8,6.4,0.435,0.455,1.6,1.9,0.8390000000000001,0.3,2.5,2.8,4.1,0.7,0.3,1.7,1.7,9.5,16.3,3.5,19.8
11,31.0,BRK,NBA,PG,80.0,27.0,28.0,4.5,10.2,0.439,0.5,1.8,0.267,4.0,8.4,0.47700000000000004,0.46299999999999997,2.5,2.8,0.8809999999999999,0.2,2.8,3.1,4.7,0.9,0.2,2.4,1.8,12.0,19.200000000000003,3.9,23.1
12,32.0,BRK,NBA,PG,32.0,32.0,32.1,4.4,11.2,0.391,1.0,3.2,0.304,3.4,8.0,0.426,0.434,3.1,3.5,0.893,0.3,4.0,4.3,7.4,1.1,0.2,2.9,2.4,12.8,25.000000000000004,5.3,30.300000000000004
13,33.0,NOP,NBA,PG,2.0,0.0,16.5,1.0,1.5,0.667,0.0,0.5,0.0,1.0,1.0,1.0,0.667,1.0,1.0,1.0,0.0,0.0,0.0,2.5,1.0,0.0,1.5,2.0,3.0,6.5,1.0,7.5
14,,,NBA,,805.0,343.0,28.1,4.0,9.0,0.441,0.7,2.1,0.345,3.2,6.8,0.47,0.48200000000000004,2.4,2.8,0.856,0.3,2.5,2.9,4.5,0.8,0.1,2.0,1.8,11.0,18.3,3.4,21.7
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,POR,NBA,,240.0,99.0,27.0,3.2,7.3,0.44299999999999995,0.6,1.9,0.332,2.6,5.4,0.48,0.485,2.4,2.9,0.853,0.3,2.2,2.5,4.0,0.8,0.1,1.9,2.0,9.5,15.9,3.1,19.0
17,,"NOH,NOP",NBA,,117.0,41.0,25.1,4.1,9.4,0.436,0.6,1.7,0.345,3.5,7.7,0.456,0.467,2.3,2.7,0.858,0.3,2.3,2.6,4.0,0.6,0.1,1.6,1.5,11.1,17.799999999999997,3.0,20.799999999999997
18,,BRK,NBA,,112.0,59.0,29.2,4.5,10.5,0.425,0.6,2.2,0.282,3.8,8.3,0.46299999999999997,0.45399999999999996,2.7,3.0,0.885,0.3,3.2,3.4,5.4,1.0,0.2,2.5,2.0,12.2,20.8,4.4,25.200000000000003
19,,TOR,NBA,,95.0,56.0,27.3,3.9,8.3,0.46799999999999997,0.9,2.3,0.386,3.0,6.0,0.5,0.522,2.6,3.0,0.847,0.4,2.4,2.8,5.0,0.8,0.1,2.1,1.9,11.3,19.6,3.3000000000000003,22.900000000000002
20,,IND,NBA,,82.0,53.0,33.1,4.7,10.4,0.45299999999999996,1.0,2.7,0.353,3.8,7.7,0.48700000000000004,0.498,2.7,3.2,0.852,0.5,2.8,3.4,4.1,1.1,0.2,2.2,2.2,13.1,19.599999999999998,4.1,23.699999999999996
21,,CLE,NBA,,80.0,31.0,28.2,3.6,8.7,0.41,0.8,2.3,0.341,2.8,6.4,0.435,0.455,1.6,1.9,0.8390000000000001,0.3,2.5,2.8,4.1,0.7,0.3,1.7,1.7,9.5,16.3,3.5,19.8
22,,GSW,NBA,,79.0,4.0,29.7,4.9,10.8,0.452,1.0,2.6,0.40399999999999997,3.9,8.3,0.466,0.499,2.1,2.5,0.843,0.3,2.8,3.1,5.6,0.8,0.1,2.0,1.7,12.9,22.4,3.6999999999999997,26.099999999999998
