,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,IND,NBA,SG,12.0,0.0,9.6,1.1,3.3,0.33299999999999996,0.0,0.4,0.0,1.1,2.8,0.382,0.33299999999999996,0.9,1.2,0.7859999999999999,0.1,1.4,1.5,1.8,0.3,0.0,1.3,1.2,3.1,5.500000000000001,1.7,7.200000000000001
1,21.0,IND,NBA,SG,42.0,1.0,10.5,1.1,3.0,0.376,0.1,0.7,0.133,1.0,2.3,0.45299999999999996,0.392,0.2,0.4,0.47100000000000003,0.3,1.0,1.3,1.1,0.5,0.1,0.9,0.7,2.5,4.1,1.6,5.699999999999999
2,22.0,IND,NBA,SG,78.0,72.0,29.2,3.5,7.7,0.46,0.8,2.4,0.33,2.7,5.3,0.52,0.512,1.0,1.5,0.652,0.6,3.3,3.9,2.9,1.0,0.2,1.4,2.1,8.8,13.799999999999999,4.5,18.299999999999997
3,23.0,IND,NBA,SG,78.0,78.0,35.3,5.5,11.2,0.491,1.1,3.1,0.35200000000000004,4.4,8.0,0.545,0.54,1.8,2.5,0.711,1.2,5.9,7.2,4.6,0.7,0.1,2.7,2.5,13.8,21.5,6.7,28.2
4,24.0,CHO,NBA,SG,61.0,25.0,25.8,3.4,9.0,0.376,0.3,1.7,0.171,3.1,7.3,0.425,0.39299999999999996,1.1,1.8,0.627,0.6,3.9,4.5,3.9,0.6,0.1,2.1,2.2,8.2,14.500000000000002,4.6,19.1
5,25.0,TOT,NBA,SF,69.0,13.0,19.9,3.3,6.9,0.48100000000000004,0.4,1.1,0.385,2.9,5.7,0.5,0.513,1.3,1.6,0.784,0.6,2.7,3.2,1.9,0.6,0.1,1.4,2.0,8.3,11.299999999999999,3.4000000000000004,14.7
6,25.0,LAC,NBA,SF,43.0,10.0,15.8,1.9,3.9,0.494,0.4,1.1,0.40399999999999997,1.5,2.8,0.529,0.551,0.5,0.7,0.7,0.4,2.1,2.5,1.4,0.6,0.1,1.1,1.8,4.7,6.800000000000001,2.8000000000000003,9.600000000000001
7,25.0,MEM,NBA,SF,26.0,3.0,26.6,5.6,11.8,0.474,0.4,1.2,0.355,5.2,10.7,0.48700000000000004,0.49200000000000005,2.5,3.1,0.815,0.8,3.6,4.4,2.8,0.7,0.2,1.8,2.2,14.2,18.799999999999997,4.5,23.299999999999997
8,26.0,TOT,NBA,SG,18.0,0.0,20.1,3.0,6.7,0.45,0.3,1.1,0.3,2.7,5.6,0.48,0.475,0.4,0.7,0.615,0.2,2.7,2.9,3.3,0.3,0.2,1.4,1.8,6.8,12.2,3.2,15.399999999999999
9,26.0,NOP,NBA,SG,6.0,0.0,27.0,4.3,9.2,0.473,0.2,1.7,0.1,4.2,7.5,0.556,0.48200000000000004,0.8,1.3,0.625,0.5,2.5,3.0,4.8,0.3,0.2,1.8,3.0,9.7,17.999999999999996,3.0,20.999999999999996
10,26.0,MIN,NBA,SG,6.0,0.0,11.2,1.7,3.5,0.47600000000000003,0.0,0.3,0.0,1.7,3.2,0.526,0.47600000000000003,0.2,0.3,0.5,0.0,1.7,1.7,0.8,0.0,0.0,0.7,0.3,3.5,4.3999999999999995,1.7,6.1
11,26.0,IND,NBA,SG,6.0,0.0,22.0,3.0,7.3,0.409,0.8,1.3,0.625,2.2,6.0,0.361,0.466,0.3,0.5,0.667,0.2,3.8,4.0,4.2,0.5,0.3,1.8,2.0,7.2,14.0,4.6,18.6
12,,,NBA,,358.0,189.0,24.8,3.5,7.8,0.451,0.6,1.9,0.307,2.9,5.9,0.496,0.488,1.1,1.6,0.69,0.7,3.5,4.1,3.0,0.7,0.1,1.7,2.0,8.7,13.7,4.3,18.0
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,IND,NBA,,216.0,151.0,26.5,3.6,7.8,0.465,0.7,2.2,0.331,2.9,5.6,0.519,0.512,1.1,1.6,0.682,0.7,3.7,4.4,3.1,0.8,0.1,1.8,1.9,9.0,14.1,4.6,18.7
15,,CHO,NBA,,61.0,25.0,25.8,3.4,9.0,0.376,0.3,1.7,0.171,3.1,7.3,0.425,0.39299999999999996,1.1,1.8,0.627,0.6,3.9,4.5,3.9,0.6,0.1,2.1,2.2,8.2,14.500000000000002,4.6,19.1
16,,LAC,NBA,,43.0,10.0,15.8,1.9,3.9,0.494,0.4,1.1,0.40399999999999997,1.5,2.8,0.529,0.551,0.5,0.7,0.7,0.4,2.1,2.5,1.4,0.6,0.1,1.1,1.8,4.7,6.800000000000001,2.8000000000000003,9.600000000000001
17,,MEM,NBA,,26.0,3.0,26.6,5.6,11.8,0.474,0.4,1.2,0.355,5.2,10.7,0.48700000000000004,0.49200000000000005,2.5,3.1,0.815,0.8,3.6,4.4,2.8,0.7,0.2,1.8,2.2,14.2,18.799999999999997,4.5,23.299999999999997
18,,MIN,NBA,,6.0,0.0,11.2,1.7,3.5,0.47600000000000003,0.0,0.3,0.0,1.7,3.2,0.526,0.47600000000000003,0.2,0.3,0.5,0.0,1.7,1.7,0.8,0.0,0.0,0.7,0.3,3.5,4.3999999999999995,1.7,6.1
19,,NOP,NBA,,6.0,0.0,27.0,4.3,9.2,0.473,0.2,1.7,0.1,4.2,7.5,0.556,0.48200000000000004,0.8,1.3,0.625,0.5,2.5,3.0,4.8,0.3,0.2,1.8,3.0,9.7,17.999999999999996,3.0,20.999999999999996
