,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,24.0,TOT,NBA,PG,11.0,3.0,21.7,1.9,5.5,0.344,0.5,1.5,0.294,1.5,4.0,0.364,0.385,0.9,1.9,0.47600000000000003,0.5,2.0,2.5,5.5,0.7,0.0,2.3,2.4,5.2,14.399999999999999,2.7,17.099999999999998
1,24.0,PHI,NBA,PG,6.0,3.0,28.5,2.2,7.2,0.302,0.5,1.8,0.273,1.7,5.3,0.313,0.337,0.8,2.5,0.33299999999999996,0.7,2.5,3.2,7.2,1.0,0.0,3.0,2.7,5.7,17.8,3.5,21.3
2,24.0,POR,NBA,PG,5.0,0.0,13.6,1.6,3.6,0.444,0.4,1.2,0.33299999999999996,1.2,2.4,0.5,0.5,1.0,1.2,0.833,0.4,1.4,1.8,3.4,0.4,0.0,1.4,2.0,4.6,10.4,1.7999999999999998,12.2
3,25.0,TOT,NBA,PG,51.0,2.0,14.5,1.9,4.5,0.419,0.3,0.9,0.33299999999999996,1.6,3.5,0.442,0.45399999999999996,1.0,1.5,0.716,0.5,1.6,2.2,3.2,0.6,0.0,1.3,1.4,5.1,10.7,2.2,12.899999999999999
4,25.0,POR,NBA,PG,35.0,1.0,7.8,0.6,1.7,0.33299999999999996,0.1,0.5,0.17600000000000002,0.5,1.2,0.395,0.358,0.2,0.4,0.5329999999999999,0.3,0.8,1.1,1.2,0.3,0.0,0.8,0.9,1.5,3.3999999999999995,1.1,4.5
5,25.0,NOP,NBA,PG,16.0,1.0,29.3,4.8,10.6,0.45,0.8,1.9,0.419,3.9,8.6,0.457,0.488,2.8,3.7,0.763,0.9,3.5,4.4,7.5,1.4,0.1,2.4,2.6,13.1,26.6,5.0,31.6
6,26.0,NOP,NBA,PG,65.0,35.0,23.5,2.5,6.2,0.40299999999999997,0.6,2.0,0.313,1.9,4.2,0.446,0.45299999999999996,1.5,2.0,0.76,0.5,2.1,2.7,5.2,0.9,0.1,1.6,2.0,7.1,16.4,3.1,19.5
7,,,NBA,,127.0,40.0,19.7,2.2,5.5,0.40299999999999997,0.5,1.5,0.316,1.7,3.9,0.43700000000000006,0.447,1.3,1.8,0.7190000000000001,0.5,1.9,2.4,4.4,0.8,0.1,1.5,1.8,6.2,14.0,2.8000000000000003,16.8
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,NOP,NBA,,81.0,36.0,24.6,3.0,7.1,0.41700000000000004,0.7,2.0,0.33299999999999996,2.3,5.1,0.449,0.46299999999999997,1.8,2.3,0.7609999999999999,0.6,2.4,3.0,5.6,1.0,0.1,1.7,2.2,8.3,18.400000000000002,3.5,21.900000000000002
10,,POR,NBA,,40.0,1.0,8.5,0.7,2.0,0.359,0.1,0.6,0.217,0.6,1.4,0.418,0.391,0.3,0.5,0.619,0.3,0.9,1.2,1.5,0.3,0.0,0.9,1.0,1.9,4.299999999999999,1.2,5.499999999999999
11,,PHI,NBA,,6.0,3.0,28.5,2.2,7.2,0.302,0.5,1.8,0.273,1.7,5.3,0.313,0.337,0.8,2.5,0.33299999999999996,0.7,2.5,3.2,7.2,1.0,0.0,3.0,2.7,5.7,17.8,3.5,21.3
