,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,SAC,NBA,SG,72.0,72.0,37.2,7.4,16.2,0.45799999999999996,0.5,2.0,0.255,6.9,14.2,0.485,0.473,4.8,6.5,0.748,0.9,4.4,5.3,5.8,1.5,0.4,3.0,2.8,20.1,29.6,6.300000000000001,35.900000000000006
1,21.0,SAC,NBA,SG,57.0,53.0,37.0,6.7,16.4,0.409,0.8,2.6,0.29100000000000004,5.9,13.8,0.43200000000000005,0.43200000000000005,3.6,4.7,0.7709999999999999,0.8,4.0,4.8,5.6,1.5,0.5,3.2,2.5,17.8,26.6,6.0,32.6
2,22.0,SAC,NBA,SG,63.0,61.0,34.3,6.5,14.3,0.45299999999999996,0.3,1.6,0.20199999999999999,6.2,12.7,0.484,0.46399999999999997,3.2,4.1,0.779,1.0,3.6,4.6,4.5,1.3,0.5,2.7,2.2,16.5,23.8,5.4,29.200000000000003
3,23.0,SAC,NBA,SG,65.0,61.0,31.0,5.6,11.8,0.478,0.7,2.0,0.33799999999999997,4.9,9.7,0.508,0.508,3.2,4.2,0.775,0.9,3.6,4.4,3.5,1.4,0.4,2.0,2.0,15.2,21.1,5.4,26.5
4,24.0,NOP,NBA,SF,72.0,22.0,28.2,5.4,12.5,0.436,0.3,1.3,0.221,5.1,11.1,0.461,0.44799999999999995,3.3,4.3,0.7709999999999999,1.1,3.7,4.7,5.0,1.2,0.3,2.4,2.2,14.5,23.200000000000003,5.2,28.400000000000002
5,25.0,NOP,NBA,SG,79.0,76.0,34.1,6.6,14.7,0.447,0.9,2.9,0.304,5.7,11.9,0.48200000000000004,0.47700000000000004,2.6,3.7,0.6940000000000001,1.0,4.2,5.3,6.6,1.3,0.5,3.1,2.5,16.6,27.7,6.0,33.7
6,26.0,NOP,NBA,SG,25.0,25.0,30.6,5.4,12.6,0.433,1.3,3.4,0.38799999999999996,4.1,9.2,0.45,0.486,3.0,3.7,0.7959999999999999,0.8,4.4,5.2,6.6,1.3,0.3,2.9,2.6,15.2,26.3,6.0,32.3
7,27.0,TOT,NBA,SF,40.0,6.0,19.7,3.8,9.3,0.405,1.1,3.0,0.35600000000000004,2.7,6.3,0.429,0.462,1.7,2.3,0.75,0.3,3.1,3.4,3.1,0.9,0.2,1.5,1.5,10.3,15.3,4.2,19.5
8,27.0,NOP,NBA,SF,26.0,0.0,18.2,3.5,8.7,0.401,0.8,2.7,0.3,2.7,6.0,0.446,0.447,1.7,2.2,0.7759999999999999,0.2,3.1,3.3,3.5,0.9,0.2,1.5,1.6,9.5,15.2,4.2,19.4
9,27.0,SAC,NBA,SF,14.0,6.0,22.4,4.2,10.2,0.413,1.5,3.4,0.43799999999999994,2.7,6.8,0.4,0.486,1.7,2.4,0.706,0.5,3.1,3.6,2.4,0.9,0.4,1.6,1.4,11.6,15.299999999999999,4.4,19.7
10,,,NBA,,473.0,376.0,32.2,6.1,13.8,0.444,0.7,2.2,0.295,5.5,11.5,0.47200000000000003,0.467,3.3,4.3,0.757,0.9,3.9,4.8,5.1,1.3,0.4,2.7,2.3,16.1,24.500000000000004,5.6000000000000005,30.100000000000005
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,SAC,NBA,,271.0,253.0,34.2,6.5,14.4,0.44799999999999995,0.6,2.1,0.29,5.8,12.3,0.474,0.469,3.6,4.8,0.764,0.9,3.8,4.7,4.7,1.4,0.4,2.7,2.3,17.2,24.8,5.6,30.4
13,,NOP,NBA,,202.0,123.0,29.5,5.6,12.9,0.43799999999999994,0.7,2.4,0.302,4.9,10.5,0.46799999999999997,0.465,2.8,3.7,0.745,0.9,3.9,4.8,5.6,1.2,0.3,2.6,2.3,14.8,24.299999999999997,5.3999999999999995,29.699999999999996
