,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,,NBA,SF,82.0,,19.5,3.8,9.0,0.423,,,,3.8,9.0,0.423,0.423,1.9,2.6,0.722,1.6,2.6,4.3,1.3,0.5,0.1,1.4,2.6,9.5,12.299999999999999,3.2,15.5
1,23.0,,NBA,SF,63.0,,19.6,3.3,7.9,0.424,,,,3.3,7.9,0.424,0.424,1.2,1.7,0.691,1.7,2.4,4.1,1.7,0.3,0.0,1.0,2.3,7.9,12.0,2.6999999999999997,14.7
2,24.0,,NBA,SF,23.0,,21.1,3.0,7.9,0.381,0.0,0.0,0.0,3.0,7.8,0.38299999999999995,0.381,1.7,2.6,0.65,2.3,2.4,4.7,0.9,0.6,0.1,1.2,2.3,7.7,10.600000000000001,3.1,13.700000000000001
3,25.0,,NBA,SF,26.0,,13.5,2.1,5.5,0.375,0.0,0.0,,2.1,5.5,0.375,0.375,0.7,1.1,0.655,0.7,1.9,2.6,0.8,0.4,0.0,1.1,2.0,4.9,6.1,2.3,8.399999999999999
4,,26.0,Did Not Play (other pro league—CBA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,27.0,Did Not Play (other pro league—CBA),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,28.0,,NBA,SF,19.0,0.0,10.4,1.8,4.8,0.374,0.0,0.0,,1.8,4.8,0.374,0.374,0.7,0.9,0.722,1.1,1.6,2.7,0.7,0.3,0.1,0.9,2.3,4.3,5.8999999999999995,2.0,7.8999999999999995
7,,,NBA,,213.0,0.0,18.2,3.2,7.7,0.41200000000000003,0.0,0.0,0.0,3.2,7.7,0.41200000000000003,0.41200000000000003,1.4,2.0,0.6990000000000001,1.6,2.4,3.9,1.2,0.4,0.1,1.2,2.4,7.8,10.600000000000001,2.9,13.500000000000002
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,,NBA,,187.0,0.0,18.8,3.3,8.1,0.415,0.0,0.0,0.0,3.3,8.0,0.415,0.415,1.5,2.1,0.703,1.7,2.4,4.1,1.3,0.4,0.1,1.2,2.4,8.2,11.3,2.9,14.200000000000001
10,,,NBA,,26.0,,13.5,2.1,5.5,0.375,0.0,0.0,,2.1,5.5,0.375,0.375,0.7,1.1,0.655,0.7,1.9,2.6,0.8,0.4,0.0,1.1,2.0,4.9,6.1,2.3,8.399999999999999
