,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,24.0,DET,NBA,SF,82.0,74.0,28.0,3.4,7.8,0.428,0.9,2.4,0.35,2.5,5.4,0.46399999999999997,0.483,1.2,1.5,0.8059999999999999,1.3,2.7,4.0,0.9,0.7,0.5,1.2,2.6,8.8,10.700000000000001,3.9000000000000004,14.600000000000001
1,25.0,DET,NBA,SF,82.0,36.0,28.5,3.3,7.3,0.447,1.1,3.0,0.382,2.1,4.3,0.49200000000000005,0.525,1.9,2.2,0.826,1.4,2.3,3.7,0.9,0.7,0.5,1.0,2.6,9.6,11.8,3.5,15.3
2,26.0,TOT,NBA,SF,80.0,58.0,21.8,2.2,5.6,0.386,1.2,3.0,0.39799999999999996,1.0,2.6,0.371,0.493,0.5,0.7,0.769,0.4,2.0,2.4,1.1,0.6,0.3,0.7,1.9,6.0,7.8999999999999995,2.9,10.799999999999999
3,26.0,DET,NBA,SF,54.0,40.0,23.8,2.6,6.5,0.4,1.4,3.5,0.406,1.2,3.0,0.39299999999999996,0.509,0.5,0.7,0.8059999999999999,0.4,2.1,2.6,1.2,0.6,0.3,0.8,1.8,7.1,9.099999999999998,3.0,12.099999999999998
4,26.0,OKC,NBA,SF,26.0,18.0,17.5,1.2,3.7,0.33299999999999996,0.8,2.1,0.37,0.5,1.6,0.28600000000000003,0.43799999999999994,0.4,0.6,0.688,0.4,1.7,2.1,0.7,0.5,0.3,0.5,2.1,3.7,5.0,2.5,7.5
5,27.0,OKC,NBA,SF,68.0,2.0,14.4,1.3,3.3,0.389,0.4,1.4,0.309,0.8,1.8,0.452,0.457,0.4,0.6,0.659,0.7,1.3,2.1,0.4,0.4,0.1,0.5,1.8,3.4,4.4,1.8000000000000003,6.200000000000001
6,28.0,OKC,NBA,SF,32.0,2.0,12.0,1.1,2.6,0.41,0.2,1.2,0.18899999999999997,0.8,1.4,0.5870000000000001,0.452,0.4,0.5,0.765,0.3,1.3,1.5,0.3,0.2,0.2,0.3,0.9,2.8,3.4,1.7,5.1
7,,,NBA,,344.0,172.0,22.5,2.4,5.8,0.419,0.9,2.4,0.36200000000000004,1.6,3.4,0.46,0.494,1.0,1.2,0.7929999999999999,0.9,2.0,3.0,0.8,0.6,0.3,0.8,2.1,6.7,8.399999999999999,2.9,11.299999999999999
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,DET,NBA,,218.0,150.0,27.1,3.1,7.3,0.429,1.1,2.9,0.379,2.0,4.4,0.462,0.504,1.3,1.6,0.8170000000000001,1.1,2.4,3.5,1.0,0.7,0.4,1.0,2.4,8.7,10.799999999999999,3.4999999999999996,14.299999999999999
10,,OKC,NBA,,126.0,22.0,14.4,1.2,3.2,0.38,0.5,1.5,0.303,0.8,1.7,0.44799999999999995,0.451,0.4,0.6,0.688,0.5,1.4,1.9,0.4,0.4,0.2,0.4,1.6,3.3,4.199999999999999,1.9999999999999998,6.199999999999999
