,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,MIA,NBA,PG,65.0,2.0,19.4,2.7,6.9,0.39299999999999996,0.3,1.2,0.276,2.4,5.8,0.41700000000000004,0.41700000000000004,1.0,1.3,0.7759999999999999,0.3,1.1,1.4,2.0,0.7,0.0,1.6,1.9,6.8,9.5,1.8,11.3
1,24.0,MIA,NBA,PG,80.0,4.0,19.9,2.2,5.3,0.42100000000000004,0.4,1.2,0.35700000000000004,1.8,4.1,0.44,0.462,0.7,1.0,0.65,0.2,1.4,1.6,2.1,0.7,0.1,1.3,1.9,5.6,8.7,2.1999999999999997,10.899999999999999
2,25.0,MIA,NBA,PG,82.0,6.0,24.6,2.5,6.1,0.414,0.7,2.1,0.345,1.8,4.0,0.451,0.474,0.6,0.8,0.779,0.2,1.7,2.0,3.0,0.9,0.1,1.5,1.9,6.4,11.100000000000001,2.7,13.8
3,26.0,TOT,NBA,PG,75.0,25.0,24.4,3.1,7.4,0.41200000000000003,0.7,2.3,0.313,2.3,5.1,0.45799999999999996,0.461,0.8,1.1,0.716,0.2,1.9,2.1,3.4,0.8,0.2,1.3,1.7,7.6,13.299999999999999,2.9000000000000004,16.2
4,26.0,MIA,NBA,PG,47.0,23.0,24.4,2.5,6.5,0.386,0.6,2.2,0.265,1.9,4.3,0.446,0.43,0.7,1.0,0.696,0.3,2.0,2.3,3.5,0.9,0.2,1.2,1.6,6.3,12.4,3.1,15.5
5,26.0,NOP,NBA,PG,28.0,2.0,24.4,4.0,9.0,0.444,1.0,2.6,0.37799999999999995,3.0,6.4,0.47200000000000003,0.5,0.9,1.3,0.743,0.0,1.8,1.8,3.2,0.5,0.3,1.5,1.8,9.9,14.8,2.5999999999999996,17.4
6,27.0,NOP,NBA,PG,45.0,23.0,26.6,4.4,10.8,0.405,0.7,2.3,0.324,3.6,8.5,0.42700000000000005,0.439,1.2,1.4,0.8,0.2,3.1,3.4,3.7,0.8,0.1,1.7,2.3,10.6,16.5,4.0,20.5
7,28.0,OKC,NBA,PG,13.0,0.0,9.6,1.2,4.0,0.308,0.2,1.0,0.231,1.0,3.0,0.33299999999999996,0.337,0.6,0.8,0.8,0.0,0.8,0.8,1.1,0.6,0.0,0.5,1.4,3.3,5.0,1.4,6.4
8,,,NBA,,360.0,60.0,22.3,2.8,6.9,0.40700000000000003,0.6,1.8,0.324,2.2,5.1,0.436,0.449,0.8,1.1,0.743,0.2,1.7,2.0,2.7,0.8,0.1,1.4,1.9,7.0,11.200000000000001,2.6,13.8
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,MIA,NBA,,274.0,35.0,21.9,2.5,6.1,0.405,0.5,1.6,0.318,2.0,4.5,0.43700000000000006,0.44799999999999995,0.7,1.0,0.728,0.2,1.5,1.8,2.6,0.8,0.1,1.4,1.9,6.2,10.200000000000001,2.4,12.600000000000001
11,,NOP,NBA,,73.0,25.0,25.8,4.2,10.1,0.418,0.8,2.4,0.34700000000000003,3.4,7.7,0.441,0.46,1.1,1.4,0.78,0.2,2.6,2.8,3.5,0.7,0.2,1.6,2.1,10.3,15.9,3.5,19.4
12,,OKC,NBA,,13.0,0.0,9.6,1.2,4.0,0.308,0.2,1.0,0.231,1.0,3.0,0.33299999999999996,0.337,0.6,0.8,0.8,0.0,0.8,0.8,1.1,0.6,0.0,0.5,1.4,3.3,5.0,1.4,6.4
