,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,OKC,NBA,PG,82,65,32.5,5.3,13.4,0.39799999999999996,0.4,1.6,0.271,4.9,11.8,0.415,0.414,4.3,5.2,0.815,2.2,2.7,4.9,5.3,1.3,0.2,3.3,2.3,15.3,24.8,4.2,29.0
1,21.0,OKC,NBA,PG,82,82,34.3,5.9,14.1,0.418,0.3,1.3,0.221,5.6,12.9,0.43799999999999994,0.428,4.0,5.1,0.78,1.7,3.1,4.9,8.0,1.3,0.4,3.3,2.5,16.1,30.499999999999996,4.800000000000001,35.3
2,22.0,OKC,NBA,PG,82,82,34.7,7.5,17.0,0.442,0.4,1.3,0.33,7.1,15.7,0.451,0.45399999999999996,6.5,7.7,0.8420000000000001,1.5,3.1,4.6,8.2,1.9,0.4,3.9,2.5,21.9,35.9,5.4,41.3
3,23.0,OKC,NBA,PG,66,66,35.3,8.8,19.2,0.457,0.9,3.0,0.316,7.8,16.2,0.48200000000000004,0.48100000000000004,5.2,6.3,0.823,1.5,3.1,4.6,5.5,1.7,0.3,3.6,2.2,23.6,32.5,5.1,37.6
4,24.0,OKC,NBA,PG,82,82,34.9,8.2,18.7,0.43799999999999994,1.2,3.7,0.32299999999999995,7.0,15.1,0.466,0.47,5.6,7.0,0.8,1.4,3.9,5.2,7.4,1.8,0.3,3.3,2.3,23.2,36.1,6.0,42.1
5,25.0,OKC,NBA,PG,46,46,30.7,7.5,17.2,0.43700000000000006,1.5,4.7,0.318,6.0,12.5,0.48200000000000004,0.48,5.3,6.4,0.826,1.2,4.5,5.7,6.9,1.9,0.2,3.8,2.3,21.8,33.0,6.6000000000000005,39.6
6,26.0,OKC,NBA,PG,67,67,34.4,9.4,22.0,0.426,1.3,4.3,0.299,8.1,17.7,0.457,0.455,8.1,9.8,0.835,1.9,5.4,7.3,8.6,2.1,0.2,4.4,2.7,28.1,42.800000000000004,7.7,50.50000000000001
7,27.0,OKC,NBA,PG,80,80,34.4,8.2,18.1,0.45399999999999996,1.3,4.3,0.29600000000000004,6.9,13.8,0.503,0.489,5.8,7.2,0.812,1.8,6.0,7.8,10.4,2.0,0.3,4.3,2.5,23.5,41.800000000000004,8.3,50.10000000000001
8,28.0,OKC,NBA,PG,81,81,34.6,10.2,24.0,0.425,2.5,7.2,0.34299999999999997,7.7,16.8,0.45899999999999996,0.47600000000000003,8.8,10.4,0.845,1.7,9.0,10.7,10.4,1.6,0.4,5.4,2.3,31.6,48.7,11.0,59.7
9,,,NBA,,668,651,34.1,7.8,18.1,0.433,1.1,3.4,0.313,6.8,14.7,0.461,0.462,5.9,7.2,0.823,1.7,4.5,6.2,7.9,1.7,0.3,3.9,2.4,22.7,36.300000000000004,6.5,42.800000000000004
