,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,DET,NBA,PG,66.0,60.0,32.3,4.8,11.7,0.415,1.6,4.2,0.38,3.2,7.5,0.434,0.483,1.6,2.1,0.759,0.5,2.7,3.2,3.8,0.7,0.2,2.6,2.3,12.8,18.299999999999997,3.6000000000000005,21.9
1,21.0,DET,NBA,PG,75.0,75.0,31.5,4.8,11.7,0.40700000000000003,1.6,4.4,0.36700000000000005,3.2,7.3,0.43,0.475,2.2,3.0,0.733,0.7,2.6,3.3,4.0,0.8,0.1,2.7,2.1,13.3,19.3,3.5000000000000004,22.8
2,22.0,MIL,NBA,PG,72.0,69.0,33.3,6.4,15.2,0.42200000000000004,1.5,4.7,0.325,4.9,10.5,0.466,0.473,3.6,4.5,0.802,0.6,2.9,3.5,4.9,1.0,0.2,2.6,2.0,17.9,25.699999999999996,4.1,29.799999999999997
3,23.0,TOT,NBA,PG-SG,63.0,61.0,32.3,6.0,14.1,0.42200000000000004,2.0,5.1,0.389,4.0,9.0,0.441,0.493,3.1,3.5,0.8740000000000001,0.4,3.4,3.9,5.2,1.4,0.2,3.0,1.8,17.0,24.8,5.0,29.8
4,23.0,MIL,NBA,PG,52.0,52.0,32.5,6.2,14.3,0.435,2.0,4.9,0.409,4.2,9.4,0.44799999999999995,0.505,3.3,3.7,0.8809999999999999,0.5,3.8,4.3,5.4,1.6,0.2,3.2,1.8,17.8,25.900000000000002,5.6000000000000005,31.500000000000004
5,23.0,PHO,NBA,SG,11.0,9.0,31.5,4.6,13.0,0.35700000000000004,1.9,6.1,0.313,2.7,6.9,0.395,0.43,2.2,2.6,0.828,0.2,1.9,2.1,4.5,0.5,0.1,2.1,1.9,13.4,20.5,2.5,23.0
6,24.0,PHO,NBA,SG,52.0,50.0,36.0,7.1,17.2,0.415,2.3,6.8,0.342,4.8,10.5,0.461,0.48200000000000004,3.0,3.5,0.852,0.7,3.2,3.9,5.1,1.2,0.4,3.4,2.4,19.6,27.1,4.800000000000001,31.900000000000002
7,25.0,PHO,NBA,SG,54.0,5.0,21.1,3.9,9.7,0.39799999999999996,0.8,2.6,0.324,3.0,7.1,0.425,0.441,2.4,2.9,0.857,0.5,1.7,2.2,2.4,0.5,0.1,1.6,1.6,11.0,14.700000000000001,2.3000000000000003,17.0
8,,,NBA,,382.0,320.0,31.3,5.5,13.2,0.415,1.6,4.6,0.35700000000000004,3.8,8.6,0.445,0.47600000000000003,2.6,3.3,0.812,0.6,2.8,3.3,4.3,0.9,0.2,2.7,2.0,15.2,21.7,3.9,25.599999999999998
9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,,DET,NBA,,141.0,135.0,31.9,4.8,11.7,0.41,1.6,4.3,0.373,3.2,7.4,0.43200000000000005,0.479,1.9,2.6,0.743,0.6,2.6,3.2,3.9,0.8,0.1,2.7,2.2,13.1,18.8,3.5000000000000004,22.3
11,,MIL,NBA,,124.0,121.0,33.0,6.3,14.8,0.42700000000000005,1.7,4.8,0.361,4.6,10.0,0.45899999999999996,0.486,3.5,4.2,0.8320000000000001,0.6,3.3,3.8,5.1,1.2,0.2,2.9,1.9,17.9,25.799999999999997,4.7,30.499999999999996
12,,PHO,NBA,,117.0,64.0,28.7,5.4,13.4,0.40399999999999997,1.6,4.8,0.33399999999999996,3.8,8.6,0.442,0.46299999999999997,2.7,3.1,0.852,0.5,2.4,2.9,3.8,0.8,0.2,2.5,2.0,15.0,20.6,3.4000000000000004,24.0
