,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,CHA,NBA,PF,73.0,14.0,19.0,2.2,4.8,0.46799999999999997,0.1,0.6,0.22,2.1,4.2,0.502,0.48100000000000004,1.2,1.6,0.737,1.7,2.3,3.9,1.1,0.8,0.1,0.7,1.8,5.8,9.0,3.1999999999999997,12.2
1,23.0,TOT,NBA,SF,68.0,7.0,17.0,2.0,4.2,0.47700000000000004,0.4,1.1,0.392,1.6,3.1,0.507,0.528,1.0,1.5,0.6759999999999999,1.2,1.8,3.0,0.8,0.8,0.1,0.6,1.5,5.5,7.700000000000001,2.7,10.400000000000002
2,23.0,CHA,NBA,SF,20.0,7.0,21.4,2.3,4.8,0.469,0.2,0.4,0.375,2.1,4.4,0.47700000000000004,0.484,0.8,1.2,0.625,1.3,1.7,3.0,1.0,0.9,0.1,0.5,2.0,5.4,8.2,2.7,10.899999999999999
3,23.0,PHO,NBA,SF,48.0,0.0,15.2,1.9,3.9,0.48100000000000004,0.5,1.4,0.39399999999999996,1.4,2.6,0.528,0.55,1.2,1.7,0.691,1.2,1.9,3.0,0.8,0.8,0.1,0.7,1.4,5.5,7.6000000000000005,2.8000000000000003,10.4
4,24.0,PHO,NBA,SF,82.0,1.0,24.3,2.7,6.0,0.45899999999999996,1.5,3.2,0.45799999999999996,1.3,2.8,0.461,0.5820000000000001,1.3,1.7,0.754,1.2,2.2,3.4,1.4,1.0,0.2,0.8,2.0,8.2,11.399999999999999,3.4000000000000004,14.799999999999999
5,25.0,PHO,NBA,SF,82.0,15.0,26.1,3.7,7.7,0.47700000000000004,1.3,3.1,0.415,2.4,4.6,0.519,0.56,2.0,2.7,0.743,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,10.6,13.7,3.8000000000000003,17.5
6,26.0,PHO,NBA,SG,65.0,60.0,31.1,4.8,9.9,0.485,1.2,3.2,0.38299999999999995,3.6,6.7,0.535,0.547,1.8,2.5,0.726,1.5,3.2,4.6,1.7,0.8,0.3,1.1,1.6,12.7,16.5,4.3,20.8
7,27.0,PHO,NBA,SF,79.0,50.0,27.5,4.0,8.5,0.46799999999999997,1.3,3.4,0.391,2.6,5.0,0.52,0.547,1.6,2.1,0.7959999999999999,1.0,2.1,3.1,2.6,0.9,0.1,1.3,1.6,10.9,15.8,3.1,18.900000000000002
8,28.0,LAC,NBA,SF,74.0,43.0,23.4,2.6,6.0,0.43799999999999994,1.1,3.0,0.36,1.6,3.0,0.518,0.529,0.5,0.8,0.655,0.5,1.7,2.2,1.4,0.6,0.1,0.8,2.0,6.9,9.399999999999999,2.4,11.799999999999999
9,29.0,MIL,NBA,SG,72.0,22.0,23.8,2.8,5.9,0.46799999999999997,1.0,2.7,0.385,1.7,3.2,0.537,0.556,0.7,0.9,0.716,0.6,2.4,3.1,1.8,1.0,0.2,0.9,1.6,7.2,10.5,3.6,14.1
10,30.0,WAS,NBA,PF,81.0,41.0,25.9,2.9,6.0,0.478,1.2,2.9,0.42,1.6,3.1,0.534,0.581,0.9,1.2,0.735,0.7,2.9,3.5,2.1,0.9,0.2,1.0,2.3,7.9,11.8,4.0,15.8
11,31.0,PHO,NBA,PF,64.0,7.0,21.3,2.5,5.4,0.45399999999999996,1.2,3.2,0.379,1.3,2.2,0.5589999999999999,0.565,0.7,1.0,0.662,0.5,3.0,3.5,1.9,0.7,0.3,1.1,2.4,6.8,10.0,4.0,14.0
12,,,NBA,,740.0,260.0,24.0,3.0,6.4,0.46799999999999997,1.1,2.7,0.397,2.0,3.8,0.519,0.55,1.2,1.6,0.732,1.0,2.4,3.4,1.6,0.9,0.2,0.9,1.9,8.3,11.6,3.5,15.1
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,PHO,NBA,,420.0,133.0,24.8,3.3,7.1,0.47100000000000003,1.2,3.0,0.40700000000000003,2.1,4.1,0.519,0.5579999999999999,1.5,2.0,0.74,1.1,2.5,3.6,1.7,0.9,0.2,1.0,1.8,9.3,12.8,3.6,16.400000000000002
15,,CHA,NBA,,93.0,21.0,19.5,2.2,4.8,0.46799999999999997,0.1,0.5,0.245,2.1,4.2,0.496,0.48200000000000004,1.1,1.5,0.718,1.6,2.1,3.7,1.1,0.8,0.1,0.6,1.8,5.7,8.9,3.0000000000000004,11.9
16,,WAS,NBA,,81.0,41.0,25.9,2.9,6.0,0.478,1.2,2.9,0.42,1.6,3.1,0.534,0.581,0.9,1.2,0.735,0.7,2.9,3.5,2.1,0.9,0.2,1.0,2.3,7.9,11.8,4.0,15.8
17,,LAC,NBA,,74.0,43.0,23.4,2.6,6.0,0.43799999999999994,1.1,3.0,0.36,1.6,3.0,0.518,0.529,0.5,0.8,0.655,0.5,1.7,2.2,1.4,0.6,0.1,0.8,2.0,6.9,9.399999999999999,2.4,11.799999999999999
18,,MIL,NBA,,72.0,22.0,23.8,2.8,5.9,0.46799999999999997,1.0,2.7,0.385,1.7,3.2,0.537,0.556,0.7,0.9,0.716,0.6,2.4,3.1,1.8,1.0,0.2,0.9,1.6,7.2,10.5,3.6,14.1
