,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,PHO,NBA,PG,70.0,46.0,21.4,3.0,6.7,0.447,1.2,3.0,0.395,1.8,3.7,0.488,0.535,0.7,0.9,0.77,0.3,1.4,1.8,2.4,1.3,0.1,1.7,2.6,7.9,11.3,2.8000000000000003,14.100000000000001
1,22.0,PHO,NBA,PG,63.0,6.0,17.3,2.7,5.6,0.475,0.8,2.2,0.36700000000000005,1.9,3.4,0.544,0.547,0.9,1.1,0.797,0.5,1.6,2.1,2.0,0.5,0.1,1.4,2.0,7.0,10.1,2.2,12.3
2,23.0,PHO,NBA,SG,57.0,11.0,27.9,4.8,9.9,0.48100000000000004,1.5,3.4,0.444,3.3,6.5,0.501,0.5579999999999999,1.9,2.6,0.755,0.5,2.1,2.6,2.8,0.8,0.1,1.6,2.5,13.1,17.599999999999998,3.0000000000000004,20.599999999999998
3,24.0,PHO,NBA,SG,80.0,18.0,32.7,6.6,13.9,0.47600000000000003,2.4,5.5,0.434,4.2,8.4,0.504,0.562,2.5,2.9,0.845,0.3,2.4,2.7,4.0,1.2,0.2,1.8,2.6,18.1,24.6,3.8,28.400000000000002
4,25.0,PHO,NBA,SG,82.0,12.0,29.5,5.8,12.5,0.462,2.0,5.1,0.389,3.8,7.3,0.514,0.5429999999999999,2.1,2.6,0.8220000000000001,0.5,2.3,2.8,2.6,0.9,0.2,1.4,2.4,15.6,19.900000000000002,3.4,23.3
5,26.0,PHO,NBA,SG,70.0,11.0,24.4,5.2,10.8,0.48200000000000004,1.3,3.4,0.375,3.9,7.4,0.532,0.542,2.4,2.8,0.8809999999999999,0.5,2.1,2.6,2.3,1.2,0.1,1.3,1.6,14.2,17.999999999999996,3.4,21.399999999999995
6,27.0,PHO,NBA,PG,44.0,5.0,17.9,3.5,8.3,0.425,1.0,3.1,0.324,2.5,5.2,0.485,0.485,1.5,1.7,0.877,0.3,1.3,1.6,1.5,0.5,0.3,1.0,1.6,9.5,11.8,2.1,13.9
7,28.0,TOR,NBA,SG,58.0,0.0,24.1,5.1,11.3,0.45,1.2,3.7,0.33799999999999997,3.8,7.6,0.505,0.505,1.9,2.4,0.7959999999999999,0.2,1.5,1.7,2.1,0.9,0.1,1.4,1.9,13.3,16.300000000000004,2.5,18.800000000000004
8,29.0,TOT,NBA,SG,64.0,0.0,21.6,4.2,10.0,0.425,1.0,2.7,0.382,3.2,7.3,0.441,0.47600000000000003,1.6,1.9,0.815,0.5,1.5,2.0,1.5,0.9,0.1,1.5,2.1,11.1,13.1,2.5,15.6
9,29.0,TOR,NBA,SG,42.0,0.0,22.5,4.7,10.8,0.436,1.0,2.6,0.36,3.8,8.2,0.461,0.48,1.8,2.2,0.835,0.5,1.4,1.9,1.5,0.9,0.2,1.6,2.4,12.2,14.1,2.5,16.6
10,29.0,IND,NBA,SG,22.0,0.0,19.8,3.3,8.3,0.39899999999999997,1.1,2.7,0.424,2.2,5.6,0.387,0.467,1.1,1.5,0.758,0.5,1.7,2.2,1.5,0.9,0.0,1.2,1.5,8.9,11.200000000000001,2.6,13.8
11,30.0,BOS,NBA,PG,41.0,2.0,12.5,2.0,4.7,0.43,0.4,1.1,0.38299999999999995,1.6,3.6,0.445,0.47700000000000004,0.8,1.0,0.7559999999999999,0.2,0.9,1.1,1.4,0.4,0.1,0.5,1.2,5.2,7.699999999999999,1.4000000000000001,9.1
12,31.0,PHO,NBA,PG,20.0,0.0,18.4,2.8,6.6,0.42700000000000005,0.4,1.3,0.28,2.5,5.3,0.462,0.45399999999999996,1.6,2.0,0.795,0.3,1.6,1.9,1.6,0.4,0.2,1.0,1.5,7.5,10.0,2.2,12.2
13,32.0,GSW,NBA,SG,66.0,1.0,14.9,2.8,5.8,0.474,0.7,1.7,0.384,2.1,4.2,0.511,0.53,0.9,1.1,0.784,0.3,1.0,1.4,1.5,0.6,0.1,0.7,1.3,7.1,9.7,1.7000000000000002,11.399999999999999
14,33.0,GSW,NBA,SG,68.0,0.0,15.9,2.5,5.4,0.462,0.6,1.6,0.355,1.9,3.8,0.508,0.515,0.8,0.9,0.8390000000000001,0.4,1.3,1.7,1.2,0.6,0.1,0.8,1.6,6.4,8.399999999999999,2.0,10.399999999999999
15,34.0,PHO,NBA,SG,67.0,0.0,14.4,2.6,5.9,0.439,0.5,1.5,0.35700000000000004,2.0,4.4,0.466,0.483,0.6,0.7,0.889,0.2,1.3,1.6,1.2,0.5,0.1,0.7,1.2,6.3,8.200000000000001,1.9000000000000001,10.100000000000001
16,,,NBA,,850.0,112.0,21.6,4.0,8.7,0.45899999999999996,1.2,3.0,0.387,2.8,5.7,0.498,0.526,1.5,1.8,0.821,0.4,1.6,2.0,2.1,0.8,0.1,1.2,1.9,10.6,14.0,2.5000000000000004,16.5
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,PHO,NBA,,553.0,109.0,23.6,4.3,9.3,0.46399999999999997,1.4,3.4,0.39399999999999996,3.0,5.9,0.505,0.537,1.6,1.9,0.8290000000000001,0.4,1.9,2.2,2.4,0.9,0.2,1.4,2.1,11.7,15.499999999999998,3.0,18.5
19,,GSW,NBA,,134.0,1.0,15.4,2.6,5.6,0.46799999999999997,0.6,1.7,0.369,2.0,4.0,0.509,0.522,0.8,1.0,0.809,0.4,1.2,1.6,1.4,0.6,0.1,0.7,1.4,6.7,9.200000000000001,1.9,11.100000000000001
20,,TOR,NBA,,100.0,0.0,23.4,4.9,11.1,0.444,1.1,3.2,0.34600000000000003,3.8,7.8,0.485,0.495,1.9,2.3,0.8109999999999999,0.4,1.4,1.8,1.8,0.9,0.1,1.5,2.1,12.8,15.3,2.4,17.7
21,,BOS,NBA,,41.0,2.0,12.5,2.0,4.7,0.43,0.4,1.1,0.38299999999999995,1.6,3.6,0.445,0.47700000000000004,0.8,1.0,0.7559999999999999,0.2,0.9,1.1,1.4,0.4,0.1,0.5,1.2,5.2,7.699999999999999,1.4000000000000001,9.1
22,,IND,NBA,,22.0,0.0,19.8,3.3,8.3,0.39899999999999997,1.1,2.7,0.424,2.2,5.6,0.387,0.467,1.1,1.5,0.758,0.5,1.7,2.2,1.5,0.9,0.0,1.2,1.5,8.9,11.200000000000001,2.6,13.8
