,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,,NBA,SF,17.0,0.0,4.9,0.6,1.3,0.5,0.0,0.0,,0.6,1.3,0.5,0.5,0.5,0.8,0.5710000000000001,0.6,0.7,1.4,0.2,0.1,0.0,0.4,0.7,1.8,2.4,0.7999999999999999,3.1999999999999997
1,,22.0,Did Not Play (other pro league—Israel),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,,23.0,Did Not Play (other pro league—Ukraine),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,24.0,"Did Not Play (other pro league—Ukraine, Israel)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,25.0,"Did Not Play (other pro league—Greece, Italy)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,26.0,Did Not Play (other pro league—Germany),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,27.0,,NBA,SG,79.0,45.0,24.2,2.7,5.6,0.473,0.3,0.9,0.314,2.4,4.7,0.503,0.498,0.8,1.1,0.7440000000000001,1.7,2.8,4.4,1.4,0.8,0.2,0.8,1.8,6.4,10.1,3.8,13.899999999999999
7,28.0,,NBA,SF,81.0,81.0,30.7,3.3,7.6,0.431,0.9,2.4,0.387,2.4,5.2,0.45,0.491,1.9,2.5,0.7759999999999999,2.0,4.5,6.5,1.7,1.4,0.3,1.3,2.5,9.4,13.5,6.2,19.7
8,29.0,,NBA,SF,78.0,63.0,30.6,3.3,7.6,0.43799999999999994,1.1,3.2,0.345,2.2,4.4,0.506,0.511,1.3,1.8,0.727,1.5,5.0,6.4,1.6,1.4,0.3,1.2,2.3,9.1,12.600000000000001,6.7,19.3
9,30.0,,NBA,SF,82.0,80.0,31.0,2.9,7.1,0.41100000000000003,0.8,2.5,0.33,2.1,4.6,0.455,0.469,1.3,1.7,0.746,2.0,4.2,6.2,2.2,1.3,0.2,1.4,2.5,8.0,13.0,5.7,18.7
10,31.0,,NBA,SF,81.0,21.0,27.6,2.5,6.0,0.413,0.9,2.4,0.35700000000000004,1.6,3.5,0.451,0.485,0.9,1.1,0.774,1.4,4.4,5.8,1.2,1.4,0.2,0.8,2.4,6.7,9.7,6.000000000000001,15.7
11,31.0,,NBA,SF,57.0,17.0,28.5,2.6,6.2,0.415,0.8,2.4,0.33799999999999997,1.8,3.8,0.46299999999999997,0.48,1.1,1.4,0.792,1.6,4.4,6.0,1.3,1.5,0.2,0.9,2.5,7.0,10.299999999999999,6.1000000000000005,16.4
12,31.0,,NBA,SF,24.0,4.0,25.4,2.2,5.3,0.406,1.0,2.5,0.4,1.2,2.8,0.41200000000000003,0.5,0.5,0.7,0.688,1.0,4.4,5.4,1.1,1.3,0.2,0.6,2.2,5.8,8.4,5.9,14.3
13,,,NBA,,418.0,290.0,27.9,2.8,6.6,0.43200000000000005,0.8,2.2,0.35100000000000003,2.1,4.4,0.473,0.491,1.2,1.6,0.7509999999999999,1.7,4.0,5.7,1.6,1.2,0.2,1.1,2.2,7.7,11.500000000000002,5.4,16.900000000000002
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,NBA,,377.0,286.0,29.0,3.0,6.9,0.433,0.8,2.3,0.34700000000000003,2.2,4.6,0.475,0.49,1.3,1.7,0.757,1.8,4.2,5.9,1.6,1.2,0.3,1.1,2.3,8.0,11.9,5.7,17.6
16,,,NBA,,41.0,4.0,16.9,1.5,3.7,0.42,0.6,1.5,0.4,1.0,2.2,0.433,0.5,0.5,0.7,0.633,0.8,2.9,3.7,0.7,0.8,0.1,0.5,1.6,4.1,5.8,3.8000000000000003,9.6
