,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,CHI,NBA,C,71.0,31.0,19.6,2.1,4.3,0.49700000000000005,0.0,0.0,,2.1,4.3,0.49700000000000005,0.49700000000000005,1.9,3.1,0.604,1.6,3.2,4.8,0.8,0.4,1.3,1.4,2.5,6.1,7.9,4.9,12.8
1,20.0,CHI,NBA,C,75.0,68.0,24.4,3.4,6.5,0.531,0.0,0.0,,3.4,6.5,0.531,0.531,2.4,3.9,0.608,2.3,4.6,6.9,1.0,0.5,1.4,1.8,2.9,9.2,11.7,6.5,18.2
2,21.0,CHI,NBA,PF,35.0,8.0,22.3,1.9,4.5,0.424,0.0,0.0,0.0,1.9,4.5,0.42700000000000005,0.424,2.3,3.4,0.669,2.3,5.4,7.7,0.7,0.5,1.2,1.1,2.5,6.1,8.7,7.1000000000000005,15.8
3,22.0,CHI,NBA,C,80.0,10.0,27.4,2.6,5.2,0.494,0.0,0.0,0.0,2.6,5.2,0.496,0.494,2.8,4.2,0.6729999999999999,3.3,6.4,9.7,0.8,0.9,1.8,1.5,3.4,8.0,11.4,9.100000000000001,20.5
4,23.0,CHI,NBA,C,79.0,50.0,26.8,2.0,3.6,0.565,0.0,0.0,0.0,2.0,3.6,0.5670000000000001,0.565,1.2,2.4,0.503,3.4,5.7,9.0,1.0,0.5,1.3,1.6,3.8,5.3,9.1,7.5,16.6
5,24.0,NOK,NBA,C,73.0,73.0,34.6,4.0,6.4,0.624,0.0,0.0,0.0,4.0,6.4,0.625,0.624,1.5,2.8,0.527,4.4,8.0,12.4,0.9,0.5,1.8,1.7,3.3,9.5,14.0,10.3,24.3
6,25.0,NOH,NBA,C,79.0,79.0,35.2,4.8,7.7,0.623,0.0,0.0,0.0,4.8,7.6,0.624,0.623,2.2,3.7,0.593,4.1,7.7,11.7,1.0,0.6,1.1,1.7,3.1,11.8,16.2,9.4,25.6
7,26.0,NOH,NBA,C,45.0,45.0,32.1,3.6,6.3,0.565,0.0,0.0,,3.6,6.3,0.565,0.565,1.7,3.0,0.579,3.6,5.1,8.7,0.5,0.3,1.2,1.6,3.2,8.8,11.8,6.6,18.4
8,27.0,CHA,NBA,C,51.0,27.0,22.8,2.1,3.7,0.574,0.0,0.0,,2.1,3.7,0.574,0.574,2.3,3.1,0.732,2.2,4.0,6.3,0.3,0.3,1.1,1.8,2.7,6.5,7.500000000000001,5.4,12.900000000000002
9,28.0,DAL,NBA,C,74.0,74.0,27.8,3.6,5.5,0.654,0.0,0.0,,3.6,5.5,0.654,0.654,2.9,4.0,0.732,2.8,6.6,9.4,0.4,0.5,1.1,1.2,3.2,10.1,12.5,8.2,20.7
10,29.0,NYK,NBA,C,62.0,62.0,33.2,3.9,5.7,0.679,0.0,0.0,0.0,3.9,5.7,0.6829999999999999,0.679,3.5,5.1,0.6890000000000001,3.4,6.5,9.9,0.9,0.9,1.4,1.6,3.0,11.3,14.9,8.8,23.700000000000003
11,30.0,NYK,NBA,C,66.0,66.0,32.8,3.9,6.1,0.638,0.0,0.0,,3.9,6.1,0.638,0.638,2.7,3.9,0.6940000000000001,4.1,6.6,10.7,0.9,0.6,1.1,1.3,2.8,10.4,15.0,8.299999999999999,23.299999999999997
12,31.0,NYK,NBA,C,55.0,55.0,30.2,3.5,5.9,0.593,0.0,0.0,0.0,3.5,5.8,0.595,0.593,1.8,2.8,0.632,2.9,6.7,9.6,1.1,0.7,1.1,1.3,2.6,8.7,12.499999999999998,8.5,21.0
13,32.0,DAL,NBA,C,75.0,75.0,30.5,3.9,5.9,0.6659999999999999,0.0,0.0,,3.9,5.9,0.6659999999999999,0.6659999999999999,2.5,3.4,0.72,3.9,7.6,11.5,1.1,0.6,1.2,1.4,2.3,10.3,14.999999999999998,9.399999999999999,24.4
14,33.0,PHO,NBA,C,66.0,60.0,24.5,2.8,4.8,0.583,0.0,0.0,0.0,2.8,4.7,0.585,0.583,1.6,2.6,0.62,2.7,6.1,8.7,1.0,0.5,0.7,1.4,2.2,7.2,10.5,7.3,17.8
15,34.0,PHO,NBA,C,47.0,46.0,27.6,3.3,4.9,0.6709999999999999,0.0,0.0,,3.3,4.9,0.6709999999999999,0.6709999999999999,1.9,2.6,0.7340000000000001,3.3,8.2,11.5,0.6,0.7,0.5,1.4,2.7,8.4,11.5,9.399999999999999,20.9
16,,,NBA,,1033.0,829.0,28.4,3.3,5.5,0.594,0.0,0.0,0.0,3.3,5.5,0.595,0.594,2.2,3.4,0.647,3.2,6.2,9.4,0.8,0.6,1.2,1.5,2.9,8.7,12.0,8.0,20.0
17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,CHI,NBA,,340.0,167.0,24.4,2.5,4.8,0.511,0.0,0.0,0.0,2.5,4.8,0.512,0.511,2.1,3.4,0.615,2.6,5.1,7.7,0.9,0.6,1.4,1.5,3.1,7.1,10.0,7.1,17.1
19,,"NOK,NOH",NBA,,197.0,197.0,34.3,4.2,6.9,0.611,0.0,0.0,0.0,4.2,6.9,0.612,0.611,1.8,3.2,0.569,4.1,7.2,11.3,0.9,0.5,1.4,1.7,3.2,10.2,14.399999999999999,9.1,23.5
20,,NYK,NBA,,183.0,183.0,32.2,3.8,5.9,0.638,0.0,0.0,0.0,3.8,5.9,0.64,0.638,2.7,4.0,0.679,3.5,6.6,10.1,1.0,0.7,1.2,1.4,2.8,10.2,14.299999999999999,8.5,22.799999999999997
21,,DAL,NBA,,149.0,149.0,29.2,3.8,5.7,0.66,0.0,0.0,,3.8,5.7,0.66,0.66,2.7,3.7,0.726,3.4,7.1,10.4,0.8,0.5,1.1,1.3,2.7,10.2,13.899999999999999,8.7,22.599999999999998
22,,PHO,NBA,,113.0,106.0,25.8,3.0,4.8,0.62,0.0,0.0,0.0,3.0,4.8,0.621,0.62,1.7,2.6,0.6679999999999999,2.9,7.0,9.9,0.8,0.6,0.6,1.4,2.4,7.7,10.799999999999999,8.2,19.0
23,,CHA,NBA,,51.0,27.0,22.8,2.1,3.7,0.574,0.0,0.0,,2.1,3.7,0.574,0.574,2.3,3.1,0.732,2.2,4.0,6.3,0.3,0.3,1.1,1.8,2.7,6.5,7.500000000000001,5.4,12.900000000000002
