,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,LAC,NBA,SF,81.0,14.0,17.9,2.0,5.0,0.39399999999999996,0.6,1.8,0.315,1.4,3.2,0.43700000000000006,0.45,1.1,1.5,0.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6,6.6,3.3999999999999995,10.0
1,21.0,NOH,NBA,SF,66.0,21.0,22.4,2.3,5.5,0.41100000000000003,0.2,0.7,0.27699999999999997,2.1,4.8,0.431,0.429,1.3,1.7,0.754,1.4,3.2,4.7,1.0,0.9,0.5,1.4,2.1,6.0,8.0,4.6000000000000005,12.600000000000001
2,22.0,NOH,NBA,SF,76.0,71.0,27.2,3.0,6.2,0.475,0.1,0.3,0.21100000000000002,2.9,6.0,0.486,0.479,1.3,1.8,0.737,1.8,5.9,7.7,1.4,1.2,0.7,1.5,2.0,7.3,10.399999999999999,7.800000000000001,18.2
3,23.0,NOP,NBA,SF,80.0,65.0,25.6,2.9,6.2,0.474,0.2,0.6,0.271,2.8,5.6,0.496,0.48700000000000004,1.1,1.7,0.664,1.6,4.6,6.2,1.4,1.0,0.5,1.1,1.8,7.2,10.500000000000002,6.1,16.6
4,24.0,DAL,NBA,SF,74.0,3.0,18.5,2.0,4.8,0.41200000000000003,0.5,1.7,0.27399999999999997,1.5,3.1,0.485,0.45899999999999996,1.1,1.6,0.7120000000000001,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6,7.999999999999999,4.8,12.799999999999999
5,25.0,POR,NBA,SF,82.0,82.0,28.5,3.6,8.8,0.41600000000000004,1.5,4.3,0.361,2.1,4.5,0.46799999999999997,0.503,1.4,1.9,0.737,1.2,4.9,6.1,1.7,0.9,0.6,1.5,2.1,10.2,13.299999999999999,6.4,19.7
6,26.0,POR,NBA,SF,61.0,25.0,29.1,3.0,7.6,0.39299999999999996,1.1,3.5,0.33,1.9,4.2,0.445,0.46799999999999997,1.6,2.2,0.706,1.3,6.1,7.4,1.6,1.0,0.7,1.5,1.7,8.7,11.7,7.8,19.5
7,,,NBA,,520.0,281.0,24.1,2.7,6.3,0.426,0.6,1.8,0.324,2.1,4.5,0.467,0.473,1.3,1.8,0.725,1.4,4.3,5.7,1.2,1.0,0.6,1.3,1.9,7.2,9.7,5.8999999999999995,15.599999999999998
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,"NOH,NOP",NBA,,222.0,157.0,25.2,2.7,6.0,0.457,0.1,0.5,0.263,2.6,5.5,0.475,0.46799999999999997,1.3,1.7,0.716,1.6,4.6,6.3,1.3,1.0,0.6,1.3,2.0,6.9,9.8,6.199999999999999,16.0
10,,POR,NBA,,143.0,107.0,28.8,3.4,8.3,0.40700000000000003,1.4,3.9,0.349,2.0,4.4,0.45799999999999996,0.489,1.5,2.0,0.723,1.2,5.4,6.6,1.7,0.9,0.7,1.5,1.9,9.6,12.7,7.000000000000001,19.7
11,,LAC,NBA,,81.0,14.0,17.9,2.0,5.0,0.39399999999999996,0.6,1.8,0.315,1.4,3.2,0.43700000000000006,0.45,1.1,1.5,0.773,0.9,2.4,3.3,0.7,0.7,0.3,1.3,1.5,5.6,6.6,3.3999999999999995,10.0
12,,DAL,NBA,,74.0,3.0,18.5,2.0,4.8,0.41200000000000003,0.5,1.7,0.27399999999999997,1.5,3.1,0.485,0.45899999999999996,1.1,1.6,0.7120000000000001,1.5,3.1,4.6,0.8,0.9,0.8,0.7,1.9,5.6,7.999999999999999,4.8,12.799999999999999
