,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,TOR,NBA,PF,65.0,17.0,24.6,3.3,5.7,0.5760000000000001,0.0,0.0,,3.3,5.7,0.5760000000000001,0.5760000000000001,1.1,2.0,0.555,2.6,4.5,7.1,0.6,0.6,1.0,0.7,2.8,7.7,10.8,6.1,16.9
1,22.0,TOR,NBA,PF,66.0,9.0,23.2,2.6,5.1,0.513,0.0,0.0,0.0,2.6,5.1,0.515,0.513,1.1,1.6,0.67,2.0,4.6,6.6,0.9,0.6,1.0,1.0,2.4,6.3,9.1,6.199999999999999,15.299999999999999
2,23.0,TOT,NBA,C-PF,81.0,28.0,20.1,3.2,6.0,0.539,0.0,0.0,,3.2,6.0,0.539,0.539,1.3,2.1,0.617,1.9,3.8,5.7,0.8,0.5,1.0,0.8,2.4,7.7,10.399999999999999,5.3,15.7
3,23.0,TOR,NBA,C,45.0,24.0,24.2,4.1,7.5,0.5489999999999999,0.0,0.0,,4.1,7.5,0.5489999999999999,0.5489999999999999,1.5,2.3,0.647,2.1,4.6,6.7,1.2,0.6,0.8,1.0,2.5,9.7,13.2,5.999999999999999,19.2
4,23.0,MEM,NBA,PF,36.0,4.0,15.1,2.1,4.0,0.517,0.0,0.0,,2.1,4.0,0.517,0.517,1.0,1.8,0.569,1.6,2.9,4.4,0.2,0.4,1.3,0.5,2.2,5.1,6.6,4.6,11.2
5,24.0,MEM,NBA,PF,63.0,4.0,15.2,2.5,4.6,0.534,0.0,0.0,,2.5,4.6,0.534,0.534,0.7,1.4,0.528,1.5,2.7,4.1,0.4,0.3,0.7,0.6,1.8,5.7,7.4,3.7,11.100000000000001
6,25.0,LAL,NBA,PF,79.0,24.0,23.3,3.6,5.9,0.601,0.0,0.0,,3.6,5.9,0.601,0.601,1.2,2.4,0.48700000000000004,2.9,4.7,7.6,1.2,0.6,1.2,0.7,2.6,8.3,12.900000000000002,6.5,19.400000000000002
7,26.0,POR,NBA,PF,81.0,0.0,20.8,2.5,4.2,0.611,0.0,0.0,,2.5,4.2,0.611,0.611,1.4,2.5,0.5589999999999999,2.8,4.6,7.4,1.1,0.7,0.9,0.8,2.5,6.5,10.7,6.2,16.9
8,27.0,POR,NBA,PF,46.0,12.0,17.2,1.6,3.1,0.528,0.0,0.0,,1.6,3.1,0.528,0.528,1.1,1.8,0.617,2.1,3.2,5.3,0.6,0.3,0.5,0.8,3.0,4.3,6.8,4.0,10.8
9,,,NBA,,481.0,94.0,20.9,2.8,5.0,0.562,0.0,0.0,0.0,2.8,5.0,0.562,0.562,1.1,2.0,0.568,2.3,4.1,6.4,0.8,0.5,0.9,0.8,2.5,6.8,9.899999999999999,5.5,15.399999999999999
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,TOR,NBA,,176.0,50.0,24.0,3.3,5.9,0.547,0.0,0.0,0.0,3.3,5.9,0.5479999999999999,0.547,1.2,1.9,0.619,2.3,4.6,6.8,0.9,0.6,1.0,0.9,2.6,7.7,10.9,6.199999999999999,17.1
12,,POR,NBA,,127.0,12.0,19.5,2.2,3.8,0.5870000000000001,0.0,0.0,,2.2,3.8,0.5870000000000001,0.5870000000000001,1.3,2.2,0.575,2.5,4.1,6.6,0.9,0.6,0.7,0.8,2.7,5.7,9.2,5.3999999999999995,14.599999999999998
13,,MEM,NBA,,99.0,8.0,15.2,2.3,4.4,0.529,0.0,0.0,,2.3,4.4,0.529,0.529,0.8,1.6,0.545,1.5,2.7,4.2,0.4,0.3,0.9,0.6,2.0,5.5,7.2,3.9,11.1
14,,LAL,NBA,,79.0,24.0,23.3,3.6,5.9,0.601,0.0,0.0,,3.6,5.9,0.601,0.601,1.2,2.4,0.48700000000000004,2.9,4.7,7.6,1.2,0.6,1.2,0.7,2.6,8.3,12.900000000000002,6.5,19.400000000000002
