,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,SAS,NBA,PF,19.0,0.0,10.9,1.0,3.4,0.292,0.5,2.2,0.22,0.5,1.3,0.41700000000000004,0.36200000000000004,0.3,0.5,0.5,0.6,1.5,2.2,0.9,0.3,0.1,0.4,0.8,2.7,4.699999999999999,1.9000000000000001,6.6
1,24.0,TOT,NBA,PF,46.0,29.0,31.0,4.2,9.8,0.43,1.1,3.3,0.32899999999999996,3.1,6.5,0.48100000000000004,0.486,2.2,2.9,0.769,1.8,5.1,7.0,1.9,0.7,0.7,1.0,2.8,11.7,16.299999999999997,6.5,22.799999999999997
2,24.0,POR,NBA,PF,2.0,0.0,2.0,0.0,0.5,0.0,0.0,0.5,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.5,0.5
3,24.0,GSW,NBA,PF,44.0,29.0,32.3,4.4,10.2,0.431,1.1,3.4,0.331,3.3,6.8,0.48100000000000004,0.48700000000000004,2.3,3.0,0.769,1.9,5.3,7.3,2.0,0.7,0.8,1.0,2.9,12.3,17.200000000000003,6.8,24.000000000000004
4,25.0,MIN,NBA,SF,65.0,4.0,21.0,2.2,4.8,0.45,0.7,1.8,0.409,1.4,3.0,0.475,0.526,1.6,2.0,0.802,1.4,3.1,4.5,1.3,0.4,0.4,0.8,2.2,6.7,9.899999999999999,3.9,13.799999999999999
5,26.0,MIN,NBA,SF,51.0,0.0,17.3,1.4,3.6,0.39,0.5,2.0,0.248,0.9,1.6,0.568,0.45899999999999996,0.8,1.1,0.745,1.0,2.0,3.0,0.4,0.4,0.4,0.7,1.7,4.1,5.199999999999999,2.8,7.999999999999999
6,27.0,ATL,NBA,SF,62.0,11.0,15.5,1.3,3.5,0.38,0.7,2.1,0.33799999999999997,0.6,1.3,0.446,0.484,0.7,0.8,0.863,0.5,2.0,2.5,0.5,0.2,0.2,0.6,1.1,4.1,5.0,2.4000000000000004,7.4
7,28.0,CHA,NBA,PF,64.0,9.0,20.3,2.0,4.8,0.42,1.6,3.9,0.413,0.4,0.9,0.45,0.586,0.5,0.6,0.805,0.5,2.1,2.6,0.7,0.3,0.2,0.4,1.3,6.1,7.6,2.6,10.2
8,29.0,TOT,NBA,PF,76.0,11.0,18.8,2.1,5.2,0.41,1.4,3.8,0.366,0.7,1.4,0.534,0.545,0.7,0.9,0.7829999999999999,0.7,2.4,3.1,0.8,0.3,0.2,0.7,1.8,6.3,7.8999999999999995,2.9,10.799999999999999
9,29.0,PHO,NBA,PF,24.0,0.0,11.3,1.1,3.1,0.35100000000000003,1.0,2.6,0.387,0.1,0.5,0.16699999999999998,0.514,0.2,0.3,0.667,0.3,1.6,1.8,0.4,0.2,0.0,0.5,0.8,3.3,3.9000000000000004,1.8,5.7
