,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,,NBA,SG,27.0,4.0,12.4,1.6,3.7,0.436,0.5,1.4,0.35100000000000003,1.1,2.4,0.484,0.5,1.3,1.9,0.7,0.2,0.9,1.1,0.8,0.5,0.2,1.0,1.6,5.0,5.8,1.5999999999999999,7.3999999999999995
1,23.0,,NBA,SG,9.0,0.0,13.1,1.4,3.2,0.44799999999999995,0.3,1.3,0.25,1.1,1.9,0.588,0.5,1.8,2.7,0.667,0.2,1.3,1.6,0.8,0.4,0.4,1.6,1.8,5.0,5.199999999999999,2.1,7.299999999999999
2,23.0,,NBA,SG,5.0,0.0,4.6,0.6,1.6,0.375,0.0,0.4,0.0,0.6,1.2,0.5,0.375,1.0,1.0,1.0,0.2,0.4,0.6,0.4,0.2,0.0,0.4,0.2,2.2,2.8000000000000003,0.6000000000000001,3.4000000000000004
3,23.0,,NBA,SG,13.0,4.0,14.8,2.2,4.9,0.43799999999999994,0.8,1.8,0.435,1.4,3.2,0.439,0.516,1.1,1.6,0.667,0.2,0.8,1.1,0.9,0.6,0.2,0.8,1.9,6.2,7.3999999999999995,1.5999999999999999,9.0
4,24.0,,NBA,PG-SG,24.0,0.0,9.6,0.8,2.8,0.294,0.4,1.5,0.27,0.4,1.3,0.32299999999999995,0.368,0.3,0.7,0.41200000000000003,0.0,0.9,1.0,1.3,0.5,0.3,1.0,1.0,2.4,4.0,1.7,5.7
5,24.0,,NBA,SG,3.0,0.0,7.0,0.3,1.7,0.2,0.0,0.3,0.0,0.3,1.3,0.25,0.2,0.0,0.7,0.0,0.3,0.3,0.7,0.7,0.3,0.3,0.3,0.7,0.7,2.1,0.8999999999999999,3.0
6,24.0,,NBA,SG,9.0,0.0,9.2,0.8,2.3,0.33299999999999996,0.3,1.1,0.3,0.4,1.2,0.364,0.405,0.0,0.4,0.0,0.0,0.7,0.7,0.7,0.1,0.1,0.2,0.9,1.9,3.0999999999999996,0.8999999999999999,3.9999999999999996
7,24.0,,NBA,PG,12.0,0.0,10.5,1.0,3.5,0.28600000000000003,0.6,2.2,0.26899999999999996,0.4,1.3,0.313,0.369,0.6,0.9,0.636,0.0,1.3,1.3,2.0,0.8,0.3,1.7,1.2,3.2,5.5,2.4,7.9
8,,25.0,Did Not Play (other pro league—Italy),,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,26.0,,NBA,SG,51.0,36.0,22.7,2.1,5.1,0.40700000000000003,0.5,1.6,0.325,1.5,3.5,0.444,0.457,0.5,0.7,0.703,0.6,1.8,2.4,2.3,1.0,0.3,1.2,1.8,5.1,9.1,3.0999999999999996,12.2
10,27.0,,NBA,SG,75.0,0.0,8.5,0.7,1.9,0.36200000000000004,0.1,0.4,0.207,0.6,1.5,0.402,0.38299999999999995,0.4,0.6,0.698,0.3,0.6,0.9,1.0,0.5,0.1,0.6,1.0,1.8,3.4999999999999996,1.2000000000000002,4.699999999999999
11,28.0,,NBA,SG,52.0,18.0,14.1,1.3,3.3,0.4,0.6,1.7,0.375,0.7,1.6,0.42700000000000005,0.49700000000000005,0.7,0.9,0.7290000000000001,0.5,1.3,1.7,1.1,0.8,0.2,0.7,1.5,3.9,5.8999999999999995,2.3000000000000003,8.2
12,29.0,,NBA,SF,80.0,43.0,24.4,2.5,6.3,0.39799999999999996,1.1,3.2,0.345,1.4,3.1,0.45299999999999996,0.486,1.1,1.6,0.728,0.5,2.2,2.7,1.8,0.9,0.2,0.8,2.4,7.3,10.599999999999998,3.3000000000000003,13.899999999999999
13,30.0,,NBA,SG,65.0,21.0,26.6,2.8,6.6,0.424,1.3,3.4,0.373,1.6,3.3,0.47600000000000003,0.519,0.9,1.1,0.784,0.5,2.3,2.8,2.6,1.3,0.4,1.2,2.2,7.8,12.3,3.9999999999999996,16.3
14,,,NBA,,374.0,122.0,18.1,1.8,4.5,0.401,0.7,2.0,0.34600000000000003,1.1,2.5,0.446,0.479,0.8,1.1,0.716,0.4,1.6,2.0,1.6,0.8,0.3,0.9,1.7,5.0,7.699999999999999,2.7,10.399999999999999
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,NBA,,258.0,97.0,17.4,1.6,4.2,0.396,0.6,1.8,0.33799999999999997,1.1,2.4,0.43799999999999994,0.467,0.7,1.0,0.7190000000000001,0.4,1.5,1.9,1.5,0.8,0.2,0.8,1.7,4.6,7.2,2.5,9.7
17,,,NBA,,70.0,21.0,25.0,2.7,6.3,0.423,1.2,3.2,0.369,1.5,3.1,0.47700000000000004,0.516,0.9,1.1,0.797,0.5,2.2,2.7,2.4,1.2,0.4,1.1,2.0,7.4,11.6,3.8000000000000003,15.4
18,,,NBA,,16.0,4.0,13.4,1.8,4.3,0.42,0.6,1.5,0.41700000000000004,1.2,2.8,0.42200000000000004,0.493,0.9,1.4,0.609,0.3,0.8,1.0,0.9,0.6,0.2,0.8,1.7,5.1,6.3999999999999995,1.5999999999999999,7.999999999999999
19,,,NBA,,12.0,0.0,10.5,1.0,3.5,0.28600000000000003,0.6,2.2,0.26899999999999996,0.4,1.3,0.313,0.369,0.6,0.9,0.636,0.0,1.3,1.3,2.0,0.8,0.3,1.7,1.2,3.2,5.5,2.4,7.9
20,,,NBA,,9.0,0.0,13.1,1.4,3.2,0.44799999999999995,0.3,1.3,0.25,1.1,1.9,0.588,0.5,1.8,2.7,0.667,0.2,1.3,1.6,0.8,0.4,0.4,1.6,1.8,5.0,5.199999999999999,2.1,7.299999999999999
