,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,23.0,NYK,NBA,PG,45.0,41.0,32.4,4.5,11.4,0.39899999999999997,1.4,3.9,0.35200000000000004,3.2,7.4,0.424,0.46,1.4,1.7,0.8079999999999999,0.8,3.4,4.2,3.3,1.2,0.3,1.4,2.9,11.8,17.8,4.8999999999999995,22.7
1,24.0,NYK,NBA,PG,82.0,7.0,24.8,2.8,7.2,0.39299999999999996,0.9,2.7,0.344,1.9,4.4,0.423,0.45799999999999996,1.0,1.4,0.754,0.5,3.0,3.5,2.5,0.9,0.3,0.7,2.2,7.6,12.4,4.2,16.6
2,25.0,TOT,NBA,PG,74.0,2.0,20.2,2.8,7.4,0.38,1.6,4.2,0.39,1.2,3.2,0.36700000000000005,0.49,0.7,0.9,0.797,0.4,1.7,2.1,1.3,0.6,0.1,0.6,1.3,7.9,10.3,2.4,12.700000000000001
3,25.0,NOP,NBA,PG,55.0,0.0,20.4,3.0,8.0,0.374,1.8,4.9,0.377,1.2,3.1,0.37,0.489,0.7,0.9,0.769,0.4,1.8,2.2,1.2,0.7,0.1,0.5,1.4,8.6,10.899999999999999,2.6,13.499999999999998
4,25.0,SAC,NBA,PG,19.0,2.0,19.7,2.2,5.5,0.40399999999999997,1.0,2.1,0.475,1.2,3.4,0.359,0.495,0.6,0.6,0.917,0.4,1.5,1.8,1.5,0.3,0.1,0.9,1.1,6.0,8.5,1.9000000000000001,10.4
5,,,NBA,,201.0,50.0,24.8,3.2,8.2,0.391,1.3,3.5,0.366,1.9,4.7,0.409,0.469,1.0,1.3,0.7809999999999999,0.5,2.6,3.2,2.2,0.9,0.2,0.8,2.0,8.7,12.799999999999999,3.7,16.5
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,NYK,NBA,,127.0,48.0,27.5,3.4,8.7,0.396,1.1,3.1,0.348,2.3,5.5,0.423,0.45899999999999996,1.2,1.5,0.7759999999999999,0.6,3.1,3.8,2.8,1.0,0.3,1.0,2.4,9.1,14.299999999999999,4.3999999999999995,18.7
8,,NOP,NBA,,55.0,0.0,20.4,3.0,8.0,0.374,1.8,4.9,0.377,1.2,3.1,0.37,0.489,0.7,0.9,0.769,0.4,1.8,2.2,1.2,0.7,0.1,0.5,1.4,8.6,10.899999999999999,2.6,13.499999999999998
9,,SAC,NBA,,19.0,2.0,19.7,2.2,5.5,0.40399999999999997,1.0,2.1,0.475,1.2,3.4,0.359,0.495,0.6,0.6,0.917,0.4,1.5,1.8,1.5,0.3,0.1,0.9,1.1,6.0,8.5,1.9000000000000001,10.4
