,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,MEM,NBA,SF,78.0,43.0,27.0,4.1,9.7,0.42200000000000004,0.7,1.8,0.364,3.4,7.9,0.436,0.457,1.9,2.7,0.727,1.2,3.3,4.5,1.3,0.9,0.9,1.8,2.5,10.8,12.8,5.1000000000000005,17.900000000000002
1,21.0,MEM,NBA,SF,81.0,81.0,37.0,7.7,16.7,0.461,1.7,4.8,0.34600000000000003,6.1,12.0,0.507,0.511,3.1,3.9,0.785,1.7,4.4,6.2,2.0,1.4,1.0,2.3,2.8,20.1,23.5,6.800000000000001,30.3
2,22.0,MEM,NBA,SF,79.0,78.0,37.3,7.2,16.0,0.45299999999999996,1.1,3.1,0.35100000000000003,6.2,12.9,0.47700000000000004,0.48700000000000004,3.3,4.4,0.767,1.4,4.2,5.5,1.7,1.2,0.7,2.6,2.8,18.9,21.099999999999998,6.1000000000000005,27.2
3,23.0,MEM,NBA,SF,80.0,80.0,39.7,7.5,16.1,0.466,0.8,2.5,0.327,6.7,13.6,0.49200000000000005,0.491,3.8,5.0,0.753,1.4,4.5,5.9,1.9,1.5,0.8,2.1,2.5,19.6,22.7,6.8,29.5
4,24.0,MEM,NBA,SF,54.0,54.0,39.9,7.6,16.1,0.47100000000000003,1.1,2.7,0.396,6.5,13.4,0.486,0.503,3.6,4.5,0.805,1.5,4.7,6.2,2.8,1.7,1.1,2.5,2.4,19.8,24.4,7.5,31.9
5,25.0,MEM,NBA,SF,65.0,65.0,37.3,7.5,16.4,0.455,0.8,2.7,0.312,6.6,13.8,0.48200000000000004,0.48,3.2,4.0,0.7909999999999999,2.0,4.4,6.4,2.3,1.5,0.8,2.5,2.1,19.0,23.1,6.7,29.8
6,26.0,TOT,NBA,SF,75.0,74.0,35.8,6.9,16.7,0.41600000000000004,1.1,3.5,0.32299999999999995,5.8,13.2,0.44,0.449,3.2,3.9,0.8140000000000001,1.3,4.8,6.1,2.7,1.5,0.7,2.6,2.4,18.2,22.299999999999997,7.0,29.299999999999997
7,26.0,MEM,NBA,SF,42.0,42.0,36.7,6.7,16.4,0.408,1.0,3.1,0.31,5.7,13.3,0.431,0.43799999999999994,2.9,3.7,0.7759999999999999,1.3,4.6,5.9,2.6,1.3,0.7,2.5,2.1,17.2,21.2,6.6,27.799999999999997
8,26.0,TOR,NBA,SF,33.0,32.0,34.7,7.3,17.1,0.425,1.3,4.0,0.336,5.9,13.2,0.452,0.46399999999999997,3.6,4.2,0.856,1.3,5.1,6.4,2.8,1.7,0.7,2.8,2.9,19.5,23.599999999999998,7.5,31.099999999999998
9,27.0,TOT,NBA,SF,73.0,73.0,34.7,7.4,16.2,0.455,0.9,2.7,0.33,6.5,13.5,0.48100000000000004,0.483,4.4,5.3,0.8220000000000001,1.5,4.4,6.0,2.9,1.3,0.8,3.1,2.3,20.0,24.2,6.5,30.7
10,27.0,TOR,NBA,SF,18.0,18.0,35.5,7.2,18.6,0.38799999999999996,1.2,3.3,0.373,6.0,15.3,0.391,0.42100000000000004,3.8,4.9,0.773,1.6,5.8,7.4,2.2,1.6,1.3,3.3,2.6,19.4,22.099999999999998,8.700000000000001,30.799999999999997
11,27.0,SAC,NBA,SF,55.0,55.0,34.4,7.4,15.3,0.48200000000000004,0.8,2.5,0.312,6.6,12.8,0.516,0.508,4.5,5.4,0.836,1.5,4.0,5.5,3.1,1.2,0.6,3.0,2.3,20.1,24.8,5.8,30.6
12,28.0,SAC,NBA,SF,68.0,67.0,35.4,7.5,16.4,0.455,1.2,3.2,0.359,6.3,13.2,0.479,0.491,5.0,5.8,0.858,1.4,4.4,5.9,3.7,1.0,0.6,2.7,2.3,21.1,27.200000000000003,6.0,33.2
13,29.0,SAC,NBA,SF,70.0,70.0,34.0,6.7,14.4,0.46299999999999997,1.1,3.1,0.344,5.6,11.3,0.495,0.5,2.8,3.6,0.78,1.5,5.0,6.5,1.7,1.4,0.7,2.0,2.6,17.2,20.1,7.1000000000000005,27.200000000000003
14,30.0,SAC,NBA,SF,30.0,30.0,33.8,6.7,14.7,0.455,1.4,3.8,0.37200000000000005,5.3,11.0,0.483,0.502,3.9,4.6,0.855,1.2,5.2,6.3,2.8,1.5,0.9,2.5,2.6,18.7,23.0,7.6000000000000005,30.6
15,,,NBA,,753.0,715.0,35.6,7.0,15.4,0.452,1.1,3.0,0.345,5.9,12.4,0.479,0.486,3.4,4.3,0.7959999999999999,1.5,4.4,5.9,2.3,1.3,0.8,2.4,2.5,18.4,22.1,6.5,28.6
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,MEM,NBA,,479.0,443.0,36.2,6.9,15.2,0.452,1.0,3.0,0.344,5.9,12.3,0.478,0.485,3.1,4.0,0.7709999999999999,1.5,4.2,5.8,2.0,1.3,0.9,2.3,2.5,17.9,21.099999999999998,6.4,27.5
18,,SAC,NBA,,223.0,222.0,34.5,7.1,15.3,0.46399999999999997,1.1,3.1,0.34700000000000003,6.0,12.2,0.494,0.499,4.0,4.9,0.833,1.4,4.6,6.0,2.8,1.3,0.7,2.5,2.4,19.3,23.8,6.6,30.4
19,,TOR,NBA,,51.0,50.0,35.0,7.3,17.6,0.41100000000000003,1.3,3.7,0.34700000000000003,6.0,13.9,0.428,0.44799999999999995,3.7,4.5,0.8240000000000001,1.4,5.4,6.8,2.6,1.7,0.9,3.0,2.8,19.5,23.1,8.0,31.1
