,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,DEN,NBA,PG,65.0,8.0,20.3,3.1,6.0,0.515,0.5,1.3,0.41,2.6,4.7,0.544,0.5589999999999999,1.6,2.2,0.757,0.6,1.3,1.9,3.1,0.7,0.0,1.3,1.4,8.3,13.8,2.0,15.8
1,23.0,DEN,NBA,PG,80.0,31.0,26.3,4.3,8.6,0.503,0.9,2.1,0.40399999999999997,3.5,6.5,0.536,0.5529999999999999,2.2,2.8,0.764,0.8,1.8,2.6,4.7,1.0,0.1,1.7,1.7,11.7,20.2,2.9,23.099999999999998
2,24.0,DEN,NBA,PG,61.0,61.0,34.8,6.1,12.6,0.488,1.2,3.3,0.365,4.9,9.3,0.531,0.535,2.9,3.5,0.8240000000000001,0.9,2.8,3.7,6.6,1.3,0.1,2.4,1.5,16.4,28.1,4.199999999999999,32.3
3,25.0,DEN,NBA,PG,73.0,71.0,34.4,6.1,13.3,0.461,1.2,3.2,0.366,5.0,10.1,0.491,0.505,3.2,4.3,0.7559999999999999,0.5,2.2,2.7,6.9,1.5,0.1,2.5,1.8,16.7,28.5,3.8000000000000003,32.3
4,26.0,DEN,NBA,PG,62.0,61.0,35.8,5.6,13.0,0.431,1.2,3.3,0.35600000000000004,4.4,9.7,0.455,0.475,5.2,6.5,0.7979999999999999,0.6,2.8,3.5,8.8,1.6,0.2,3.2,1.8,17.6,32.6,4.6000000000000005,37.2
5,27.0,DEN,NBA,PG,75.0,75.0,35.5,5.4,12.3,0.436,0.9,2.7,0.341,4.5,9.6,0.46299999999999997,0.474,3.5,4.8,0.73,0.6,2.6,3.1,9.6,1.2,0.1,2.5,1.7,15.2,32.5,3.9,36.4
6,28.0,TOT,NBA,PG,66.0,13.0,21.4,2.1,5.4,0.39299999999999996,0.5,1.6,0.33299999999999996,1.6,3.7,0.419,0.444,0.9,1.3,0.6859999999999999,0.4,1.4,1.8,3.6,0.8,0.1,1.4,1.3,5.7,11.9,2.3000000000000003,14.200000000000001
7,28.0,HOU,NBA,PG,53.0,12.0,22.2,2.1,5.4,0.387,0.6,1.8,0.33,1.5,3.6,0.415,0.441,1.1,1.5,0.7,0.4,1.3,1.7,3.4,0.8,0.1,1.5,1.3,5.8,11.5,2.2,13.7
8,28.0,IND,NBA,PG,13.0,1.0,18.1,2.2,5.2,0.418,0.4,1.1,0.35700000000000004,1.8,4.1,0.434,0.455,0.2,0.5,0.5,0.5,1.9,2.4,4.4,0.8,0.1,1.0,1.2,4.9,13.200000000000001,2.8000000000000003,16.0
9,29.0,SAC,NBA,PG,69.0,24.0,25.1,3.4,7.6,0.45399999999999996,0.5,1.7,0.28800000000000003,2.9,5.9,0.502,0.48700000000000004,2.5,3.1,0.797,0.6,2.0,2.6,4.8,1.1,0.1,1.9,1.7,9.9,18.200000000000003,3.2,21.400000000000002
10,,,NBA,,551.0,344.0,29.2,4.5,9.8,0.46,0.9,2.4,0.359,3.7,7.5,0.493,0.504,2.7,3.6,0.77,0.6,2.1,2.7,6.0,1.2,0.1,2.1,1.6,12.7,23.199999999999996,3.4,26.599999999999994
11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,DEN,NBA,,416.0,307.0,31.1,5.1,10.9,0.466,1.0,2.6,0.369,4.1,8.3,0.49700000000000005,0.51,3.1,4.0,0.7709999999999999,0.7,2.2,2.9,6.6,1.2,0.1,2.2,1.7,14.2,25.9,3.5000000000000004,29.4
13,,SAC,NBA,,69.0,24.0,25.1,3.4,7.6,0.45399999999999996,0.5,1.7,0.28800000000000003,2.9,5.9,0.502,0.48700000000000004,2.5,3.1,0.797,0.6,2.0,2.6,4.8,1.1,0.1,1.9,1.7,9.9,18.200000000000003,3.2,21.400000000000002
14,,HOU,NBA,,53.0,12.0,22.2,2.1,5.4,0.387,0.6,1.8,0.33,1.5,3.6,0.415,0.441,1.1,1.5,0.7,0.4,1.3,1.7,3.4,0.8,0.1,1.5,1.3,5.8,11.5,2.2,13.7
15,,IND,NBA,,13.0,1.0,18.1,2.2,5.2,0.418,0.4,1.1,0.35700000000000004,1.8,4.1,0.434,0.455,0.2,0.5,0.5,0.5,1.9,2.4,4.4,0.8,0.1,1.0,1.2,4.9,13.200000000000001,2.8000000000000003,16.0
