,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,24.0,TOT,NBA,C,31.0,6.0,12.6,1.2,2.7,0.45799999999999996,0.0,0.0,,1.2,2.7,0.45799999999999996,0.45799999999999996,0.7,1.0,0.6559999999999999,1.2,2.9,4.1,0.2,0.2,0.7,0.6,2.1,3.1,4.1000000000000005,3.8,7.9
1,24.0,GSW,NBA,C,4.0,0.0,1.5,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.3
2,24.0,PHI,NBA,C,11.0,0.0,13.6,1.4,2.6,0.517,0.0,0.0,,1.4,2.6,0.517,0.517,0.6,1.2,0.5379999999999999,1.0,3.5,4.5,0.3,0.0,0.8,0.8,2.5,3.4,4.2,4.3,8.5
3,24.0,ORL,NBA,C,16.0,6.0,14.6,1.4,3.3,0.434,0.0,0.0,,1.4,3.3,0.434,0.434,0.8,1.1,0.765,1.7,3.2,4.9,0.1,0.4,0.8,0.6,2.3,3.7,5.0,4.4,9.4
4,25.0,ORL,NBA,C,59.0,15.0,14.3,1.5,2.7,0.562,0.0,0.0,0.0,1.5,2.7,0.565,0.562,0.6,1.1,0.531,2.0,3.0,5.0,0.2,0.3,0.8,0.9,2.4,3.7,5.199999999999999,4.1,9.299999999999999
5,26.0,ORL,NBA,C,58.0,20.0,12.2,1.7,3.1,0.5589999999999999,0.0,0.0,,1.7,3.1,0.5589999999999999,0.5589999999999999,1.0,1.3,0.75,1.2,2.8,3.9,0.2,0.4,0.8,0.6,1.9,4.4,5.4,4.0,9.4
6,27.0,SAS,NBA,C,76.0,37.0,17.5,2.1,3.4,0.622,0.0,0.0,,2.1,3.4,0.622,0.622,0.9,1.2,0.6990000000000001,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1,7.2,6.1,13.3
7,,,NBA,,224.0,78.0,14.6,1.7,3.0,0.5710000000000001,0.0,0.0,0.0,1.7,3.0,0.5720000000000001,0.5710000000000001,0.8,1.2,0.6679999999999999,1.6,3.5,5.1,0.3,0.4,0.8,0.7,2.2,4.3,5.8,4.7,10.5
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,,ORL,NBA,,133.0,41.0,13.4,1.6,2.9,0.5429999999999999,0.0,0.0,0.0,1.6,2.9,0.545,0.5429999999999999,0.8,1.2,0.662,1.6,2.9,4.5,0.2,0.3,0.8,0.7,2.2,4.0,5.3,4.0,9.3
10,,SAS,NBA,,76.0,37.0,17.5,2.1,3.4,0.622,0.0,0.0,,2.1,3.4,0.622,0.622,0.9,1.2,0.6990000000000001,1.7,4.8,6.5,0.6,0.5,0.8,0.8,2.4,5.1,7.2,6.1,13.3
11,,PHI,NBA,,11.0,0.0,13.6,1.4,2.6,0.517,0.0,0.0,,1.4,2.6,0.517,0.517,0.6,1.2,0.5379999999999999,1.0,3.5,4.5,0.3,0.0,0.8,0.8,2.5,3.4,4.2,4.3,8.5
12,,GSW,NBA,,4.0,0.0,1.5,0.0,0.3,0.0,0.0,0.0,,0.0,0.3,0.0,0.0,0.3,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.0,0.3
