,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,25.0,MIA,NBA,PF,24.0,1.0,20.8,1.2,2.5,0.467,0.0,0.0,,1.2,2.5,0.467,0.467,1.2,2.0,0.5920000000000001,1.6,2.3,3.9,0.1,0.4,1.3,0.7,2.3,3.5,4.6,4.0,8.6
1,26.0,MIA,NBA,C,65.0,28.0,16.1,0.9,1.8,0.483,0.0,0.0,,0.9,1.8,0.483,0.483,0.5,0.7,0.652,1.4,1.7,3.0,0.4,0.3,1.4,0.6,2.1,2.2,3.8000000000000003,3.4,7.2
2,27.0,MIA,NBA,C,80.0,16.0,16.5,1.0,2.0,0.478,0.0,0.0,,1.0,2.0,0.478,0.478,0.8,1.2,0.7170000000000001,1.5,1.6,3.1,0.2,0.3,1.4,0.6,2.0,2.7,3.9999999999999996,3.3,7.299999999999999
3,28.0,MIA,NBA,C,75.0,11.0,19.5,0.7,1.3,0.535,0.0,0.0,,0.7,1.3,0.535,0.535,0.6,1.0,0.644,1.4,2.2,3.5,0.3,0.1,1.2,0.5,2.6,2.0,3.5,3.5,7.0
4,29.0,MIA,NBA,C,64.0,51.0,21.1,1.3,2.4,0.5589999999999999,0.0,0.0,,1.3,2.4,0.5589999999999999,0.5589999999999999,0.8,1.1,0.69,1.6,2.3,3.9,0.1,0.6,1.3,0.7,2.0,3.4,4.5,4.2,8.7
5,30.0,MIA,NBA,C,62.0,3.0,9.1,0.6,1.1,0.515,0.0,0.0,,0.6,1.1,0.515,0.515,0.3,0.5,0.607,0.7,1.1,1.9,0.2,0.2,0.7,0.4,0.8,1.4,2.1,2.0,4.1
6,31.0,TOT,NBA,C,33.0,0.0,5.6,0.4,1.0,0.375,0.0,0.0,,0.4,1.0,0.375,0.375,0.1,0.2,0.5,0.5,0.7,1.2,0.1,0.1,0.4,0.1,0.5,0.8,1.4,1.2,2.5999999999999996
7,31.0,MIA,NBA,C,12.0,0.0,3.1,0.2,0.5,0.33299999999999996,0.0,0.0,,0.2,0.5,0.33299999999999996,0.33299999999999996,0.2,0.2,1.0,0.2,0.4,0.6,0.0,0.0,0.3,0.1,0.3,0.5,0.6,0.7,1.2999999999999998
8,31.0,BOS,NBA,C,21.0,0.0,7.1,0.5,1.2,0.385,0.0,0.0,,0.5,1.2,0.385,0.385,0.1,0.3,0.33299999999999996,0.6,0.9,1.5,0.1,0.1,0.4,0.1,0.6,1.0,1.7,1.4,3.0999999999999996
9,32.0,DET,NBA,C,49.0,0.0,8.3,0.7,1.3,0.581,0.0,0.0,,0.7,1.3,0.581,0.581,0.3,0.4,0.682,0.7,1.2,1.9,0.1,0.2,1.0,0.2,1.1,1.8,2.5,2.4,4.9
10,33.0,DET,NBA,C,19.0,0.0,5.1,0.3,0.5,0.6,0.0,0.0,,0.3,0.5,0.6,0.6,0.3,0.4,0.75,0.4,0.7,1.1,0.1,0.1,0.6,0.1,0.8,0.9,1.4,1.4,2.8
11,34.0,SAS,NBA,C,19.0,0.0,6.4,0.5,0.8,0.625,0.0,0.0,,0.5,0.8,0.625,0.625,0.3,0.4,0.625,0.4,1.2,1.6,0.2,0.1,0.3,0.2,0.6,1.3,1.9000000000000001,1.6,3.5
12,,,NBA,,490.0,110.0,14.4,0.8,1.6,0.513,0.0,0.0,,0.8,1.6,0.513,0.513,0.5,0.8,0.662,1.1,1.6,2.8,0.2,0.3,1.1,0.5,1.7,2.2,3.2,3.0,6.2
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,MIA,NBA,,382.0,110.0,16.4,0.9,1.7,0.508,0.0,0.0,,0.9,1.7,0.508,0.508,0.6,0.9,0.665,1.3,1.8,3.1,0.2,0.3,1.2,0.5,1.9,2.4,3.5999999999999996,3.3,6.8999999999999995
15,,DET,NBA,,68.0,0.0,7.4,0.6,1.1,0.583,0.0,0.0,,0.6,1.1,0.583,0.583,0.3,0.4,0.7,0.6,1.1,1.7,0.1,0.2,0.9,0.2,1.0,1.5,2.0999999999999996,2.2,4.3
16,,BOS,NBA,,21.0,0.0,7.1,0.5,1.2,0.385,0.0,0.0,,0.5,1.2,0.385,0.385,0.1,0.3,0.33299999999999996,0.6,0.9,1.5,0.1,0.1,0.4,0.1,0.6,1.0,1.7,1.4,3.0999999999999996
17,,SAS,NBA,,19.0,0.0,6.4,0.5,0.8,0.625,0.0,0.0,,0.5,0.8,0.625,0.625,0.3,0.4,0.625,0.4,1.2,1.6,0.2,0.1,0.3,0.2,0.6,1.3,1.9000000000000001,1.6,3.5
