,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,POR,NBA,C,63.0,22.0,22.1,3.8,7.6,0.503,0.0,0.0,0.0,3.8,7.6,0.505,0.503,1.3,1.8,0.722,2.3,2.7,5.0,0.4,0.3,1.2,0.7,3.0,9.0,11.4,4.2,15.600000000000001
1,22.0,POR,NBA,PF,76.0,76.0,34.9,7.4,15.3,0.484,0.0,0.1,0.14300000000000002,7.4,15.2,0.486,0.484,3.0,3.9,0.762,2.9,4.7,7.6,1.6,0.7,1.2,1.7,3.2,17.8,22.2,6.6000000000000005,28.8
2,23.0,POR,NBA,PF,81.0,81.0,37.1,7.4,15.3,0.484,0.1,0.3,0.25,7.3,15.0,0.489,0.486,3.2,4.1,0.7809999999999999,2.9,4.6,7.5,1.9,1.0,1.0,1.5,2.6,18.1,23.3,6.6,29.9
3,24.0,POR,NBA,PF,78.0,78.0,37.5,7.4,15.0,0.495,0.1,0.2,0.313,7.4,14.8,0.498,0.49700000000000005,2.9,3.9,0.757,2.5,5.6,8.0,2.1,0.9,0.6,1.3,3.0,17.9,23.299999999999997,7.1,30.4
4,25.0,POR,NBA,PF,81.0,81.0,39.6,8.7,17.5,0.5,0.0,0.3,0.174,8.7,17.2,0.505,0.501,4.3,5.5,0.7909999999999999,3.4,5.3,8.8,2.1,1.0,1.2,1.9,2.7,21.8,27.5,7.5,35.0
5,26.0,POR,NBA,PF,55.0,55.0,36.3,8.8,17.1,0.512,0.0,0.2,0.182,8.7,16.9,0.516,0.513,4.1,5.0,0.8140000000000001,2.7,5.3,8.0,2.4,0.9,0.8,2.0,2.8,21.7,27.2,7.0,34.2
6,27.0,POR,NBA,PF,74.0,74.0,37.7,8.6,17.8,0.484,0.0,0.2,0.14300000000000002,8.6,17.6,0.488,0.485,3.8,4.7,0.81,2.4,6.7,9.1,2.6,0.8,1.2,1.9,2.5,21.1,26.800000000000004,8.7,35.5
7,28.0,POR,NBA,PF,69.0,69.0,36.2,9.4,20.6,0.45799999999999996,0.0,0.2,0.2,9.4,20.4,0.461,0.45899999999999996,4.3,5.2,0.8220000000000001,2.4,8.7,11.1,2.6,0.9,1.0,1.8,2.1,23.2,28.999999999999996,10.6,39.599999999999994
8,29.0,POR,NBA,PF,71.0,71.0,35.4,9.3,19.9,0.466,0.5,1.5,0.35200000000000004,8.8,18.5,0.475,0.479,4.3,5.1,0.845,2.5,7.7,10.2,1.7,0.7,1.0,1.7,1.8,23.4,27.599999999999998,9.4,37.0
9,30.0,SAS,NBA,PF,74.0,74.0,30.6,7.2,14.1,0.513,0.0,0.2,0.0,7.2,13.9,0.521,0.513,3.5,4.1,0.858,2.4,6.2,8.5,1.5,0.5,1.1,1.3,2.0,18.0,22.099999999999998,7.800000000000001,29.9
10,31.0,SAS,NBA,PF,72.0,72.0,32.4,6.9,14.6,0.47700000000000004,0.3,0.8,0.41100000000000003,6.6,13.8,0.48,0.488,3.1,3.8,0.812,2.4,4.9,7.3,1.9,0.6,1.2,1.4,2.2,17.3,22.1,6.7,28.8
11,,,NBA,,794.0,753.0,34.7,7.8,15.9,0.486,0.1,0.4,0.287,7.6,15.6,0.491,0.49,3.4,4.3,0.802,2.6,5.7,8.3,1.9,0.8,1.0,1.6,2.5,19.1,23.9,7.5,31.4
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,POR,NBA,,648.0,607.0,35.5,7.9,16.3,0.485,0.1,0.3,0.276,7.8,16.0,0.489,0.488,3.5,4.4,0.7959999999999999,2.7,5.7,8.4,1.9,0.8,1.0,1.6,2.6,19.4,24.299999999999997,7.5,31.799999999999997
14,,SAS,NBA,,146.0,146.0,31.5,7.1,14.3,0.495,0.2,0.5,0.319,6.9,13.8,0.501,0.5,3.3,3.9,0.836,2.4,5.5,7.9,1.7,0.6,1.2,1.3,2.1,17.6,22.1,7.3,29.400000000000002
