,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,19.0,SAS,NBA,PG,77,72,29.4,3.5,8.3,0.419,0.8,2.5,0.32299999999999995,2.7,5.8,0.46,0.467,1.4,2.1,0.675,0.4,2.1,2.6,4.3,1.2,0.1,2.0,2.2,9.2,16.2,3.4,19.599999999999998
1,20.0,SAS,NBA,PG,82,82,33.8,5.9,12.7,0.46399999999999997,1.0,3.0,0.337,4.9,9.8,0.503,0.503,2.7,3.5,0.755,0.4,2.2,2.6,5.3,0.9,0.0,2.4,2.1,15.5,24.1,3.1,27.200000000000003
2,21.0,SAS,NBA,PG,75,75,34.4,5.6,12.6,0.447,0.8,2.7,0.312,4.8,10.0,0.483,0.48,2.5,3.6,0.7020000000000001,0.6,2.6,3.2,5.5,0.8,0.1,2.4,2.0,14.7,23.9,3.5000000000000004,27.4
3,22.0,SAS,NBA,PG,80,80,34.2,6.7,14.0,0.48200000000000004,0.5,2.0,0.276,6.2,12.0,0.516,0.501,2.6,4.0,0.65,0.6,3.1,3.7,6.1,1.2,0.1,2.7,2.1,16.6,26.7,4.3999999999999995,31.099999999999998
4,23.0,SAS,NBA,PG,80,80,33.9,7.8,14.2,0.5479999999999999,0.1,0.5,0.306,7.7,13.8,0.556,0.5529999999999999,3.2,4.5,0.7070000000000001,0.5,2.8,3.3,5.8,1.0,0.1,3.1,2.0,18.9,27.9,3.9,31.799999999999997
5,24.0,SAS,NBA,PG,77,77,32.5,7.4,14.2,0.52,0.2,0.5,0.395,7.2,13.7,0.525,0.527,3.6,4.5,0.7829999999999999,0.4,2.8,3.2,5.5,1.1,0.1,2.5,1.8,18.6,27.5,4.0,31.5
6,25.0,SAS,NBA,PG,69,68,33.5,7.5,15.1,0.494,0.2,1.0,0.258,7.2,14.2,0.51,0.502,3.6,5.0,0.715,0.4,2.8,3.2,6.0,0.8,0.1,2.4,1.3,18.8,28.800000000000004,3.6999999999999997,32.50000000000001
7,26.0,SAS,NBA,PG,72,71,34.1,8.9,17.5,0.506,0.3,0.9,0.292,8.6,16.6,0.518,0.513,3.9,5.0,0.782,0.4,2.7,3.1,6.9,0.9,0.1,2.6,1.5,22.0,33.6,3.7,37.300000000000004
8,27.0,SAS,NBA,PG,56,50,30.9,6.2,12.8,0.48700000000000004,0.2,0.6,0.294,6.1,12.2,0.49700000000000005,0.494,3.3,4.4,0.7559999999999999,0.1,2.3,2.4,5.7,0.5,0.1,2.7,1.7,16.0,24.8,2.9,27.7
9,28.0,SAS,NBA,PG,78,78,32.4,7.1,13.7,0.519,0.3,0.9,0.35700000000000004,6.8,12.8,0.531,0.531,3.0,3.9,0.769,0.4,2.7,3.1,6.6,1.2,0.0,2.6,1.7,17.5,28.5,3.9000000000000004,32.4
10,29.0,SAS,NBA,PG,60,60,32.1,7.1,14.8,0.48,0.2,1.0,0.23,6.9,13.8,0.498,0.488,3.8,4.7,0.799,0.4,2.5,2.9,7.7,1.0,0.1,2.6,1.3,18.3,31.5,3.6,35.1
11,30.0,SAS,NBA,PG,66,66,32.9,7.9,15.1,0.522,0.4,1.0,0.353,7.5,14.0,0.534,0.534,4.2,5.0,0.845,0.3,2.7,3.0,7.6,0.8,0.1,2.6,1.4,20.3,33.199999999999996,3.6,36.8
12,31.0,SAS,NBA,PG,68,68,29.4,6.7,13.4,0.499,0.4,1.0,0.373,6.3,12.5,0.509,0.513,2.9,3.6,0.8109999999999999,0.3,2.0,2.3,5.7,0.5,0.1,2.2,1.3,16.7,26.2,2.6,28.8
13,32.0,SAS,NBA,PG,68,68,28.7,5.9,12.2,0.486,0.6,1.3,0.42700000000000005,5.4,10.9,0.493,0.508,1.9,2.4,0.7829999999999999,0.2,1.7,1.9,4.9,0.6,0.0,2.1,1.6,14.4,22.299999999999997,2.3,24.599999999999998
14,33.0,SAS,NBA,PG,72,72,27.5,4.9,9.9,0.493,0.4,0.9,0.415,4.5,9.0,0.501,0.512,1.8,2.4,0.76,0.2,2.2,2.4,5.3,0.8,0.2,1.8,1.6,11.9,20.9,3.2,24.099999999999998
15,34.0,SAS,NBA,PG,63,63,25.2,4.2,9.0,0.466,0.4,1.1,0.33299999999999996,3.8,7.9,0.484,0.486,1.3,1.9,0.726,0.1,1.7,1.8,4.5,0.5,0.0,1.4,1.5,10.1,17.8,2.2,20.0
16,,,NBA,,1143,1130,31.7,6.5,13.1,0.493,0.4,1.3,0.327,6.0,11.8,0.512,0.51,2.8,3.8,0.753,0.4,2.4,2.8,5.8,0.9,0.1,2.4,1.7,16.2,25.8,3.4,29.2
