,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,21.0,ATL,NBA,SG,76.0,37.0,25.3,1.8,4.1,0.447,0.1,0.3,0.231,1.8,3.8,0.467,0.457,0.7,1.2,0.602,1.5,3.0,4.5,2.4,0.8,0.5,1.7,2.5,4.5,9.100000000000001,4.3,13.400000000000002
1,22.0,ATL,NBA,SG,66.0,25.0,18.2,1.9,4.5,0.42200000000000004,0.1,0.8,0.18,1.7,3.7,0.47100000000000003,0.43700000000000006,0.9,1.2,0.74,0.8,1.8,2.6,2.3,0.6,0.3,1.3,1.9,4.8,8.899999999999999,2.6999999999999997,11.599999999999998
2,23.0,PHO,NBA,PF,81.0,70.0,35.5,5.5,10.5,0.526,0.1,0.4,0.267,5.4,10.2,0.536,0.531,2.1,2.9,0.731,2.0,4.9,6.9,6.2,0.7,1.0,2.3,3.2,13.3,25.400000000000002,6.6000000000000005,32.0
3,24.0,PHO,NBA,PF,73.0,59.0,31.1,4.2,7.8,0.5379999999999999,0.2,0.6,0.33299999999999996,4.0,7.2,0.555,0.551,1.1,1.6,0.6829999999999999,1.2,3.1,4.3,4.8,0.4,0.5,2.1,2.4,9.7,18.4,4.0,22.4
4,25.0,PHO,NBA,PF,82.0,19.0,28.1,3.8,7.9,0.47700000000000004,0.2,0.5,0.317,3.6,7.4,0.488,0.48700000000000004,1.2,1.6,0.7440000000000001,1.2,3.4,4.6,3.9,0.7,0.5,1.9,2.0,8.8,15.9,4.6,20.5
5,26.0,TOT,NBA,PF,81.0,59.0,34.0,5.5,10.9,0.507,0.9,2.2,0.414,4.6,8.7,0.531,0.5489999999999999,1.2,1.8,0.687,1.5,3.9,5.3,4.1,0.8,0.7,2.7,2.5,13.2,20.2,5.4,25.6
6,26.0,PHO,NBA,PF,22.0,0.0,24.5,3.6,6.4,0.5670000000000001,0.2,0.6,0.35700000000000004,3.4,5.8,0.591,0.585,0.8,1.2,0.6920000000000001,1.1,2.7,3.8,2.1,0.5,0.4,1.7,1.8,8.3,11.900000000000002,3.6,15.500000000000002
7,26.0,CHA,NBA,PF,59.0,59.0,37.6,6.2,12.6,0.495,1.2,2.8,0.419,5.1,9.8,0.517,0.542,1.4,2.1,0.6859999999999999,1.6,4.3,5.9,4.9,0.8,0.7,3.0,2.8,15.1,23.5,5.8,29.3
8,27.0,CHA,NBA,PF,82.0,82.0,35.4,4.5,9.4,0.483,0.8,2.5,0.32,3.7,6.9,0.541,0.525,1.4,1.8,0.769,1.6,3.6,5.2,4.0,0.7,0.7,2.2,2.7,11.3,18.7,5.0,23.7
9,28.0,CHA,NBA,PF,82.0,82.0,33.9,4.6,9.4,0.49200000000000005,1.0,2.8,0.345,3.7,6.7,0.5529999999999999,0.5429999999999999,1.0,1.5,0.6829999999999999,1.3,3.8,5.0,4.1,0.9,0.6,2.0,2.3,11.3,18.8,5.3,24.1
10,29.0,TOT,NBA,PF,57.0,35.0,25.0,2.7,6.2,0.444,0.5,1.7,0.313,2.2,4.4,0.496,0.489,0.4,0.6,0.629,1.2,3.7,4.9,3.6,0.6,0.4,2.0,2.2,6.4,12.8,4.7,17.5
11,29.0,CHA,NBA,PF,37.0,28.0,27.5,3.1,7.6,0.41,0.6,2.3,0.267,2.5,5.3,0.47200000000000003,0.451,0.5,0.7,0.63,1.3,4.0,5.3,4.3,0.5,0.5,2.3,1.9,7.4,15.0,5.0,20.0
12,29.0,SAS,NBA,PF,20.0,7.0,20.3,2.0,3.4,0.588,0.4,0.7,0.615,1.6,2.8,0.5820000000000001,0.647,0.3,0.4,0.625,1.2,3.1,4.3,2.4,0.7,0.3,1.4,2.7,4.7,9.299999999999999,4.1,13.399999999999999
13,30.0,SAS,NBA,PF,75.0,20.0,22.8,2.4,4.4,0.539,0.4,1.0,0.385,2.0,3.4,0.5870000000000001,0.584,0.6,0.9,0.723,0.9,2.5,3.4,2.4,0.7,0.4,1.1,1.9,5.8,10.4,3.6,14.0
14,31.0,SAS,NBA,PF,79.0,24.0,25.0,3.8,7.3,0.521,0.6,1.4,0.402,3.3,5.9,0.5489999999999999,0.5589999999999999,0.9,1.2,0.7390000000000001,0.9,3.2,4.1,2.8,0.6,0.4,1.5,1.8,9.1,14.1,4.2,18.3
15,32.0,SAS,NBA,PF,81.0,15.0,24.5,3.6,7.8,0.46,0.7,2.1,0.32,2.9,5.7,0.512,0.503,0.9,1.1,0.774,1.0,3.3,4.3,2.9,0.4,0.3,1.6,1.8,8.7,13.9,3.9999999999999996,17.9
16,33.0,SAS,NBA,PF,76.0,4.0,18.2,2.7,5.0,0.527,0.3,0.9,0.36200000000000004,2.3,4.1,0.564,0.56,0.7,1.0,0.737,0.8,2.3,3.1,2.3,0.3,0.3,1.3,1.3,6.4,10.5,2.8999999999999995,13.399999999999999
17,34.0,UTA,NBA,PF,73.0,33.0,17.6,2.0,4.5,0.446,0.3,1.1,0.247,1.7,3.4,0.512,0.47700000000000004,0.4,0.5,0.743,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6,8.6,1.8,10.4
18,,,NBA,,1064.0,564.0,27.0,3.6,7.2,0.493,0.4,1.3,0.336,3.1,5.9,0.529,0.524,1.0,1.4,0.7170000000000001,1.2,3.2,4.4,3.5,0.6,0.5,1.8,2.1,8.6,14.999999999999996,4.300000000000001,19.299999999999997
19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,SAS,NBA,,331.0,70.0,22.5,3.1,6.0,0.508,0.5,1.3,0.36700000000000005,2.6,4.7,0.5479999999999999,0.5489999999999999,0.7,1.0,0.743,0.9,2.9,3.8,2.6,0.5,0.3,1.4,1.8,7.4,12.1,3.6999999999999997,15.799999999999999
21,,CHA,NBA,,260.0,251.0,34.3,4.8,9.9,0.48100000000000004,0.9,2.6,0.34600000000000003,3.9,7.3,0.53,0.527,1.1,1.6,0.711,1.5,3.9,5.3,4.3,0.8,0.6,2.3,2.5,11.6,19.4,5.3,24.7
22,,PHO,NBA,,258.0,148.0,31.0,4.4,8.6,0.517,0.2,0.5,0.315,4.3,8.1,0.53,0.527,1.4,2.0,0.721,1.4,3.7,5.2,4.7,0.6,0.7,2.1,2.5,10.5,19.2,5.0,24.2
23,,ATL,NBA,,142.0,62.0,22.0,1.9,4.3,0.435,0.1,0.5,0.19699999999999998,1.8,3.7,0.469,0.447,0.8,1.2,0.665,1.2,2.4,3.6,2.3,0.7,0.4,1.5,2.2,4.6,8.899999999999999,3.4999999999999996,12.399999999999999
24,,UTA,NBA,,73.0,33.0,17.6,2.0,4.5,0.446,0.3,1.1,0.247,1.7,3.4,0.512,0.47700000000000004,0.4,0.5,0.743,0.6,1.5,2.2,2.3,0.2,0.1,1.2,1.1,4.6,8.6,1.8,10.4
