,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,22.0,SAS,NBA,PG,77.0,7.0,16.5,1.9,4.8,0.40299999999999997,0.3,0.9,0.32899999999999996,1.6,3.9,0.42100000000000004,0.435,1.5,1.9,0.7809999999999999,0.4,1.7,2.1,1.8,0.6,0.3,1.0,1.9,5.7,8.7,2.5999999999999996,11.299999999999999
1,23.0,SAS,NBA,PG,78.0,43.0,29.2,4.5,9.5,0.478,1.0,2.4,0.39899999999999997,3.6,7.1,0.505,0.529,2.3,3.0,0.772,0.5,2.1,2.6,2.9,0.9,0.3,1.3,2.8,12.4,17.4,3.3,20.7
2,24.0,SAS,NBA,PG,76.0,5.0,28.3,3.8,8.3,0.45299999999999996,1.0,2.7,0.377,2.8,5.6,0.49,0.514,3.1,3.6,0.863,0.3,2.3,2.6,2.5,0.9,0.3,1.3,2.0,11.6,15.599999999999998,3.4999999999999996,19.099999999999998
3,25.0,IND,NBA,PG,50.0,9.0,25.5,3.4,7.6,0.442,1.1,2.9,0.36700000000000005,2.3,4.7,0.489,0.513,1.8,2.3,0.778,0.6,2.4,3.0,2.9,0.8,0.3,1.0,2.0,9.6,15.0,3.5,18.5
4,26.0,IND,NBA,PG,76.0,76.0,34.5,5.1,11.5,0.44299999999999995,1.7,4.6,0.368,3.4,6.8,0.494,0.518,2.3,2.8,0.8170000000000001,0.6,3.1,3.7,4.7,1.1,0.3,1.5,1.8,14.2,22.7,4.5,27.2
5,27.0,IND,NBA,PG,76.0,76.0,32.0,3.6,8.1,0.442,1.3,3.4,0.365,2.3,4.7,0.49700000000000005,0.519,1.9,2.3,0.807,0.7,3.0,3.7,3.5,1.0,0.3,1.2,2.1,10.3,16.8,4.3,21.1
6,28.0,IND,NBA,PG,43.0,36.0,29.5,5.9,12.4,0.47700000000000004,1.6,4.5,0.358,4.3,8.0,0.544,0.541,2.6,3.3,0.79,0.6,3.6,4.2,5.1,1.0,0.3,1.6,2.6,16.1,25.299999999999997,4.8999999999999995,30.199999999999996
7,29.0,IND,NBA,PG,74.0,73.0,34.1,4.4,10.0,0.441,1.7,4.2,0.408,2.7,5.7,0.466,0.528,1.5,2.0,0.76,0.8,3.2,4.0,3.5,1.1,0.2,1.4,2.0,12.1,18.5,4.500000000000001,23.0
8,30.0,UTA,NBA,PG,49.0,49.0,31.5,5.9,12.4,0.47700000000000004,1.9,4.8,0.40299999999999997,4.0,7.6,0.523,0.5539999999999999,3.2,4.0,0.8009999999999999,0.5,2.9,3.4,4.2,1.0,0.2,1.7,2.3,16.9,24.099999999999998,4.1,28.199999999999996
9,,,NBA,,599.0,374.0,29.0,4.2,9.2,0.45299999999999996,1.2,3.3,0.38,2.9,5.9,0.494,0.521,2.2,2.8,0.802,0.6,2.7,3.2,3.3,0.9,0.3,1.3,2.2,11.8,17.7,3.9,21.599999999999998
10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,IND,NBA,,319.0,270.0,31.7,4.4,9.8,0.44799999999999995,1.5,4.0,0.376,2.9,5.9,0.49700000000000005,0.524,2.0,2.5,0.7929999999999999,0.7,3.1,3.7,3.9,1.0,0.3,1.3,2.0,12.3,19.5,4.3999999999999995,23.9
12,,SAS,NBA,,231.0,55.0,24.6,3.4,7.5,0.45299999999999996,0.8,2.0,0.37799999999999995,2.7,5.5,0.48,0.504,2.3,2.8,0.812,0.4,2.0,2.4,2.4,0.8,0.3,1.2,2.3,9.9,13.900000000000002,3.0999999999999996,17.0
13,,UTA,NBA,,49.0,49.0,31.5,5.9,12.4,0.47700000000000004,1.9,4.8,0.40299999999999997,4.0,7.6,0.523,0.5539999999999999,3.2,4.0,0.8009999999999999,0.5,2.9,3.4,4.2,1.0,0.2,1.7,2.3,16.9,24.099999999999998,4.1,28.199999999999996
