,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,OFF,DEF,TOT
0,20.0,TOT,NBA,SG,77.0,60.0,24.9,3.3,7.6,0.43,0.5,1.7,0.292,2.8,5.9,0.469,0.462,0.5,0.7,0.774,1.0,2.4,3.3,2.3,0.8,0.3,0.9,1.5,7.5,12.2,3.5,15.7
1,20.0,BOS,NBA,SG,48.0,33.0,20.9,2.7,6.2,0.439,0.5,1.8,0.273,2.2,4.3,0.51,0.48,0.4,0.5,0.769,0.8,2.1,2.9,1.5,0.7,0.2,0.6,1.2,6.3,9.5,3.0,12.5
2,20.0,PHO,NBA,SG,29.0,27.0,31.5,4.2,9.9,0.42,0.5,1.4,0.33299999999999996,3.7,8.5,0.435,0.444,0.7,0.9,0.778,1.2,2.9,4.1,3.6,0.9,0.4,1.5,1.9,9.6,16.5,4.2,20.7
3,21.0,PHO,NBA,SG,82.0,34.0,27.5,3.9,9.7,0.397,0.9,2.5,0.366,2.9,7.2,0.408,0.444,1.2,1.5,0.774,0.7,2.5,3.2,2.6,0.8,0.2,1.3,1.7,9.8,14.4,3.5,17.9
4,22.0,PHO,NBA,SG,82.0,77.0,40.6,6.8,15.7,0.43,1.0,3.3,0.305,5.8,12.4,0.46299999999999997,0.462,2.1,2.8,0.75,1.0,3.7,4.7,4.4,1.1,0.3,2.4,2.2,16.7,24.1,5.1000000000000005,29.200000000000003
5,23.0,PHO,NBA,SF,82.0,82.0,39.5,6.6,14.4,0.461,2.2,4.5,0.478,4.5,9.9,0.45399999999999996,0.536,1.6,2.2,0.75,1.5,3.7,5.1,3.5,1.0,0.3,1.8,2.0,17.1,23.8,5.0,28.8
6,24.0,ATL,NBA,SG,82.0,82.0,40.7,7.7,17.0,0.45299999999999996,1.6,4.4,0.35600000000000004,6.1,12.6,0.48700000000000004,0.499,3.2,4.0,0.7909999999999999,1.2,2.9,4.1,6.5,1.3,0.4,3.3,2.3,20.2,31.099999999999998,4.6000000000000005,35.699999999999996
7,25.0,ATL,NBA,SG,57.0,57.0,41.4,9.4,20.0,0.47100000000000003,2.1,5.5,0.381,7.3,14.5,0.504,0.523,4.1,5.5,0.748,0.9,3.3,4.2,4.4,1.1,0.2,3.1,2.0,25.0,31.6,4.6000000000000005,36.2
8,26.0,ATL,NBA,SG,82.0,82.0,40.8,7.9,18.3,0.43200000000000005,2.1,5.4,0.381,5.8,12.8,0.45399999999999996,0.489,3.9,4.6,0.8340000000000001,1.0,3.5,4.5,5.8,1.0,0.2,2.7,2.0,21.7,31.599999999999998,4.7,36.3
9,27.0,ATL,NBA,SG,79.0,79.0,39.5,7.8,18.0,0.43700000000000006,1.9,5.2,0.36,6.0,12.7,0.46799999999999997,0.489,3.8,4.6,0.826,0.8,3.6,4.4,5.8,1.1,0.2,2.5,2.2,21.4,31.299999999999997,4.9,36.199999999999996
10,28.0,ATL,NBA,SG,76.0,76.0,38.0,8.4,18.2,0.45799999999999996,1.7,4.6,0.369,6.7,13.6,0.488,0.505,2.9,3.5,0.818,1.0,3.7,4.6,4.9,1.1,0.1,1.9,1.9,21.3,30.200000000000003,4.9,35.1
11,29.0,ATL,NBA,SG,72.0,72.0,35.5,7.1,16.1,0.44299999999999995,1.2,4.2,0.297,5.9,12.0,0.494,0.48100000000000004,2.7,3.4,0.802,0.8,3.2,4.0,4.7,0.7,0.1,2.0,1.8,18.2,26.4,4.0,30.4
12,30.0,ATL,NBA,SG,60.0,60.0,35.5,7.1,15.5,0.45399999999999996,2.1,5.4,0.38799999999999996,5.0,10.2,0.489,0.521,2.6,3.1,0.8490000000000001,0.9,2.8,3.7,3.9,0.8,0.2,1.9,1.3,18.8,25.6,3.8,29.400000000000002
13,31.0,BRK,NBA,SG,72.0,72.0,36.7,6.2,14.6,0.423,2.1,5.5,0.375,4.1,9.1,0.452,0.493,1.8,2.2,0.82,0.7,2.3,3.0,3.5,0.7,0.2,1.7,1.4,16.3,22.3,3.2,25.5
