,PLAYER,TEAM,GP,MPG,PTS,FGM,FGA,FG%,RPG,APG,SPG,BPG,VALUE
526,"Mitchell, Donovan",UTA,2.0,33.0,28.0,18.0,50.0,36.0,2.5,1.5,6.0,0.0,38.0
492,"Forbes, Bryn",SAS,3.0,30.7,29.3,26.0,59.0,44.1,3.3,3.7,1.3,0.0,37.6
364,"Ingram, Brandon",LAL,1.0,32.0,26.0,9.0,17.0,52.9,1.0,3.0,3.0,2.0,35.0
340,"Williams, Troy",HOU,3.0,26.3,25.7,22.0,47.0,46.8,4.0,0.7,1.7,0.7,32.800000000000004
145,"Tatum, Jayson",BOS,3.0,33.0,18.7,22.0,47.0,46.8,9.7,2.0,2.3,0.0,32.699999999999996
258,"Diallo, Cheick",NOP,3.0,29.7,19.7,23.0,45.0,51.1,9.3,0.3,1.0,1.7,32.0
545,"Selden, Wayne",MEM,3.0,31.3,22.0,21.0,47.0,44.7,4.7,2.7,2.3,0.3,32.0
182,"Exum, Dante",UTA,3.0,27.3,20.0,22.0,42.0,52.4,4.3,6.3,0.3,1.0,31.900000000000002
289,"Smith Jr., Dennis",DAL,3.0,27.7,18.3,17.0,36.0,47.2,6.0,5.0,2.3,0.3,31.900000000000002
106,"Graham, Treveon",CHA,3.0,29.3,17.7,18.0,38.0,47.4,8.3,2.7,2.3,0.0,31.0
365,"Kuzma, Kyle",LAL,2.0,30.0,20.0,15.0,34.0,44.1,6.5,2.5,1.0,1.0,31.0
293,"Beasley, Malik",DEN,3.0,31.3,22.7,27.0,65.0,41.5,4.7,1.7,1.0,0.7,30.799999999999997
448,"Chriss, Marquese",PHX,3.0,32.0,19.0,14.0,41.0,34.1,8.7,1.0,1.0,1.0,30.7
24,"White, Okaro",MIA,4.0,34.5,19.0,23.0,61.0,37.7,8.0,1.8,0.3,1.5,30.6
137,"Brown, Jaylen",BOS,2.0,28.5,17.5,12.0,22.0,54.5,10.5,1.0,1.0,0.5,30.5
13,"Adebayo, Bam",MIA,4.0,30.8,17.5,19.0,54.0,35.2,8.3,1.3,1.0,2.3,30.400000000000002
209,"Bembry, DeAndre'",ATL,3.0,25.3,18.3,20.0,35.0,57.1,4.7,4.0,3.3,0.0,30.3
344,"Harrell, Montrezl",LAC,1.0,27.0,21.0,10.0,13.0,76.9,3.0,1.0,2.0,3.0,30.0
472,"Swanigan, Caleb",POR,3.0,30.3,15.7,16.0,38.0,42.1,11.0,1.0,1.3,0.7,29.7
452,"Jackson, Josh",PHX,3.0,35.3,17.7,19.0,52.0,36.5,7.7,2.0,1.0,1.0,29.4
254,"Cook, Quinn",NOP,3.0,30.0,20.3,26.0,45.0,57.8,3.7,3.3,2.0,0.0,29.3
3,"Buycks, Dwight",DAL,5.0,31.2,17.8,34.0,74.0,45.9,4.4,4.2,2.8,0.0,29.200000000000003
298,"Hernangomez, Juan",DEN,3.0,30.3,16.3,15.0,40.0,37.5,7.3,2.7,1.7,0.7,28.7
212,"Collins, John",ATL,3.0,24.7,15.0,18.0,30.0,60.0,10.7,1.3,1.0,0.7,28.7
398,"Vaughn, Rashad",MIL,3.0,28.0,21.3,25.0,39.0,64.1,4.0,1.7,1.0,0.7,28.7
453,"James, Mike",PHX,3.0,32.3,16.0,15.0,32.0,46.9,5.7,4.7,2.3,0.0,28.7
154,"Fultz, Markelle",PHI,2.0,24.5,20.0,15.0,32.0,46.9,3.5,3.0,0.5,1.5,28.5
516,"Siakam, Pascal",TOR,3.0,28.0,18.3,22.0,39.0,56.4,5.0,2.0,1.0,1.7,28.0
404,"Costello, Matt",MIN,3.0,25.7,10.3,12.0,23.0,52.2,12.3,2.3,1.7,1.3,27.900000000000002
371,"Adebayo, Bam",MIA,3.0,29.0,15.7,13.0,30.0,43.3,8.7,1.3,1.7,0.3,27.7
