,Pk,Tm,Player,College,Yrs,G,MP,PTS,TRB,AST,FG_Perc,3P_Perc,FT_Perc,MP/GAME,PTS/GAME,TRB/GAME,AST/GAME,WS,WS/48,BPM,VORP,OFF/GAME
14,15,MIL,Giannis Antetokounmpo,,4,318,10106,4737,2193,1136,.497,.277,.740,31.8,14.9,6.9,3.6,27.0,.128,2.6,11.7,25.4
1,2,ORL,Victor Oladipo,Indiana University,4,291,9661,4618,1267,1080,.434,.346,.800,33.2,15.9,4.4,3.7,13.7,.068,-0.1,4.7,24.0
10,11,PHI,Michael Carter-Williams,Syracuse University,4,235,7058,3053,1219,1277,.407,.252,.696,30.0,13.0,5.2,5.4,3.5,.024,-0.8,2.2,23.599999999999998
9,10,POR,C.J. McCollum,Lehigh University,4,260,7025,4128,687,717,.459,.413,.844,27.0,15.9,2.6,2.8,15.7,.107,0.2,3.9,21.3
26,27,DEN,Rudy Gobert,,4,269,7268,2484,2633,304,.611,.000,.614,27.0,9.2,9.8,1.1,30.4,.201,4.6,12.2,20.1
5,6,NOH,Nerlens Noel,University of Kentucky,3,193,5323,1936,1447,300,.511,.333,.618,27.6,10.0,7.5,1.6,11.0,.099,1.2,4.3,19.1
16,17,ATL,Dennis Schroder,,4,285,6263,3244,676,1258,.433,.331,.818,22.0,11.4,2.4,4.4,7.6,.059,-2.1,-0.1,18.2
20,21,UTA,Gorgui Dieng,University of Louisville,4,297,7884,2639,2141,486,.511,.343,.786,26.5,8.9,7.2,1.6,18.7,.114,2.0,8.0,17.7
21,22,BRK,Mason Plumlee,Duke University,4,315,7250,2828,2053,644,.559,.000,.582,23.0,9.0,6.5,2.0,21.6,.143,2.2,7.7,17.5
8,9,MIN,Trey Burke,University of Michigan,4,267,6619,2832,571,972,.390,.337,.813,24.8,10.6,2.1,3.6,5.9,.043,-2.5,-0.9,16.3
7,8,DET,Kentavious Caldwell-Pope,University of Georgia,4,314,9488,3665,941,495,.405,.334,.785,30.2,11.7,3.0,1.6,14.5,.073,-0.1,4.6,16.299999999999997
12,13,DAL,Kelly Olynyk,Gonzaga University,4,278,5756,2628,1310,471,.477,.368,.743,20.7,9.5,4.7,1.7,14.7,.122,1.1,4.5,15.899999999999999
3,4,CHA,Cody Zeller,Indiana University,4,279,6402,2239,1575,362,.500,.154,.734,22.9,8.0,5.6,1.3,18.4,.138,0.6,4.2,14.9
2,3,WAS,Otto Porter,Georgetown University,4,266,6632,2469,1183,316,.481,.389,.774,24.9,9.3,4.4,1.2,17.7,.128,1.7,6.2,14.9
11,12,OKC,Steven Adams,University of Pittsburgh,4,311,7371,2343,2001,257,.568,.000,.571,23.7,7.5,6.4,0.8,19.9,.130,0.9,5.3,14.700000000000001
23,24,NYK,Tim Hardaway,University of Michigan,4,281,6574,3097,587,426,.427,.352,.803,23.4,11.0,2.1,1.5,10.6,.077,-2.1,-0.1,14.6
4,5,PHO,Alex Len,University of Maryland,4,266,5261,1834,1657,177,.465,.227,.716,19.8,6.9,6.2,0.7,7.9,.072,-2.5,-0.6,13.8
13,14,UTA,Shabazz Muhammad,"University of California, Los Angeles",4,235,4354,2290,694,137,.476,.323,.749,18.5,9.7,3.0,0.6,7.7,.085,-3.9,-2.1,13.299999999999999
6,7,SAC,Ben McLemore,University of Kansas,4,293,7476,2742,753,352,.417,.352,.780,25.5,9.4,2.6,1.2,3.9,.025,-2.6,-1.2,13.2
35,34,HOU,Isaiah Canaan,Murray State University,4,185,3748,1560,335,294,.368,.352,.828,20.3,8.4,1.8,1.6,3.5,.045,-2.8,-0.7,11.8
32,31,CLE,Allen Crabbe,University of California,4,226,5142,1878,524,238,.456,.411,.848,22.8,8.3,2.3,1.1,9.8,.091,-0.9,1.5,11.7
22,23,IND,Solomon Hill,University of Arizona,4,249,5847,1585,828,394,.400,.336,.822,23.5,6.4,3.3,1.6,8.7,.072,-0.4,2.4,11.3
56,55,MEM,Joffrey Lauvergne,,3,153,2289,933,618,139,.471,.293,.741,15.0,6.1,4.0,0.9,3.9,.081,-2.8,-0.5,11.0
17,18,ATL,Shane Larkin,University of Miami,3,202,4105,1168,398,639,.430,.328,.762,20.3,5.8,2.0,3.2,3.0,.035,-2.6,-0.6,11.0
39,38,WAS,Nate Wolters,South Dakota State University,2,79,1556,459,183,208,.426,.261,.635,19.7,5.8,2.3,2.6,1.0,.030,-3.9,-0.7,10.7
37,36,SAC,Ray McCallum,University of Detroit Mercy,3,154,2808,920,306,368,.408,.335,.711,18.2,6.0,2.0,2.4,2.1,.035,-2.8,-0.6,10.4
49,48,LAL,Ryan Kelly,Duke University,4,163,3125,981,504,215,.378,.316,.797,19.2,6.0,3.1,1.3,3.0,.046,-2.2,-0.2,10.4
51,50,ATL,James Ennis,"California State University, Long Beach",3,148,2881,900,477,133,.442,.372,.798,19.5,6.1,3.2,0.9,6.0,.100,-0.3,1.3,10.2
19,20,CHI,Tony Snell,University of New Mexico,4,293,6280,1802,747,289,.416,.373,.813,21.4,6.2,2.5,1.0,7.9,.061,-2.1,-0.1,9.7
28,29,OKC,Archie Goodwin,University of Kentucky,4,165,2396,1040,331,206,.429,.236,.700,14.5,6.3,2.0,1.2,1.1,.022,-4.2,-1.3,9.5
25,26,MIN,Andre Roberson,University of Colorado,4,256,5614,1162,1003,211,.473,.260,.493,21.9,4.5,3.9,0.8,10.6,.090,0.4,3.5,9.2
45,44,DAL,Mike Muscala,Bucknell University,4,190,2519,903,528,161,.505,.385,.817,13.3,4.8,2.8,0.8,7.0,.134,0.3,1.4,8.399999999999999
0,1,CLE,Anthony Bennett,"University of Nevada, Las Vegas",4,151,1905,658,472,77,.392,.261,.670,12.6,4.4,3.1,0.5,0.5,.013,-5.6,-1.7,8.0
43,42,PHI,Pierre Jackson,Baylor University,1,8,84,35,9,19,.333,.273,.857,10.5,4.4,1.1,2.4,0.0,.021,-4.4,-0.1,7.9
33,32,OKC,Alex Abrines,,1,68,1055,406,86,40,.393,.381,.898,15.5,6.0,1.3,0.6,2.1,.096,-2.5,-0.1,7.8999999999999995
48,47,ATL,Raul Neto,,2,121,1845,576,150,208,.434,.383,.759,15.2,4.8,1.2,1.7,2.5,.066,-1.9,0.0,7.7
15,16,BOS,Lucas Nogueira,,3,92,1336,324,301,50,.639,.267,.628,14.5,3.5,3.3,0.5,4.4,.158,4.7,2.3,7.3
53,52,MIN,Lorenzo Brown,North Carolina State University,3,63,834,206,105,142,.369,.152,.667,13.2,3.3,1.7,2.3,-0.2,-.013,-4.2,-0.5,7.3
40,39,POR,Jeff Withey,University of Kansas,4,197,2033,651,508,64,.531,.000,.717,10.3,3.3,2.6,0.3,6.8,.161,0.9,1.5,6.199999999999999
44,43,MIL,Ricky Ledo,Providence College,2,28,277,109,38,21,.336,.371,.769,9.9,3.9,1.4,0.8,-0.6,-.096,-7.8,-0.4,6.1
18,19,CLE,Sergey Karasev,,3,95,1110,287,140,87,.395,.282,.842,11.7,3.0,1.5,0.9,0.8,.036,-3.1,-0.3,5.4
24,25,LAC,Reggie Bullock,University of North Carolina,4,147,1629,447,236,76,.393,.355,.800,11.1,3.0,1.6,0.5,2.5,.073,-1.9,0.0,5.1
36,35,PHI,Glen Rice,Georgia Institute of Technology,2,16,152,43,24,9,.269,.250,.692,9.5,2.7,1.5,0.6,-0.2,-.065,-7.3,-0.2,4.800000000000001
47,46,UTA,Erick Green,Virginia Polytechnic Institute and State University,2,52,452,159,37,42,.377,.288,.857,8.7,3.1,0.7,0.8,0.1,.011,-5.1,-0.3,4.6000000000000005
57,56,DET,Peyton Siva,University of Louisville,1,24,224,54,14,34,.316,.280,.733,9.3,2.3,0.6,1.4,-0.2,-.032,-7.3,-0.3,4.3
34,33,CLE,Carrick Felix,Arizona State University,1,7,38,19,6,4,.500,.400,.750,5.4,2.7,0.9,0.6,0.0,.057,-4.7,0.0,4.2
41,40,POR,Grant Jerrett,University of Arizona,1,8,51,16,9,3,.269,.067,1.000,6.4,2.0,1.1,0.4,-0.1,-.128,-8.4,-0.1,3.5
42,41,MEM,Jamaal Franklin,San Diego State University,2,24,174,42,25,9,.415,.462,1.000,7.3,1.8,1.0,0.4,0.0,-.006,-5.4,-0.1,3.2
38,37,DET,Tony Mitchell,University of North Texas,1,21,79,22,26,2,.417,1.000,.579,3.8,1.0,1.2,0.1,0.2,.151,1.3,0.1,2.3
29,30,PHO,Nemanja Nedovic,,1,24,142,26,15,13,.205,.167,.875,5.9,1.1,0.6,0.5,-0.4,-.132,-10.6,-0.3,2.2
50,49,CHI,Erik Murphy,University of Florida,1,24,62,6,8,2,.231,.000,,2.6,0.3,0.3,0.1,-0.1,-.055,-8.1,-0.1,0.7
27,28,SAS,Livio Jean-Charles,,,,,,,,,,,,,,,,,,,
30,,,,,,,,,,,,,,,,,,,,,,
31,,,,,,,,,,,,,,,,,,,,,,
46,45,POR,Marko Todorovic,,,,,,,,,,,,,,,,,,,
52,51,ORL,Romero Osby,University of Oklahoma,,,,,,,,,,,,,,,,,,
54,53,IND,Colton Iverson,Colorado State University,,,,,,,,,,,,,,,,,,
55,54,WAS,Arsalan Kazemi,University of Oregon,,,,,,,,,,,,,,,,,,
58,57,PHO,Alex Oriakhi,University of Missouri,,,,,,,,,,,,,,,,,,
59,58,SAS,Deshaun Thomas,Ohio State University,,,,,,,,,,,,,,,,,,
60,59,MIN,Bojan Dubljevic,,,,,,,,,,,,,,,,,,,
61,60,MEM,Janis Timma,,,,,,,,,,,,,,,,,,,
